Date,GRADE,GPS,TFX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2018-07-30,59.81025642419744,P,262.68328857421875,267.51264038085935,268.1616607666016,267.2080352783203,266.3894400024414,260.2043702697754,255.3561289215088
2018-07-31,59.50700198615741,P,264.5654296875,267.0295349121094,267.6853363037109,267.34045867919923,266.5941390991211,260.259688873291,255.51331535339355
2018-08-01,58.397744149641106,P,262.72216796875,265.4947875976562,267.1498321533203,267.38071899414064,266.68940399169924,260.312657623291,255.65563278198243
2018-08-02,55.142436022416966,P,241.5829162597656,259.6972595214844,264.39659423828124,266.3101745605469,266.34675201416013,260.15190902709963,255.69771347045898
2018-08-03,52.11643168861101,B,238.51731872558597,254.01422424316405,261.52305755615237,264.93161544799807,265.9577301025391,259.9718405151367,255.7172673034668
2018-08-06,49.211049128692814,B,234.384521484375,248.3544708251953,257.93355560302734,263.150936126709,265.4860522460938,259.7758290100098,255.74529106140136
2018-08-07,45.65799023013278,B,230.07716369628903,241.45681762695312,254.24317626953126,261.1558563232422,265.0081658935547,259.5063208007812,255.75071495056153
2018-08-08,41.91169221862115,B,225.67271423339844,234.04692687988282,249.77085723876954,259.044359588623,264.34284759521483,259.24344161987307,255.71126388549806
2018-08-09,40.86957670158037,B,225.1294403076172,230.75623168945313,245.22674560546875,256.8111083984375,263.66181396484376,259.0065213012695,255.60585227966308
2018-08-10,39.85353851320504,B,221.3168029785156,227.31612854003907,240.66517639160156,254.5046173095703,262.8674694824219,258.7697463989258,255.47359893798827
2018-08-13,39.66590663638148,B,224.7704620361328,225.39331665039063,236.87389373779297,252.51777725219728,262.0812710571289,258.5067584228516,255.35779258728027
2018-08-14,39.80096113368861,B,224.4595489501953,224.26979370117186,232.8633056640625,250.27432098388672,261.1941693115234,258.25500061035154,255.2224098968506
2018-08-15,41.07923957561793,B,228.31668090820312,224.7985870361328,229.42275695800782,248.28629455566406,260.35083862304685,258.0858992004394,255.10979179382323
2018-08-16,42.60427896994421,B,230.2306365966797,225.8188262939453,228.28752899169922,246.34206161499023,259.57081634521484,257.917721862793,255.0185804748535
2018-08-17,44.61430653677704,B,231.37705993652344,227.83087768554688,227.57350311279296,244.54828033447265,258.701962890625,257.7610087585449,254.9536351776123
2018-08-20,46.37096886979922,B,234.0974578857422,229.69627685546874,227.5447967529297,242.73917617797852,257.8756820678711,257.67936294555665,254.88272438049316
2018-08-21,48.62455828943123,B,236.6526641845703,232.13489990234376,228.2023468017578,241.22276153564454,257.08149291992186,257.610673828125,254.82483154296875
2018-08-22,50.57661148612584,C,240.5486602783203,234.5812957763672,229.68994140625,239.73039932250975,256.3735641479492,257.56834899902344,254.79178886413575
2018-08-23,51.599719396379236,C,239.35357666015625,236.4058837890625,231.11235504150392,238.16955032348633,255.64716644287108,257.5196925354004,254.7140679168701
2018-08-24,52.62724432439083,C,240.58750915527344,238.2479736328125,233.0394256591797,236.85230102539063,254.9856103515625,257.53550247192385,254.62911514282226
2018-08-27,53.37879070874239,C,241.0926513671875,239.64701232910156,234.67164459228516,235.77276916503905,254.3774267578125,257.54105499267575,254.5446078491211
2018-08-28,53.503241546836,C,240.3834991455078,240.39317932128907,236.2640396118164,234.56367263793945,253.82316192626953,257.4682057189941,254.45191032409667
2018-08-29,53.22991791200156,C,241.4327392578125,240.5699951171875,237.57564544677734,233.49920120239258,253.27106170654298,257.40894943237305,254.36953910827637
2018-08-30,53.48396214375844,C,241.73390197753903,241.04606018066406,238.7259719848633,233.50675048828126,252.68132934570312,257.3244125366211,254.28867370605468
2018-08-31,53.247085353049876,C,240.39317321777344,241.00719299316407,239.6275833129883,233.6005432128906,252.02326141357423,257.23325103759765,254.19549308776857
2018-09-03,53.03979129887415,C,240.39317321777344,240.86729736328124,240.2571548461914,233.90097579956054,251.47714599609375,257.0936445617676,254.1011993408203
2018-09-04,52.97877789416987,C,239.97544860839844,240.7856872558594,240.5894332885742,234.39589004516603,250.92539337158203,256.9116864013672,253.99393165588378
2018-09-05,52.58831052748163,C,235.622802734375,239.6236999511719,240.0968475341797,234.89339447021484,250.4138705444336,256.6644982910156,253.89286361694337
2018-09-06,52.47968301096538,C,240.9468994140625,239.46629943847657,240.2561798095703,235.68426742553712,250.00611236572266,256.4614434814453,253.81304611206053
2018-09-07,52.64108361590572,C,241.0926513671875,239.60619506835937,240.30669403076172,236.6730598449707,249.62396942138673,256.24637908935546,253.7336669921875
2018-09-10,53.35503148185188,C,245.5909881591797,240.64575805664063,240.75652770996095,237.71408615112304,249.34362731933595,256.06980636596677,253.7377370452881
2018-09-11,54.51754711968932,C,247.80615234375,242.21189880371094,241.49879302978516,238.88141632080078,249.0614111328125,255.99609298706054,253.75883361816406
