Date,GRADE,GPS,ALB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-07-24,53.05883061120057,A,31.80826187133789,32.6247802734375,32.66388511657715,31.769936180114748,31.599068756103517,32.22379161834717,30.274656229019165
2007-07-25,52.86228906015199,A,32.55126190185547,32.50903091430664,32.72332496643067,31.898984241485596,31.598154144287108,32.23292974472046,30.32890414237976
2007-07-26,52.61527919559804,A,31.90992546081543,32.31662864685059,32.650588035583496,31.98853521347046,31.580824394226074,32.232697582244874,30.369564113616942
2007-07-27,52.251251118752236,P,31.19040298461914,31.96781196594238,32.44098377227783,32.0413275718689,31.538808250427245,32.22379186630249,30.405695056915285
2007-07-30,51.966008336448574,B,31.252960205078125,31.74256248474121,32.30489673614502,32.08512592315674,31.497887001037597,32.20469625473022,30.44151785850525
2007-07-31,51.83163076470883,B,31.46411895751953,31.67373390197754,32.14925708770752,32.12423048019409,31.459316749572753,32.1990615272522,30.478706903457642
2007-08-01,51.603487114858744,B,31.550159454345703,31.473513412475587,31.991272163391113,32.16763706207276,31.43151584625244,32.19491115570068,30.516927671432494
2007-08-02,51.48711558792771,B,31.13565444946289,31.318659210205077,31.817643928527833,32.14573802947998,31.42241340637207,32.180765533447264,30.55171760559082
2007-08-03,51.342009855434725,B,29.774770736694336,31.035532760620118,31.50167236328125,32.05735912322998,31.381881141662596,32.15628744125366,30.57822843551636
2007-08-06,51.190144492516055,B,29.99378776550293,30.783698272705077,31.263130378723144,31.961552238464357,31.345729217529296,32.13009918212891,30.60206995010376
2007-08-07,50.94533010295237,B,29.587093353271484,30.408293151855467,31.041013526916505,31.852449321746825,31.295983123779298,32.102808227539064,30.623819761276245
2007-08-08,50.590544063109526,B,29.05524444580078,29.909310150146485,30.691411781311036,31.70736837387085,31.224991912841798,32.07035469055176,30.645491075515746
2007-08-09,50.07555072134281,B,27.459753036499023,29.17412986755371,30.246394538879393,31.448491287231445,31.14018714904785,32.025378456115725,30.658738632202148
2007-08-10,50.10869489555199,B,29.49321746826172,29.117819213867186,30.076675987243654,31.258829879760743,31.083727722167968,32.0027649307251,30.681823663711548
2007-08-13,50.17401559249205,B,29.931201934814453,29.10530204772949,29.944500160217284,31.124698448181153,31.031659622192382,31.982815113067627,30.704886569976807
2007-08-14,50.11293494303857,B,28.867542266845703,28.961391830444335,29.6848424911499,30.91704978942871,30.958474502563476,31.945832500457765,30.723096857070924
2007-08-15,50.08316017854367,B,28.077613830566406,28.76586570739746,29.337587928771974,30.66443004608154,30.878227005004884,31.903836803436278,30.737726135253908
2007-08-16,50.25622552338469,B,27.49101829528809,28.772118759155273,28.973124313354493,30.395384120941166,30.79981979370117,31.853244819641112,30.748083543777465
2007-08-17,50.11150897286834,B,28.022863388061523,28.478047943115236,28.79793357849121,30.14980297088623,30.733141555786133,31.81101354598999,30.76001356124878
2007-08-20,50.029084236429846,B,29.00832748413086,28.293473052978516,28.699387550354004,29.981258964538576,30.686640701293946,31.77333269119263,30.774057273864745
2007-08-21,50.19503660091009,B,28.96922492980957,28.31380958557129,28.637600708007813,29.83930711746216,30.652149925231935,31.731828727722167,30.78827417373657
2007-08-22,50.58523215968944,B,29.70439910888672,28.639166641235352,28.702516174316408,29.69696397781372,30.624307136535645,31.69603847503662,30.80484739303589
2007-08-23,51.078669478256046,B,29.72003555297852,29.08497009277344,28.928544425964354,29.587469482421874,30.597715492248536,31.65931251525879,30.8231676197052
2007-08-24,51.52296530203913,C,30.330078125,29.546413040161134,29.012230491638185,29.54445323944092,30.580665626525878,31.62868698120117,30.84220955848694
