Date,GRADE,GPS,GE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-06-19,56.88697512676379,A,82.83016204833984,85.31566925048828,85.1214988708496,82.228267288208,80.44572525024414,74.46429946899414,72.01505069732666
2003-06-20,56.020532947073995,A,83.24630737304688,84.96060180664062,85.0410530090332,82.55698051452637,80.5766552734375,74.65995567321778,72.06444034576415
2003-06-23,54.190755239957404,A,82.85795593261719,84.14505920410156,84.96615524291992,82.86627616882325,80.69371627807617,74.83769355773926,72.10036079406738
2003-06-24,52.58716397074618,A,83.0244140625,83.44047698974609,84.78307495117187,83.09096717834473,80.78414749145507,75.03360794067383,72.13982604980468
2003-06-25,50.98706023775881,P,81.16581726074219,82.62493133544922,84.30595245361329,83.22827682495117,80.86348236083984,75.21231220245362,72.1747448348999
2003-06-26,50.45686809733619,P,81.38920593261719,82.33674011230468,83.82620468139649,83.37952880859375,80.91066833496093,75.39627758026123,72.22162990570068
2003-06-27,49.302408160015936,P,79.90940856933594,81.6693603515625,83.31498107910156,83.39437866210938,80.9282583618164,75.57067367553711,72.2584035873413
2003-06-30,48.47863122857192,P,80.07693481445312,81.11315612792968,82.62910766601563,83.37599487304688,80.96750778198242,75.74867122650147,72.30076133728028
2003-07-01,47.67825929006464,P,79.93730926513672,80.49573516845703,81.96810607910156,83.34369506835938,80.95791641235351,75.92885009765625,72.34920188903808
2003-07-02,47.44241742723735,P,79.88147735595703,80.2388671875,81.43189926147461,83.26560668945312,80.92501678466797,76.11535095214843,72.37988300323487
2003-07-03,47.03053192661098,P,79.71398162841797,79.90382232666016,81.12028121948242,83.12089004516602,80.90485580444336,76.30237812042236,72.41805698394775
2003-07-04,47.21517429072092,P,79.71398162841797,79.86473693847657,80.76704864501953,82.90405082702637,80.88414077758789,76.4808742904663,72.48245151519775
2003-07-07,48.05512546199929,P,81.72425842285156,80.19420166015625,80.65367889404297,82.80991706848144,80.88088500976562,76.67947322845458,72.5544393157959
2003-07-08,48.3965633814204,P,80.43992614746094,80.29472503662109,80.39523010253906,82.58915252685547,80.85859924316406,76.8533952331543,72.59883781433105
2003-07-09,48.36460996219068,P,79.2392807006836,80.16628570556641,80.2025764465332,82.25426445007324,80.80952667236328,77.0032022857666,72.6563521194458
2003-07-10,48.10055960927658,P,78.70881652832031,79.96525268554687,79.93453750610351,81.88037109375,80.76926239013672,77.14770469665527,72.71367237091064
2003-07-11,47.84719111413465,P,78.51334381103516,79.72512512207031,79.79493103027343,81.5549560546875,80.72619827270508,77.27786849975585,72.77834583282471
2003-07-14,46.70207220894858,P,78.2900161743164,79.03827667236328,79.61623916625976,81.1226734161377,80.69253814697265,77.41625648498535,72.85637845993043
2003-07-15,45.87894216459237,P,77.25690460205078,78.40167236328125,79.34819869995117,80.65815238952636,80.62212661743165,77.5289022064209,72.92378295898438
2003-07-16,45.401337793263586,P,76.44723510742188,77.8432632446289,79.00477447509766,80.21833686828613,80.55050079345703,77.64510185241699,73.00557537078858
2003-07-17,44.98754156846991,P,75.66545867919922,77.23459167480469,78.59992218017578,79.8601016998291,80.48432159423828,77.73878181457519,73.07526510238648
2003-07-18,44.88969116633769,P,77.56407928466797,77.04473876953125,78.38493194580079,79.57599029541015,80.42671096801757,77.84728713989257,73.13246095657348
