Date,GRADE,GPS,AES,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-07-17,62.115495266653454,A,13.537702560424805,13.336175155639648,13.19222993850708,12.717896604537964,12.508148250579834,12.060204772949218,11.610410566329955
2006-07-18,61.830128338354164,A,13.359477996826172,13.318353271484375,13.253235054016113,12.795695352554322,12.531590709686279,12.075216169357299,11.62120644569397
2006-07-19,61.94594860685129,A,13.592535972595217,13.396495246887207,13.319723796844482,12.874179697036743,12.559968395233154,12.091187229156494,11.633476066589356
2006-07-20,62.20158292095198,A,13.58567714691162,13.485603523254394,13.376616287231446,12.953349542617797,12.589991130828857,12.109557332992553,11.64769919872284
2006-07-21,62.46479409948432,A,13.82559299468994,13.58019733428955,13.438307666778565,13.053425836563111,12.617272186279298,12.129161338806153,11.662333645820617
2006-07-24,62.66009748550547,A,14.017516136169434,13.676160049438476,13.506167602539062,13.15487298965454,12.647432136535645,12.15274094581604,11.678304710388183
2006-07-25,63.06408232052312,A,14.04493236541748,13.813250923156739,13.565802097320557,13.24124002456665,12.679237213134765,12.175772142410278,11.696057920455933
2006-07-26,63.01119500116092,A,13.757044792175291,13.846152687072754,13.62132396697998,13.31012806892395,12.708300399780274,12.196130084991456,11.709732699394227
2006-07-27,62.74968837661799,A,13.599390029907228,13.848895263671874,13.667249393463134,13.355025243759155,12.732702522277831,12.213609132766724,11.724778380393982
2006-07-28,62.356516744998295,A,13.626805305480955,13.809137725830078,13.694667530059814,13.404034948348999,12.760531845092773,12.231842155456542,11.739926872253418
2006-07-31,61.75246957353812,A,13.613094329833984,13.728253364562988,13.702206707000732,13.447218322753907,12.785619373321532,12.250897703170777,11.753841552734375
2006-08-01,61.181796429159014,A,13.613094329833984,13.641885757446289,13.727568340301513,13.490401697158813,12.81372287750244,12.270570192337036,11.767550592422486
2006-08-02,60.82844027512508,A,13.537702560424805,13.598017311096191,13.722084999084473,13.520904397964477,12.842649116516114,12.287637968063354,11.78177375793457
2006-08-03,60.664037019730166,A,13.558262825012209,13.589791870117187,13.719343566894532,13.547979927062988,12.869793052673339,12.302717962265014,11.7971621799469
2006-08-04,59.56046255751406,P,12.50951862335205,13.366334533691406,13.587736129760742,13.513021898269653,12.873220405578614,12.307379035949706,11.806552877426148
2006-08-07,59.58994489320205,P,13.757044792175291,13.395124626159667,13.561688995361328,13.533928298950196,12.901598281860352,12.327462816238404,11.820878853797913
2006-08-08,59.704556601764665,P,13.914700508117676,13.455445861816406,13.548665809631348,13.557233953475953,12.933814582824708,12.350494060516358,11.836610021591186
2006-08-09,60.141078691931135,P,14.12718677520752,13.57334270477295,13.58568000793457,13.603501987457275,12.964111614227296,12.374896163940429,11.854294686317443
2006-08-10,60.494934030005886,A,14.031225204467772,13.667935180664063,13.628863525390624,13.64805645942688,12.989747581481934,12.398544301986695,11.871773753166199
2006-08-11,61.90453308219694,A,13.859862327575684,13.93800392150879,13.652169227600098,13.673418378829956,13.009762802124023,12.421575498580932,11.887950444221497
2006-08-14,61.97125784073493,A,13.82559299468994,13.951713562011719,13.673419094085693,13.687812900543213,13.031423187255859,12.443784198760987,11.904949698448181
2006-08-15,62.03761384953174,A,13.983246803283691,13.965422821044921,13.710434341430664,13.71900134086609,13.054865665435791,12.468323450088501,11.92366259098053
2006-08-16,61.77314785306951,A,14.010661125183104,13.942117691040039,13.757730197906493,13.739907598495483,13.079541988372803,12.492177228927613,11.941518650054931
2006-08-17,61.450049434239695,A,13.832443237304688,13.902361297607422,13.785148239135742,13.752245903015137,13.105315017700196,12.514523000717164,11.957558245658875
2006-08-18,61.44012498063978,A,14.04493236541748,13.939375305175782,13.938689613342286,13.763212871551513,13.135337829589844,12.538034048080444,11.974420399665833
2006-08-21,61.626559416263426,A,14.154605865478516,14.005177879333496,13.978445720672607,13.770067358016968,13.167279853820801,12.565246543884278,11.992790536880493
