Date,GRADE,GPS,ANSS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-04-24,54.3147838314259,B,1.53125,1.475,1.5375,1.6703125,1.9175,2.3228125,2.688359375
1997-04-25,54.323637277746094,B,1.53125,1.48125,1.525,1.64375,1.903125,2.3103125,2.679921875
1997-04-28,54.326226147913026,B,1.53125,1.48125,1.51875,1.61875,1.88875,2.298125,2.671640625
1997-04-29,54.35153783654718,B,1.5625,1.5125,1.5125,1.6078125,1.874375,2.2846875,2.663984375
1997-04-30,54.399455380962145,B,1.71875,1.575,1.521875,1.6078125,1.865625,2.27,2.656953125
1997-05-01,54.427118864685006,C,1.6875,1.60625,1.540625,1.603125,1.85625,2.255,2.649921875
1997-05-02,54.450918388233504,C,1.65625,1.63125,1.55625,1.5984375,1.84875,2.2396875,2.642734375
1997-05-05,54.466892368521655,C,1.59375,1.64375,1.5625,1.5921875,1.840625,2.2240625,2.635390625
1997-05-06,54.46739863632147,C,1.59375,1.65,1.58125,1.584375,1.83125,2.2034375,2.628671875
1997-05-07,54.44628499087887,C,1.59375,1.625,1.6,1.578125,1.82125,2.183125,2.622109375
1997-05-08,54.4256365771175,B,1.5625,1.6,1.603125,1.5703125,1.810625,2.1628125,2.615390625
1997-05-09,54.41229333946831,B,1.59375,1.5875,1.609375,1.5671875,1.80125,2.1446875,2.607734375
1997-05-12,54.41184295755803,B,1.59375,1.5875,1.615625,1.5671875,1.79375,2.128125,2.600078125
1997-05-13,54.414430215346876,B,1.59375,1.5875,1.61875,1.565625,1.78625,2.1115625,2.592109375
1997-05-14,54.42008024393454,B,1.625,1.59375,1.609375,1.565625,1.77875,2.0953125,2.584140625
1997-05-15,54.43061599215545,C,1.59375,1.6,1.6,1.5703125,1.770625,2.07875,2.575546875
1997-05-16,54.439966822228854,C,1.65625,1.6125,1.6,1.578125,1.76375,2.061875,2.567109375
1997-05-19,54.446250666097406,C,1.6875,1.63125,1.609375,1.5859375,1.756875,2.045625,2.558671875
1997-05-20,54.46946620148139,C,1.8125,1.675,1.63125,1.60625,1.750625,2.03,2.551015625
1997-05-21,54.51482382196483,C,2.0,1.75,1.671875,1.6359375,1.748125,2.01625,2.544609375
1997-05-22,54.54539094142671,C,1.875,1.80625,1.703125,1.653125,1.741875,2.0025,2.537578125
1997-05-23,54.576557119000974,C,1.9375,1.8625,1.7375,1.6734375,1.7375,1.9896875,2.53109375
1997-05-26,54.60376916066503,C,1.9375,1.9125,1.771875,1.69375,1.7325,1.976875,2.5253125
1997-05-27,54.61396560025073,C,1.9375,1.9375,1.80625,1.7125,1.729375,1.9640625,2.51984375
1997-05-28,54.61806533625539,C,2.0,1.9375,1.84375,1.7265625,1.728125,1.9640625,2.51546875
1997-05-29,54.64452315597691,C,2.03125,1.96875,1.8875,1.74375,1.725625,1.964375,2.51140625
1997-05-30,54.679791101731276,C,2.15625,2.0125,1.9375,1.76875,1.72875,1.965625,2.50828125
1997-06-02,54.721799451381266,C,2.21875,2.06875,1.990625,1.8,1.73375,1.965625,2.50578125
1997-06-03,54.76613042851841,A,2.25,2.13125,2.034375,1.8328125,1.74,1.9653125,2.50328125
1997-06-04,54.79134217761064,A,2.28125,2.1875,2.0625,1.8671875,1.745625,1.965625,2.500625
1997-06-05,54.792599577576915,A,2.125,2.20625,2.0875,1.8953125,1.746875,1.964375,2.4971875
1997-06-06,54.78323392631444,C,2.21875,2.21875,2.115625,1.9265625,1.75,1.96375,2.4940625
1997-06-09,54.76070330567512,C,2.1875,2.2125,2.140625,1.95625,1.753125,1.9615625,2.49078125
1997-06-10,54.742105278759475,C,2.1875,2.2,2.165625,1.9859375,1.76125,1.9590625,2.48796875
1997-06-11,54.72047544324459,C,2.15625,2.175,2.18125,2.0125,1.77,1.955625,2.4846875
1997-06-12,54.70847221106581,C,2.0625,2.1625,2.184375,2.0359375,1.775625,1.95125,2.48109375
1997-06-13,54.69994770796308,C,2.15625,2.15,2.184375,2.0609375,1.78375,1.9496875,2.4784375
1997-06-16,54.69672760610521,C,2.15625,2.14375,2.178125,2.084375,1.7925,1.948125,2.47546875
1997-06-17,54.676198742247145,B,2.078125,2.121875,2.1609375,2.09765625,1.7990625,1.94515625,2.472421875
1997-06-18,54.64722697635322,B,1.96875,2.084375,2.1296875,2.09609375,1.8040625,1.94171875,2.468671875
1997-06-19,54.64172186185138,B,2.03125,2.078125,2.1203125,2.10390625,1.8103125,1.93859375,2.465546875
1997-06-20,54.62198944029232,B,2.03125,2.053125,2.1015625,2.10859375,1.8178125,1.93515625,2.461953125
1997-06-23,54.58697248422937,B,1.875,1.996875,2.0703125,2.10546875,1.8234375,1.93015625,2.457421875
1997-06-24,54.543215423500094,B,1.6875,1.91875,2.0203125,2.09296875,1.8246875,1.92390625,2.450546875
1997-06-25,54.53333199819355,B,1.8125,1.8875,1.9859375,2.08359375,1.8284375,1.91953125,2.444609375
1997-06-26,54.519618221390346,B,1.90625,1.8625,1.9703125,2.07734375,1.8365625,1.91609375,2.439140625
1997-06-27,54.51159225126046,B,1.9375,1.84375,1.9484375,2.06640625,1.8453125,1.91328125,2.433828125
1997-06-30,54.52739968243508,B,1.96875,1.8625,1.9296875,2.05390625,1.8540625,1.91078125,2.429140625
1997-07-01,54.582668781127204,B,2.03125,1.93125,1.925,2.04296875,1.8665625,1.90921875,2.425234375
1997-07-02,54.61948517091275,B,2.0625,1.98125,1.934375,2.03203125,1.8796875,1.90671875,2.421484375
1997-07-03,54.63256161675093,B,2.0,2.0,1.93125,2.02578125,1.8890625,1.90328125,2.417265625
1997-07-04,54.643742627852156,B,2.0,2.0125,1.928125,2.01484375,1.8984375,1.90078125,2.412578125
1997-07-07,54.65477903038262,C,2.03125,2.025,1.94375,2.00703125,1.9084375,1.89859375,2.408203125
1997-07-08,54.65356344711214,C,2.0625,2.03125,1.98125,2.00078125,1.9184375,1.89640625,2.404140625
1997-07-09,54.64731683474079,C,2.0625,2.03125,2.00625,1.99609375,1.9253125,1.89546875,2.399765625
1997-07-10,54.652281690145024,C,2.0625,2.04375,2.021875,1.99609375,1.9328125,1.89453125,2.394296875
1997-07-11,54.65907813456551,C,2.0625,2.05625,2.034375,1.99140625,1.9409375,1.89484375,2.388671875
1997-07-14,54.64680821275977,C,1.96875,2.04375,2.034375,1.98203125,1.9484375,1.89453125,2.382109375
1997-07-15,54.634638538275844,C,2.03125,2.0375,2.034375,1.9796875,1.9571875,1.89421875,2.375703125
1997-07-16,54.63622009919757,C,2.09375,2.04375,2.0375,1.9859375,1.9671875,1.89421875,2.369765625
1997-07-17,54.638622220818625,C,2.09375,2.05,2.046875,1.9890625,1.9778125,1.89421875,2.363984375
1997-07-18,54.632626058388276,B,2.03125,2.04375,2.05,1.9890625,1.9865625,1.89390625,2.356953125
1997-07-21,54.651440868758975,A,2.09375,2.06875,2.05625,2.0,1.9965625,1.89515625,2.349765625
1997-07-22,54.664073959276664,A,2.09375,2.08125,2.059375,2.0203125,2.0065625,1.89640625,2.341484375
1997-07-23,54.65502702026742,A,2.03125,2.06875,2.05625,2.03125,2.0146875,1.89671875,2.3328125
1997-07-24,54.64278717451807,A,2.03125,2.05625,2.053125,2.0375,2.0234375,1.89703125,2.32375
1997-07-25,54.636915023772936,A,2.0,2.05,2.046875,2.040625,2.0303125,1.89703125,2.31484375
1997-07-28,54.62454825392741,A,2.0625,2.04375,2.05625,2.0453125,2.0378125,1.89734375,2.3065625
1997-07-29,54.60233375566883,B,2.0,2.025,2.053125,2.04375,2.0415625,1.89609375,2.299375
1997-07-30,54.59553206703001,B,2.03125,2.025,2.046875,2.0421875,2.0421875,1.89515625,2.29359375
1997-07-31,54.590815954834916,B,2.0,2.01875,2.0375,2.0421875,2.0446875,1.89328125,2.28796875
1997-08-01,54.58936088948548,B,2.0,2.01875,2.034375,2.0421875,2.0459375,1.89171875,2.28171875
1997-08-04,54.56956697351762,B,1.9375,1.99375,2.01875,2.0375,2.0459375,1.88921875,2.275
1997-08-05,54.552288103607,B,1.84375,1.9625,1.99375,2.0265625,2.0440625,1.88671875,2.26796875
1997-08-06,54.52755433051249,B,1.78125,1.9125,1.96875,2.0125,2.0396875,1.88390625,2.261875
