Date,GRADE,GPS,DGX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-10-23,42.33874540149833,B,118.89311981201172,120.23232574462891,120.06981887817383,119.98719711303711,123.51746765136718,128.9108201599121,131.94719501495362
2023-10-24,42.56327324577649,B,120.97828674316406,120.28910522460937,120.05121994018555,119.97356986999512,123.33779998779296,128.83130432128905,131.841258354187
2023-10-25,43.77214827242752,C,122.8284912109375,120.8138198852539,120.31945114135742,120.10987586975098,123.21791107177734,128.75334533691407,131.75637546539306
2023-10-26,46.63975916098343,C,128.49658203125,122.46432189941406,121.36104965209961,120.53201942443847,123.21372009277344,128.72461120605467,131.69886959075927
2023-10-27,48.217587531851514,C,124.9919662475586,123.23768920898438,121.86814422607422,120.85144157409668,123.1149104309082,128.67167594909668,131.62321449279784
2023-10-30,51.37991908069066,C,126.68555450439452,124.79617614746094,122.51425094604492,121.30177383422851,123.06184631347656,128.62415374755858,131.54841556549073
2023-10-31,53.78800370730634,C,127.36102294921876,126.07272338867188,123.18091430664063,121.78003997802735,123.03221893310547,128.57399353027344,131.4919765853882
2023-11-01,55.84235053392671,C,129.7398681640625,127.45499877929687,124.1344093322754,122.30181922912598,123.02992462158203,128.55207595825195,131.4425661087036
2023-11-02,54.7018260826508,C,128.56512451171875,127.46870727539063,124.96651458740234,122.71004028320313,123.00802795410156,128.5092121887207,131.377357673645
2023-11-03,56.03703102097548,C,131.0908203125,128.6884780883789,125.96308364868165,123.18189353942871,123.05280181884766,128.47804901123047,131.331233253479
2023-11-06,56.54205214860986,C,131.07122802734375,129.56561279296875,127.18089447021484,123.62535667419434,123.09621032714844,128.44668991088867,131.28438457489014
2023-11-07,56.41305548289279,C,130.08250427246094,130.1099090576172,128.09131622314453,124.07126808166504,123.12062316894531,128.41086624145507,131.21948863983155
2023-11-08,55.52352266744513,C,130.6600799560547,130.29395141601563,128.87447509765624,124.59696311950684,123.11220642089843,128.37481475830077,131.15670978546143
2023-11-09,55.272930271702165,C,128.86859130859375,130.35464477539062,128.91167602539062,125.13636283874511,123.1298599243164,128.3195895385742,131.10024517059327
2023-11-10,54.1850899028909,C,130.0237579345703,130.1412322998047,129.41485519409179,125.64149971008301,123.18969299316406,128.24977157592772,131.06237087249755
2023-11-13,52.800138785851345,C,129.56365966796875,129.8397186279297,129.70266571044922,126.10845832824707,123.24032409667969,128.17632110595704,131.0097668838501
2023-11-14,52.561296366197894,C,130.96353149414062,130.01592407226562,130.06291656494142,126.62191543579101,123.38279968261719,128.1055401611328,130.96160892486571
2023-11-15,52.95766327695961,C,132.598388671875,130.4035858154297,130.34876861572266,127.24158897399903,123.55991897583007,128.05730499267577,130.91989086151122
2023-11-16,53.986307444078015,C,132.08932495117188,131.0477325439453,130.70118865966796,127.83385162353515,123.72744094848633,128.0115316772461,130.8768801498413
2023-11-17,54.45778390097794,C,132.05018615722656,131.45301818847656,130.79712524414063,128.38010444641114,123.89593200683593,127.97098342895508,130.83955112457275
