Date,GRADE,GPS,ROP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-03-22,58.954751540079684,C,456.5090637207031,454.7789001464844,443.2032867431641,440.74290466308594,437.7040411376953,453.9490267944336,459.9032992553711
2022-03-23,60.21887661603619,A,454.6981506347656,456.4637512207031,445.0465972900391,442.3593719482422,437.6548321533203,453.79312896728516,459.9519512939453
2022-03-24,59.59536836977423,A,454.1372375488281,456.35942993164065,447.51288452148435,443.21509246826173,437.7672229003906,453.541591796875,459.9926022338867
2022-03-25,58.655437823401996,A,458.477294921875,455.83192138671876,450.81471557617186,444.0732711791992,438.1226983642578,453.3663815307617,460.0818664550781
2022-03-28,59.01026397714764,A,464.7759399414063,457.71953735351565,454.4718322753906,445.25622406005857,438.6041467285156,453.21287719726564,460.1590431213379
2022-03-29,59.74295525332084,A,469.0766296386719,460.23305053710936,457.5059753417969,446.7506591796875,439.2182586669922,453.09372985839843,460.2494384765625
2022-03-30,61.0589432515524,A,470.7398986816406,463.4414001464844,459.95257568359375,448.18949127197266,439.9236993408203,453.02532135009767,460.3606509399414
2022-03-31,61.8865465650855,A,464.7463684082031,465.5632263183594,460.961328125,449.28780364990234,440.5632012939453,452.96155151367185,460.421502532959
2022-04-01,62.120312486187146,A,469.3916320800781,467.74609375,461.78900756835935,450.38858184814455,441.33103759765623,452.86177154541014,460.4836669921875
2022-04-04,62.339040317573335,A,474.2497863769531,469.6408630371094,463.6802001953125,452.19531097412107,442.26473022460937,452.83121368408206,460.56046478271486
2022-04-05,61.62998931361171,A,469.7857666015625,469.7826904296875,465.00787048339845,454.10557861328124,443.23924865722654,452.69055725097655,460.6169526672363
2022-04-06,61.04071711893415,A,472.3971252441406,470.1141357421875,466.77776794433595,455.9121826171875,444.28607055664065,452.59085571289063,460.6738981628418
2022-04-07,62.77355397181426,A,478.2013854980469,472.8051391601563,469.18418273925784,458.3485336303711,445.51471923828126,452.58969024658205,460.758688659668
2022-04-08,63.45258253247254,A,475.1366271972656,473.9541381835937,470.85011596679686,460.83241577148436,446.4460723876953,452.44219482421875,460.8175665283203
2022-04-11,62.69493982410779,A,473.7767639160156,473.8595336914062,471.7501983642578,463.1110153198242,447.3169641113281,452.3358462524414,460.8696450805664
