Date,GRADE,GPS,BKNG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2021-03-04,65.41570793257901,A,2203.491455078125,2268.785400390625,2297.9326171875,2219.320837402344,2153.5681420898436,2045.037830810547,1884.1752264404297
2021-03-05,64.33861980556931,A,2290.6142578125,2264.534033203125,2299.327587890625,2229.7795654296874,2157.911882324219,2051.384453125,1887.489771118164
2021-03-08,64.47266238534057,A,2351.81396484375,2274.1130859375,2301.18623046875,2243.1424072265627,2162.495305175781,2058.4905126953126,1890.9548834228515
2021-03-09,65.6511889274027,A,2349.877685546875,2290.908203125,2301.9229248046877,2257.117333984375,2166.0971801757814,2065.3916442871096,1894.4884020996094
2021-03-10,66.74016151115315,A,2352.389404296875,2309.637353515625,2294.5578857421874,2268.414025878906,2169.3549291992185,2072.0168591308593,1897.6821649169922
2021-03-11,68.40099416726893,A,2345.181640625,2337.975390625,2303.3803955078124,2278.481579589844,2172.0314672851564,2077.6765270996093,1900.757134399414
2021-03-12,68.89576716036343,A,2383.883056640625,2356.629150390625,2310.581591796875,2290.9151000976562,2175.4820336914063,2083.4101611328124,1903.6781127929687
2021-03-15,69.2458435890557,A,2422.06787109375,2370.679931640625,2322.3965087890624,2305.257861328125,2180.9510668945313,2090.2629382324217,1906.6496746826172
2021-03-16,69.05286105754537,A,2379.434814453125,2376.591357421875,2333.7497802734374,2315.8019775390626,2185.091066894531,2097.201500244141,1909.720523071289
2021-03-17,70.44035226450751,A,2444.18896484375,2394.95126953125,2352.2943115234375,2327.1210083007813,2189.3001733398437,2105.7075817871096,1913.3368463134766
2021-03-18,69.96859337113507,A,2330.179443359375,2391.950830078125,2364.9631103515626,2331.447863769531,2191.426867675781,2112.823270263672,1917.1026440429687
2021-03-19,68.00980263197773,A,2271.392578125,2369.452734375,2363.0409423828123,2331.1842651367188,2191.5499829101564,2119.428134765625,1920.3980267333984
2021-03-22,64.19032378275058,A,2215.94140625,2328.22744140625,2349.4536865234377,2325.319958496094,2191.7608618164063,2125.6608752441407,1923.2833599853516
2021-03-23,60.65278591984028,A,2199.17236328125,2292.174951171875,2334.383154296875,2318.153039550781,2192.1313891601562,2131.076102294922,1925.970322265625
2021-03-24,55.35534811847395,P,2186.98974609375,2240.735107421875,2317.8431884765623,2306.200537109375,2192.5346801757814,2135.9352294921873,1928.7726025390625
2021-03-25,53.495455080435,P,2252.697021484375,2225.238623046875,2308.5947265625,2305.9875610351564,2194.248742675781,2140.905457763672,1931.9525164794923
2021-03-26,54.15957456271761,P,2306.9267578125,2232.345458984375,2300.8990966796873,2305.740344238281,2198.3055444335937,2146.2646875,1935.410726928711
2021-03-29,56.073482129328966,P,2334.55810546875,2256.068798828125,2292.1481201171873,2307.272314453125,2202.9149731445314,2148.5792333984373,1938.9742803955078
2021-03-30,58.31405245740877,P,2318.20556640625,2279.875439453125,2286.0251953125,2309.887487792969,2206.327409667969,2151.8303344726564,1942.2397283935547
2021-03-31,61.20098030146383,A,2313.191650390625,2305.1158203125,2272.9254638671873,2312.6098876953124,2209.6989428710935,2155.1049658203124,1945.8115716552734
2021-04-01,63.3170043610881,A,2365.435546875,2327.663525390625,2276.45107421875,2320.7070922851562,2215.1103979492186,2159.270384521484,1949.6195141601563
2021-04-02,64.21665984197749,A,2365.435546875,2339.365283203125,2285.85537109375,2324.4481567382813,2221.3896069335938,2162.5427307128907,1953.7955084228515
2021-04-05,65.36236702639557,A,2391.964599609375,2350.84658203125,2303.4576904296873,2326.4556884765625,2229.148759765625,2165.517022705078,1957.8461547851562
2021-04-06,66.83900966548529,A,2404.693115234375,2368.144091796875,2324.009765625,2329.1964599609373,2237.862841796875,2168.900174560547,1961.9648120117188
2021-04-07,68.41896434477663,A,2393.4140625,2384.18857421875,2344.652197265625,2331.247692871094,2248.2788720703124,2172.5344165039064,1965.697198486328
