Date,GRADE,GPS,PLTR,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2024-03-13,55.947994597214056,A,25.0,25.510000228881836,25.157000160217287,24.55350008010864,20.85080005645752,19.500100011825563,17.727549991607667
2024-03-14,54.06926121421444,A,24.43000030517578,25.10400047302246,25.092000198364257,24.504500102996825,21.014400062561034,19.591500015258788,17.77374999523163
2024-03-15,51.8149068395687,P,23.489999771118164,24.594000244140624,24.948000144958495,24.457000064849854,21.16460006713867,19.67570001602173,17.8160999917984
2024-03-18,50.70129434425845,P,24.0,24.32400016784668,24.944000053405762,24.435000038146974,21.311200065612795,19.768800020217896,17.85784999370575
2024-03-19,50.18354583833868,P,23.799999237060547,24.1439998626709,24.943000030517577,24.455000019073488,21.459400062561034,19.85880001068115,17.896849989891052
2024-03-20,50.01161182961911,P,24.56999969482422,24.05799980163574,24.78400001525879,24.54650001525879,21.615000038146974,19.955300006866455,17.940149989128113
2024-03-21,50.073478833628634,P,24.489999771118164,24.06999969482422,24.58700008392334,24.591499996185302,21.77120002746582,20.020500011444092,17.979599986076355
2024-03-22,50.57988105016423,P,24.18000030517578,24.207999801635744,24.401000022888184,24.65200004577637,21.9196000289917,20.073400020599365,18.01899999141693
2024-03-25,50.72488045570668,P,24.51000022888184,24.309999847412108,24.317000007629396,24.69950008392334,22.0746000289917,20.13310001373291,18.060049996376037
2024-03-26,51.08379371469558,A,24.88999938964844,24.527999877929688,24.33599987030029,24.717500019073487,22.241800003051758,20.19400001525879,18.105549993515016
2024-03-27,50.92042538940499,A,24.51000022888184,24.51599998474121,24.286999893188476,24.72200002670288,22.404200019836427,20.254200019836425,18.15489999294281
2024-03-28,50.135703948301455,A,23.01000022888184,24.220000076293946,24.14499988555908,24.61850004196167,22.536400032043456,20.301600017547607,18.199699993133546
2024-03-29,49.38542188338828,P,23.01000022888184,23.98600006103516,24.09699993133545,24.522500038146973,22.661000022888185,20.335000019073487,18.244599995613097
2024-04-01,48.18475775028683,P,22.86000061035156,23.6560001373291,23.982999992370605,24.463500022888184,22.76620002746582,20.366500034332276,18.28920000076294
2024-04-02,46.471753107282275,P,22.71999931335449,23.222000122070312,23.875,24.40900001525879,22.87400001525879,20.394300022125243,18.329749999046324
2024-04-03,44.7812636763696,P,22.700000762939453,22.860000228881837,23.688000106811522,24.236000061035156,22.993000030517578,20.421800022125243,18.366850004196166
2024-04-04,44.287606333803005,P,22.479999542236328,22.754000091552733,23.48700008392334,24.03700008392334,23.11340003967285,20.448900012969972,18.40325000286102
2024-04-05,44.12447923498266,P,22.959999084472656,22.743999862670897,23.364999961853027,23.882999992370607,23.24560001373291,20.473600006103517,18.441399998664856
2024-04-08,44.11913257495227,P,23.0,22.771999740600585,23.213999938964843,23.765499973297118,23.363800010681153,20.490200004577638,18.478799996376036
2024-04-09,44.35760622355094,P,22.809999465942383,22.789999771118165,23.005999946594237,23.670999908447264,23.485200004577635,20.520300006866456,18.51524999141693
2024-04-10,44.72309573608623,P,22.420000076293945,22.73399963378906,22.79699993133545,23.541999912261964,23.61180000305176,20.547600002288817,18.548849992752075
2024-04-11,45.595201349652086,P,22.84000015258789,22.805999755859375,22.779999923706054,23.46249990463257,23.742000007629393,20.57909999847412,18.58739999294281
2024-04-12,45.918382536070915,P,22.670000076293945,22.747999954223634,22.745999908447267,23.421499919891357,23.855,20.613799991607667,18.62404999256134
2024-04-15,45.67556246473524,P,21.899999618530277,22.527999877929688,22.649999809265136,23.31649990081787,23.958600006103516,20.64199998855591,18.65204999446869
2024-04-16,44.80736034799873,P,21.8799991607666,22.341999816894532,22.56599979400635,23.220499897003172,23.95879997253418,20.663699989318847,18.67899999141693
2024-04-17,43.50104717135605,P,21.309999465942383,22.11999969482422,22.426999664306642,23.057499885559082,23.912999954223633,20.678399982452394,18.702599987983703
2024-04-18,41.21838722040562,P,21.1299991607666,21.777999496459962,22.29199962615967,22.889499855041503,23.845399932861326,20.689199981689452,18.724549984931947
