Date,GRADE,GPS,TSN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-10-18,64.1609925917347,A,13.137470245361328,12.77968807220459,12.63992805480957,12.333852148056028,11.629307250976563,11.670565042495728,11.107590212821961
1996-10-21,64.21679121498495,A,12.969759941101074,12.824411392211914,12.701422214508057,12.398141860961912,11.665354270935058,11.691380367279052,11.119804162979126
1996-10-22,64.16262990829881,A,12.690244674682615,12.83559284210205,12.723784065246582,12.43168454170227,11.698044509887696,11.708283796310425,11.1306205368042
1996-10-23,64.16469424280659,A,12.802056312561035,12.857955169677734,12.75732707977295,12.48199872970581,11.7329709815979,11.726863718032837,11.14116048336029
1996-10-24,64.24729569716038,A,12.969759941101074,12.913858222961426,12.80764045715332,12.532312726974485,11.771251525878906,11.74600399017334,11.152260465621948
1996-10-25,64.30643434932604,A,13.416996955871582,12.969763565063477,12.874725818634033,12.599397706985473,11.818476810455323,11.767941465377808,11.165039658546448
1996-10-28,64.34591330322284,A,13.361088752746582,13.048029327392578,12.936220359802245,12.670675325393676,11.863467044830323,11.78541127204895,11.17670386314392
1996-10-29,64.60500115485041,A,13.361088752746582,13.18219814300537,13.00889549255371,12.73776021003723,11.906223831176758,11.802322721481323,11.189203515052796
1996-10-30,64.78042055323105,A,13.416996955871582,13.30518627166748,13.081570720672607,12.802050065994262,11.946748523712158,11.820909938812257,11.200868740081788
1996-10-31,64.7524429881161,A,13.193378448486328,13.34990997314453,13.131884098052979,12.860749435424804,11.980567436218262,11.836702642440796,11.211972861289977
1996-11-01,64.43099351357847,A,13.193378448486328,13.30518627166748,13.137474918365479,12.888701486587525,12.017736434936523,11.850261840820313,11.222519993782043
1996-11-04,64.2671541253786,A,13.305192947387695,13.294007110595704,13.17101821899414,12.9362202167511,12.060492115020752,11.86270574569702,11.235575623512268
1996-11-05,64.05384926230228,A,13.305192947387695,13.282827949523925,13.232513046264648,12.978148555755615,12.10324779510498,11.874312105178833,11.24640335559845
1996-11-06,63.75265194291136,A,13.193378448486328,13.238104248046875,13.271645259857177,13.014486169815063,12.143498764038085,11.884521055221558,11.254444069862366
1996-11-07,63.51033111955342,A,12.969759941101074,13.193380546569824,13.271645259857177,13.03964285850525,12.18486780166626,11.89249382019043,11.262202157974244
1996-11-08,63.24737063014732,A,12.690244674682615,13.092753791809082,13.19897003173828,13.036847925186157,12.22176462173462,11.898229846954345,11.27023362159729
1996-11-11,63.49647230137189,A,13.920129776000977,13.215741157531738,13.254874134063721,13.095547246932984,12.283259143829346,11.915147943496704,11.284971499443055
1996-11-12,63.689292710150276,A,13.75241756439209,13.305186080932618,13.29400701522827,13.151451253890992,12.34363552093506,11.931505699157714,11.299427795410157
1996-11-13,63.942965998711884,A,13.640610694885254,13.394632530212402,13.31636838912964,13.198969554901122,12.401775760650635,11.946745386123657,11.31416051387787
1996-11-14,64.40304989245966,A,13.808316230773926,13.562343788146972,13.377862167358398,13.254873132705688,12.46103401184082,11.962545347213744,11.32889630317688
