Date,GRADE,GPS,IQV,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2019-01-03,54.5066181027255,B,109.95999908447266,114.10399932861328,111.37099914550781,114.46399955749511,118.50080001831054,122.31599998474121,113.51439987182617
2019-01-04,55.2343577964164,C,115.06999969482422,114.33599853515625,112.05599899291992,114.31849937438965,118.3983999633789,122.26389999389649,113.59919986724853
2019-01-07,55.7002833501918,C,117.1999969482422,114.54199829101563,113.20599899291992,114.22249908447266,118.32619995117187,122.23289993286133,113.70669986724853
2019-01-08,56.31786162638386,C,119.62999725341795,115.23399810791015,114.5989990234375,114.12899894714356,118.32219985961915,122.20399993896484,113.82624984741211
2019-01-09,57.60797810535328,C,122.16000366210938,116.80399932861329,115.69599914550781,114.1199993133545,118.30679992675782,122.18699996948243,113.95289985656738
2019-01-10,60.311176255010935,C,123.36000061035156,119.48399963378907,116.79399948120117,114.21299934387207,118.32919998168946,122.17669998168945,114.08469985961914
2019-01-11,61.47004699607214,C,122.80999755859376,121.03199920654296,117.6839988708496,114.45249938964844,118.35119995117188,122.15059997558593,114.2244998550415
2019-01-14,61.76172841143011,A,121.48999786376952,121.88999938964844,118.21599884033203,114.74399909973144,118.34759994506835,122.10129997253418,114.35454982757568
2019-01-15,61.73628583169614,A,122.87999725341795,122.53999938964844,118.88699874877929,115.11499900817871,118.35779983520507,122.06449996948243,114.48589981079101
2019-01-16,61.72115676709148,A,124.73999786376952,123.05599822998047,119.92999877929688,115.66249885559083,118.32019973754883,122.04999992370605,114.6296997833252
2019-01-17,61.31172304645222,C,124.08999633789062,123.20199737548828,121.34299850463867,116.35699882507325,118.28819961547852,122.03179985046387,114.76954975128174
2019-01-18,61.778896819223206,C,127.19000244140624,124.07799835205078,122.55499877929688,117.3054988861084,118.34859970092774,122.03279991149903,114.9169497680664
2019-01-21,62.86108688778907,A,127.19000244140624,125.21799926757812,123.55399932861329,118.3799991607666,118.46999969482422,122.03379997253418,115.0626997756958
