Date,GRADE,GPS,ODFL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-09-21,59.84344932884708,P,199.06634521484372,202.35784301757812,205.24983673095704,208.5923858642578,204.079658203125,183.70861724853515,173.25644721984864
2023-09-22,59.051929762889905,P,199.3300323486328,201.4683044433594,204.22547607421876,208.39327011108398,204.31086547851564,184.12843505859374,173.5220401763916
2023-09-25,59.543507899841046,P,203.2354431152344,201.33596801757812,203.3533508300781,208.20675888061524,204.56540649414063,184.61376586914062,173.8187875366211
2023-09-26,58.7610645106219,P,198.5091552734375,200.61259765625,202.21705169677733,207.5003677368164,204.61686584472656,185.04930252075195,174.10672882080078
2023-09-27,57.916742269574264,P,198.94696044921875,199.81758728027344,201.42850799560546,206.75348739624025,204.6671405029297,185.477998046875,174.38917373657227
2023-09-28,59.168008543586694,P,202.01158142089844,200.40663452148436,201.38223876953126,206.23290405273437,204.74729431152343,185.9571467590332,174.7001805114746
2023-09-29,60.30779842387215,P,203.5488739013672,201.25040283203126,201.3593536376953,205.57794036865235,204.89666534423827,186.46333404541016,175.00863471984863
2023-10-02,59.71928938005715,P,200.58871459960935,200.72105712890624,201.02851257324218,204.77496871948242,205.03683624267578,186.94781265258788,175.30228813171388
2023-10-03,60.76934679278721,P,198.93701171875,200.80662841796874,200.70961303710936,204.18865966796875,205.08522247314454,187.4557356262207,175.5860220336914
2023-10-04,61.660024132124676,P,200.57379150390625,201.13199462890626,200.47479095458985,203.6737434387207,204.9140426635742,187.9535676574707,175.88914573669433
2023-10-05,60.93127203672503,P,200.63348388671875,200.85637512207032,200.63150482177736,202.9406707763672,204.82974731445313,188.43874221801758,176.18183311462403
2023-10-06,61.355821566586066,P,205.67819213867188,201.28223876953126,201.26632080078124,202.7458984375,204.6926593017578,188.9992839050293,176.50668563842774
2023-10-09,63.88602923460877,A,210.03135681152344,203.17076721191407,201.94591217041017,202.64963150024414,204.72315643310546,189.59968353271483,176.85330398559572
2023-10-10,67.12081227224223,A,211.49400329589844,205.68216552734376,203.24439697265626,202.7307243347168,204.85110107421875,190.21892929077148,177.2103593444824
2023-10-11,70.50038307217807,A,211.8173828125,207.9308837890625,204.53143920898438,202.97997360229493,205.02577453613281,190.84547943115234,177.5534871673584
2023-10-12,73.70883517714557,A,210.97662353515625,209.99951171875,205.42794342041014,203.40509109497071,205.1392956542969,191.4154202270508,177.91053398132325
