Date,GRADE,GPS,BIIB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-02-14,70.25474951439074,A,333.0,334.04600219726564,323.50600280761716,302.50950317382814,298.55440124511716,284.5167007446289,258.172200088501
2020-02-17,69.21005992413606,A,333.0,332.86000366210936,329.5330017089844,304.88450317382814,299.3034014892578,285.51850067138673,258.70890007019045
2020-02-18,69.05331792561623,A,337.1000061035156,333.82200317382814,334.91400146484375,307.38000335693357,300.1014013671875,286.61750076293947,259.2485001373291
2020-02-19,69.29304676055763,A,341.0400085449219,335.6780029296875,335.7310028076172,310.0270034790039,301.07760131835937,287.8153009033203,259.80075019836426
2020-02-20,68.82892749635151,A,336.6400146484375,336.156005859375,335.67100524902344,312.64850463867185,301.9334014892578,288.9567010498047,260.3296002960205
2020-02-21,68.38785423789086,A,336.7099914550781,336.89800415039065,335.4720031738281,315.5770034790039,302.7310015869141,290.0838009643555,260.8667502593994
2020-02-24,66.95571376317459,A,325.9800109863281,335.49400634765624,334.1770050048828,317.8190032958984,303.22260192871096,291.0737010192871,261.34285034179686
2020-02-25,65.24276441506176,P,324.1099853515625,332.8960021972656,333.3590026855469,319.927001953125,303.7626019287109,292.0954008483887,261.79880027771
2020-02-26,64.01169480059062,P,327.45001220703125,330.1780029296875,332.9280029296875,322.17350311279296,304.3794024658203,293.1486009216309,262.26085037231445
2020-02-27,61.96689291412312,P,310.0799865722656,324.8659973144531,330.51100158691406,323.8010025024414,304.6294024658203,294.0194007873535,262.66570030212404
2020-02-28,59.85474828440639,P,308.3900146484375,319.202001953125,328.0500030517578,325.7780029296875,304.77620300292966,294.8712008666992,263.07235038757324
2020-03-02,60.36893841925205,P,327.8900146484375,319.58400268554686,327.53900451660155,328.53600311279297,305.30280334472656,295.8925010681152,263.57650047302246
2020-03-03,59.732675373390606,P,315.7799987792969,317.9180053710937,325.40700378417966,330.1605026245117,305.5370031738281,296.7897010803223,264.02770050048827
2020-03-04,59.07540142999593,P,328.45001220703125,318.1180053710938,324.14800415039065,329.9395034790039,306.02460327148435,297.79700119018554,264.55295059204104
2020-03-05,59.11630527029022,P,317.70001220703125,319.6420104980469,322.25400390625,328.9625045776367,306.3428033447266,298.7180012512207,265.0225506591797
2020-03-06,59.33286630495513,A,317.95001220703125,321.55401000976565,320.3780059814453,327.92500457763674,306.7000036621094,299.69690139770506,265.5158507537842
2020-03-09,56.1275418096479,P,297.19000244140625,315.41400756835935,317.49900512695314,325.83800506591797,306.723603515625,300.43370147705076,265.8849507904053
2020-03-10,54.3042929183863,P,305.6300048828125,313.3840087890625,315.6510070800781,324.5050048828125,306.9016033935547,300.67130157470706,266.2781008148193
2020-03-11,51.226013580722196,P,294.25,306.54400634765625,312.331005859375,322.62950439453124,306.8520031738281,300.82560150146486,266.6189008331299
2020-03-12,47.01801903520851,P,268.8800048828125,296.7800048828125,308.2110076904297,319.3610046386719,306.34480346679686,300.65760162353513,266.84155082702637
2020-03-13,45.5710639190463,P,305.2099914550781,294.23200073242185,307.89300537109375,317.9715042114258,306.63200317382814,300.82930145263674,267.23145080566405
2020-03-16,43.979603339701676,P,281.7200012207031,291.13800048828125,303.2760040283203,315.4075042724609,306.4500030517578,300.6911013793945,267.4980508422852
2020-03-17,44.03035005797208,P,305.32000732421875,291.0760009765625,302.2300048828125,313.8185043334961,306.75460327148437,300.76930145263674,267.879250869751
2020-03-18,44.48303563699153,P,298.67999267578125,291.9619995117188,299.2530029296875,311.70050354003905,306.8750030517578,300.7572012329102,268.220500869751
2020-03-19,46.3427338855144,P,288.0199890136719,295.7899963378906,296.2850006103516,309.2695022583008,306.74940307617186,300.6503012084961,268.50430084228515
2020-03-20,44.01244469036403,B,278.7699890136719,290.5019958496094,292.36699829101565,306.3725021362305,306.3946026611328,300.4460009765625,268.7598007965088
2020-03-23,43.745796752577,B,269.19000244140625,287.99599609375,289.56699829101564,303.5330017089844,305.90040283203126,300.20360107421874,268.94685081481936
