Date,GRADE,GPS,DE,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-02-20,44.72410263636155,B,12.760381698608398,13.143729400634765,13.245407962799073,13.304576444625855,13.500380401611329,12.553911209106445,12.164176611900329
2001-02-21,44.6088632678316,B,12.55197048187256,13.004157829284669,13.161412048339844,13.272012329101562,13.492935485839844,12.5694375705719,12.154684777259826
2001-02-22,44.47351313805927,B,12.514080047607422,12.851323509216309,13.078995609283448,13.223738479614259,13.487089710235596,12.586156301498413,12.145391402244568
2001-02-23,44.345544386010964,B,12.41303253173828,12.690911483764648,12.967843818664551,13.186201095581055,13.476866035461425,12.601078901290894,12.134816980361938
2001-02-26,44.25550528023845,B,12.905632019042969,12.629019355773925,12.941318798065186,13.167254495620728,13.465494937896729,12.61896339416504,12.122438325881959
2001-02-27,44.28345425381179,B,12.905632019042969,12.65806941986084,12.900899410247803,13.135045528411865,13.453338203430176,12.640972585678101,12.113551030158996
2001-02-28,44.34676178080434,B,12.85196304321289,12.718067932128907,12.861112880706788,13.099995326995849,13.441286582946777,12.662641553878784,12.104686341285706
2001-03-01,44.41768609877591,B,12.82669448852539,12.7805908203125,12.815957164764404,13.072365331649781,13.425979747772217,12.68778974533081,12.094434537887572
2001-03-02,44.54416170766739,B,13.041418075561523,12.90626792907715,12.798589706420898,13.05341877937317,13.403182373046874,12.716263618469238,12.090299444198608
2001-03-05,44.639745275910684,B,13.391929626464844,13.003527450561524,12.816273403167724,13.054208087921143,13.3873952293396,12.745885639190673,12.08791690826416
2001-03-06,44.742586882664874,B,13.49297046661377,13.120995140075683,12.889532279968261,13.067470121383668,13.367343826293945,12.780053606033325,12.085166721343994
2001-03-07,44.96908541333908,C,14.310829162597656,13.412768363952637,13.065418148040772,13.113415098190307,13.359496841430664,12.821614456176757,12.092227792739868
2001-03-08,45.21697766035621,A,14.4971342086792,13.746856307983398,13.263723564147949,13.171359586715699,13.354981327056885,12.864056272506714,12.098183722496033
2001-03-09,45.35836650067761,A,14.0424222946167,13.947057151794434,13.42666254043579,13.19725317955017,13.346502895355224,12.902540187835694,12.103223896026611
2001-03-12,45.366943018281006,A,13.45192527770996,13.959056282043457,13.48129186630249,13.211305332183837,13.32621452331543,12.933154983520508,12.105408549308777
2001-03-13,45.371602273421814,A,13.751909255981444,14.010844039916993,13.565919589996337,13.23340950012207,13.318241233825683,12.96303771018982,12.106183619499207
2001-03-14,45.16605977732913,A,13.338244438171388,13.816327095031738,13.614547729492188,13.237830305099488,13.305152359008789,12.99133719444275,12.106054177284241
2001-03-15,44.91799396245302,A,13.28140354156494,13.573180961608887,13.660018634796142,13.237987899780274,13.282637729644776,13.018479061126708,12.106901273727416
2001-03-16,44.7212523393614,A,13.035103797912598,13.371717262268067,13.65938720703125,13.228988456726075,13.264275550842285,13.040408029556275,12.107680678367615
2001-03-19,44.641426985176196,A,13.063514709472656,13.294035148620605,13.626545715332032,13.221409559249878,13.248060531616211,13.055943012237549,12.108262705802918
2001-03-20,44.48712095952715,P,12.735124588012695,13.090678215026855,13.550761127471924,13.220146703720093,13.224093627929687,13.067604808807372,12.109384860992431
2001-03-21,44.306907604939845,B,12.053048133850098,12.833638954162598,13.324983024597168,13.19520058631897,13.189248104095459,13.07185664176941,12.103023386001587
2001-03-22,44.12614643728967,B,11.89200496673584,12.555759239196778,13.064470100402833,13.16409683227539,13.155128879547119,13.073712348937988,12.097117462158202
2001-03-23,43.93317398346769,B,11.412029266357422,12.231144332885743,12.801430797576904,13.114046669006347,13.125225162506103,13.07057183265686,12.089975457191468
2001-03-26,43.755534014094486,B,11.525705337524414,11.923582458496094,12.608808803558349,13.04505033493042,13.097594966888428,13.066996812820435,12.085244479179382
2001-03-27,43.66040745993612,B,11.721492767333984,11.720856094360352,12.405767154693603,12.98584337234497,13.066775741577148,13.068129472732544,12.08304416179657
2001-03-28,43.73887412590429,B,11.870793342590332,11.6844051361084,12.259022045135499,12.936784887313843,13.0436789894104,13.069576597213745,12.081493344306946
2001-03-29,43.83651886006414,B,11.705601692199709,11.647124481201171,12.101441860198975,12.880730247497558,13.02240966796875,13.069764652252196,12.08251097202301
2001-03-30,43.964846153364284,B,11.543607711791992,11.673440170288085,11.952292251586915,12.805839729309081,12.999874076843263,13.070886182785035,12.081748795509338
2001-04-02,44.04080616679013,B,11.43559741973877,11.655418586730956,11.789500522613526,12.708023118972779,12.97596773147583,13.07073124885559,12.080737519264222
2001-04-03,44.0052973417645,B,10.990875244140623,11.509295082092285,11.615075588226318,12.58291835784912,12.932904376983643,13.065343389511108,12.07498110294342
2001-04-04,43.93684494928496,B,11.25771141052246,11.386678695678711,11.535541915893555,12.43026247024536,12.893993549346924,13.062623891830444,12.070751972198487
