Date,GRADE,GPS,CRL,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2013-11-28,62.216647244128445,A,52.040000915527344,52.184000396728514,51.8060001373291,51.07150001525879,48.63779991149902,47.49880001068115,45.191750087738036
2013-11-29,62.140470458282124,A,52.16999816894531,52.19599990844726,51.85,51.199499893188474,48.75939987182617,47.58059997558594,45.25060007095337
2013-12-02,61.9932094176917,A,52.06999969482422,52.119999694824216,51.947000122070314,51.31199989318848,48.891599884033205,47.65749996185303,45.31215007781982
2013-12-03,61.831446079830975,A,51.650001525878906,51.99400024414062,51.988000106811526,51.34650001525879,49.00459991455078,47.73579998016358,45.37235008239746
2013-12-04,61.73091918787093,A,51.77000045776367,51.94000015258789,52.01400032043457,51.42800006866455,49.116399917602536,47.816999969482424,45.42925008773804
2013-12-05,61.708664021557745,A,52.060001373291016,51.944000244140625,52.06400032043457,51.56450004577637,49.22679992675781,47.89369998931885,45.48585008621216
2013-12-06,61.78165950439049,A,52.91999816894531,52.094000244140624,52.14500007629395,51.717000007629395,49.36019989013672,47.97849998474121,45.54745008468628
2013-12-09,61.83463311136421,A,52.880001068115234,52.25600051879883,52.18800010681152,51.86200008392334,49.492599945068356,48.06099998474121,45.60940008163452
2013-12-10,61.93006627022081,A,52.619998931884766,52.45,52.22200012207031,51.94400005340576,49.61259994506836,48.144899978637696,45.66590007781983
2013-12-11,61.918085007370514,A,52.150001525878906,52.52600021362305,52.23300018310547,52.000000190734866,49.71899993896484,48.22059997558594,45.717150077819824
2013-12-12,61.866847852207,A,52.36000061035156,52.58600006103516,52.26500015258789,52.0355001449585,49.83219993591309,48.298399963378905,45.770450077056886
2013-12-13,61.69421523502789,A,52.540000915527344,52.51000061035156,52.30200042724609,52.07600021362305,49.940399932861325,48.37709999084473,45.818000087738035
2013-12-16,61.611283785716154,A,52.79999923706055,52.49400024414062,52.375000381469725,52.16100025177002,50.069399948120115,48.45809997558594,45.865800075531006
