Date,GRADE,GPS,WY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-04-14,53.309700218415,B,12.682174682617188,13.043332481384278,13.41930980682373,13.423694753646851,13.253220691680909,13.856679925918579,14.24448678970337
2008-04-15,52.27748872009548,B,12.753155708312988,12.877158546447754,13.29906349182129,13.389353513717651,13.236311168670655,13.84034857749939,14.228048768043518
2008-04-16,52.44038941681967,B,13.189465522766112,12.874653625488282,13.23079891204834,13.398017024993896,13.23163501739502,13.823187685012817,14.213944854736328
2008-04-17,52.86461334676718,B,13.16441535949707,12.905550765991212,13.159194850921631,13.394989824295044,13.224745941162109,13.805879678726196,14.198759469985962
2008-04-18,54.02134735777283,B,13.404486656188965,13.038739585876465,13.129759693145752,13.403966188430786,13.23255350112915,13.788531217575073,14.182688975334168
2008-04-21,55.053205246041216,B,13.289665222167969,13.160237693786621,13.10178508758545,13.390814065933228,13.231634826660157,13.771462011337281,14.166227478981018
2008-04-22,55.70054243698436,B,13.03498077392578,13.21660270690918,13.046880626678467,13.350523328781128,13.231801776885986,13.75468014717102,14.14721076488495
2008-04-23,55.46190890319654,B,13.02871799468994,13.184453201293945,13.029553413391113,13.320148611068726,13.229087829589844,13.734360151290893,14.127938947677613
2008-04-24,55.512254886617654,B,13.23956298828125,13.199482727050782,13.052516746520997,13.308666563034057,13.231133556365966,13.709735355377198,14.108632841110229
2008-04-25,55.85605899110823,C,13.771902084350586,13.272965812683106,13.155852699279786,13.33236060142517,13.239943180084229,13.691199436187745,14.094684286117554
2008-04-28,56.23537271612812,C,13.728066444396973,13.360646057128907,13.260441875457763,13.339875841140747,13.247876091003418,13.667777299880981,14.079265265464782
2008-04-29,56.920779186886506,C,13.510961532592772,13.455842208862304,13.336222457885743,13.317642974853516,13.256518898010254,13.649590320587158,14.065690493583679
2008-04-30,57.54149635118751,C,13.460389137268066,13.542176437377929,13.363314819335937,13.297056865692138,13.260058574676513,13.631352777481078,14.052391910552979
2008-05-01,58.16042568943168,C,13.620524406433104,13.6183687210083,13.40892572402954,13.284060287475587,13.271644115447998,13.613413238525391,14.043464713096618
2008-05-02,57.6630681903445,C,13.418242454528809,13.547636795043946,13.410301303863525,13.270030498504639,13.275384674072265,13.597629804611206,14.037310457229614
2008-05-05,57.131053010159384,C,13.247565269470217,13.451536560058594,13.40609130859375,13.2539381980896,13.267361221313477,13.584835739135743,14.028898901939392
2008-05-06,57.14254666125578,B,13.485671043395996,13.446478462219238,13.451160335540772,13.24902048110962,13.264099884033204,13.573264198303223,14.02385492324829
2008-05-07,57.209917142965104,B,13.2833890914917,13.411078453063965,13.476627445220947,13.253090429306031,13.25984079360962,13.55969054222107,14.018456110954284
2008-05-08,57.17632031005692,B,13.409814834594728,13.368936538696289,13.493652629852296,13.273084688186646,13.263788566589355,13.545912313461304,14.014992384910583
2008-05-09,57.2867550168037,C,13.207525253295898,13.326793098449707,13.437214946746826,13.296533823013306,13.272416725158692,13.52471170425415,14.012702479362488
2008-05-12,57.99720039535186,C,13.517276763916016,13.380735397338867,13.41613597869873,13.338288927078247,13.282521858215333,13.506525831222534,14.010678901672364
2008-05-13,58.228918663319405,B,13.557311058044434,13.395063400268555,13.420770931243897,13.37849669456482,13.29622501373291,13.488740301132202,14.008332257270814
2008-05-14,58.64516931229548,C,13.662673950195312,13.470920372009278,13.440999412536621,13.40215711593628,13.305939598083496,13.47322896003723,14.004850430488586
2008-05-15,59.6074963901265,C,14.117810249328612,13.612519454956054,13.490727996826172,13.449826860427857,13.333316268920898,13.463386125564575,14.007450494766235
2008-05-16,60.97495976654923,C,14.185235023498535,13.808061408996583,13.567427253723144,13.488864278793335,13.366133060455322,13.453017625808716,14.010233817100525
2008-05-19,61.73504936953038,C,14.092525482177734,13.923111152648925,13.651923274993896,13.529007291793823,13.401688289642333,13.44139102935791,14.010265731811524
2008-05-20,62.317133833008704,A,14.001916885375977,14.012032318115235,13.703547859191895,13.577354097366333,13.423699111938477,13.428858346939087,14.01310709476471
2008-05-21,62.4981694732467,A,13.650029182434082,14.009503364562988,13.740211868286133,13.60841965675354,13.435916557312012,13.41739951133728,14.01643581867218
2008-05-22,61.834640294291056,A,13.753276824951172,13.9365966796875,13.774558067321777,13.634105348587036,13.447234592437745,13.405566329956054,14.020598788261413
2008-05-23,60.67663653569941,A,13.496203422546388,13.79879035949707,13.803425884246826,13.620320415496826,13.458421421051025,13.398568668365478,14.021393761634826
2008-05-26,59.64312070166801,A,13.496203422546388,13.6795259475708,13.801318550109864,13.608727264404298,13.465057182312012,13.392584800720215,14.021932258605958
