Date,GRADE,GPS,TRMB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1997-01-30,55.47629975184382,C,2.291666984558105,2.233333396911621,2.1854167938232423,2.1145833492279054,2.135052099227905,2.281067700386047,2.8339192605018617
1997-01-31,55.477321175725145,C,2.229166984558105,2.2416667938232417,2.2083334922790527,2.128125047683716,2.1383854389190673,2.278567700386047,2.8254817605018614
1997-02-03,55.39216597438844,C,2.229166984558105,2.233333587646484,2.2270834922790526,2.1406250476837156,2.1408854389190672,2.275442700386047,2.8162109303474425
1997-02-04,55.302191818000246,C,2.1875,2.225000190734863,2.222916793823242,2.1489583969116213,2.141302099227905,2.270026030540466,2.807044265270233
1997-02-05,55.220167232064966,C,2.1875,2.225000190734863,2.222916793823242,2.1489583969116213,2.1408854389190672,2.263776030540466,2.7987109303474424
1997-02-06,55.07227753307159,C,2.1875,2.204166793823242,2.2187500953674313,2.154166746139526,2.140468778610229,2.256692700386047,2.790481765270233
1997-02-07,54.929203686803554,C,2.1145830154418945,2.18125,2.211458396911621,2.157812547683716,2.136927099227905,2.248046860694885,2.782825515270233
1997-02-10,54.78957705869916,B,2.104166984558105,2.15625,2.1947917938232417,2.159895896911621,2.127760438919067,2.240755200386047,2.7748046851158144
1997-02-11,54.7244767251811,B,2.104166984558105,2.139583396911621,2.182291793823242,2.161979246139526,2.1185937786102294,2.2345052003860473,2.766367185115814
1997-02-12,54.683300426033185,B,2.0833330154418945,2.1187499999999995,2.1718750953674313,2.1651042461395265,2.112760438919067,2.228463530540466,2.758346350193024
1997-02-13,54.64311290553769,B,2.0833330154418945,2.0979166030883785,2.1510416984558103,2.1682292461395263,2.106093759536743,2.222421860694885,2.7503255152702333
1997-02-14,54.645129459231136,B,2.0625,2.0874999999999995,2.134375,2.1713542461395265,2.101093759536743,2.216171860694885,2.7419921803474425
