Date,GRADE,GPS,TER,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-09-10,50.072730177703,P,74.26687622070312,75.81049957275391,79.8477294921875,83.89146575927734,85.42074279785156,77.0257043838501,69.81222343444824
2020-09-11,49.65262324085388,P,73.75496673583984,75.08594512939453,78.79342727661133,83.15143089294433,85.23249771118164,77.15458194732666,69.867601146698
2020-09-14,49.45944094579334,P,75.62541961669922,74.73548126220703,78.00090026855469,82.4105224609375,85.01184814453126,77.28498374938965,69.93438972473145
2020-09-15,50.37422705224737,P,75.99950408935547,75.06428375244141,77.20841827392579,81.72519149780274,84.83388244628907,77.4246240234375,70.00035293579101
2020-09-16,50.73891588490549,P,75.14305114746094,74.95796356201171,76.02314147949218,81.04571113586425,84.61105865478515,77.51515441894531,70.05473072052001
2020-09-17,51.6253346825689,P,76.43267822265625,75.39112396240235,75.60081176757812,80.5049503326416,84.40006484985352,77.66550773620605,70.11139041900634
2020-09-18,52.58277653628835,P,75.18242645263672,75.67661590576172,75.38128051757812,79.93756828308105,84.18530502319337,77.84940166473389,70.1604264831543
2020-09-21,53.21195398858526,P,75.72386169433594,75.69630432128906,75.21589279174805,79.34366874694824,83.991796875,78.03154335021972,70.20418033599853
2020-09-22,53.45160036850225,P,75.36946105957031,75.57029571533204,75.31728973388672,78.67206840515136,83.79592010498047,78.20169807434083,70.24518199920654
2020-09-23,53.99641004420193,P,74.23734283447266,75.38915405273437,75.17355880737304,77.96549377441406,83.5789747619629,78.3501252746582,70.2811111831665
2020-09-24,54.03175743459784,P,75.11351776123047,75.12532196044921,75.25822296142579,77.55297622680663,83.38800918579102,78.48836688995361,70.32063709259033
2020-09-25,54.289007107935014,P,76.51142883300781,75.39112243652343,75.53386917114258,77.16364822387695,83.21870880126953,78.61447364807128,70.36328037261963
2020-09-28,54.82036409278075,A,77.96841430664062,75.84003295898438,75.76816864013672,76.8845344543457,83.01325668334961,78.77458843231202,70.41458095550537
2020-09-29,55.57258246529391,A,78.61814880371094,76.4897705078125,76.03003311157227,76.61922569274903,82.82119277954102,78.95896991729737,70.46952236175537
2020-09-30,56.55648730352186,A,78.22435760498047,77.28717346191407,76.33816375732422,76.1806526184082,82.6257763671875,79.15482662200928,70.52249481201171
2020-10-01,57.79600261795863,A,80.03575897216797,78.27162170410156,76.69847183227539,76.14964179992675,82.53325561523438,79.35250061035157,70.58138732910156
2020-10-02,58.41831925275765,A,77.39744567871094,78.44882507324219,76.91997375488282,76.15062713623047,82.43850967407226,79.56796928405761,70.6294900894165
2020-10-05,59.07703719558719,A,79.96685791015625,78.84851379394532,77.34427337646484,76.28008308410645,82.3009521484375,79.77221908569337,70.69230239868165
2020-10-06,59.643712501098754,A,79.84870147705078,79.09462432861328,77.7921974182129,76.5547435760498,82.1869903564453,79.97067329406738,70.75731765747071
2020-10-07,60.43557865582279,A,81.01036834716797,79.65182647705078,78.46949996948243,76.82152938842773,82.06145385742188,80.15708442687988,70.82814125061036
2020-10-08,60.59277533555826,A,81.1974105834961,79.8841567993164,79.07788925170898,77.16805610656738,81.9428044128418,80.36293891906739,70.8925969696045
2020-10-09,62.01481541146858,A,84.7611083984375,81.35688934326171,79.90285720825196,77.71836318969727,81.88854583740235,80.59451499938965,70.98197826385498
2020-10-12,62.99776034590292,A,85.28288269042969,82.4200942993164,80.63430404663086,78.20123634338378,81.81915725708008,80.83130882263184,71.08122261047363
2020-10-13,64.00657446666477,A,86.26731872558594,83.70381774902344,81.39922103881835,78.71462707519531,81.78381362915039,81.05631446838379,71.17818393707276
2020-10-14,64.53761318632665,A,85.57820129394531,84.61738433837891,82.13460540771484,79.23638458251953,81.71266174316406,81.24748649597169,71.27130764007569
2020-10-15,65.12079844597294,A,85.93262481689453,85.56442718505859,82.7242919921875,79.71138191223145,81.64446807861329,81.47199676513672,71.36639945983887
2020-10-16,64.5682433993662,A,85.24349212646484,85.66090393066406,83.50889663696289,80.21443519592285,81.62719268798828,81.66542648315429,71.45966312408447
2020-10-19,64.04497624864274,A,85.32225799560547,85.66877899169921,84.04443664550782,80.69435501098633,81.62073608398437,81.85826721191407,71.54675277709961
2020-10-20,63.58324312204303,A,86.572509765625,85.72981719970703,84.71681747436523,81.25450744628907,81.6556071472168,82.04109329223633,71.63519222259521
2020-10-21,64.23826051505566,A,90.63827514648438,86.74183197021485,85.67960815429687,82.07455406188964,81.705322265625,82.23635620117187,71.7494499206543
