Date,GRADE,GPS,SCHW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1988-04-06,,,0.1122879311442375,0.10966806113719936,0.11434674561023708,0.12267466485500333,0.1170789577066898,0.10611216560006137,
1988-04-07,,,0.1122879311442375,0.11004228740930555,0.1132238574326038,0.12117748297750948,0.11737839356064793,0.10618702508509154,
1988-04-08,,,0.1122879311442375,0.11041651368141173,0.1124752633273601,0.11986744776368137,0.11767782941460606,0.10622445508837694,
1988-04-11,,,0.1160309389233589,0.11228793263435362,0.11228808090090747,0.11902530454099174,0.11797726571559902,0.10629931516945357,
1988-04-12,,,0.1179027631878852,0.11415949910879133,0.1122880809009075,0.11855745464563365,0.1182767033576965,0.10639289349317545,
1988-04-13,,,0.1160309389233589,0.11490810066461558,0.11228808090090747,0.11790245510637756,0.11853870451450345,0.10648646444082255,
1988-04-14,,,0.1104167997837066,0.11453387439250942,0.11228808090090747,0.11696674861013885,0.11868842288851734,0.10652389399707313,
1988-04-15,,,0.1104167997837066,0.11415964812040325,0.1122880809009075,0.11612460054457183,0.11887557640671725,0.10658004216849798,
1988-04-18,,,0.1122879311442375,0.11341104656457897,0.11284948959946631,0.11537600904703135,0.11906271740794176,0.10671104177832598,
1988-04-19,,,0.1122879311442375,0.11228808015584942,0.11322378963232038,0.11462741754949088,0.11924985840916628,0.10684204138815398,
1988-04-20,,,0.1141597926616668,0.111913850903511,0.1134109757840633,0.11387886069715018,0.11943701460957522,0.10701047793030734,
1988-04-21,,,0.1160309389233589,0.11303667873144145,0.11378527656197543,0.11350456699728961,0.119661593735218,0.10721633732318873,
1988-04-22,,,0.1141597926616668,0.11378527730703351,0.11397246271371837,0.11322386302053926,0.1198861719667911,0.10745963312685484,
1988-04-25,,,0.1141597926616668,0.11415964961051936,0.11378534808754917,0.11303671449422832,0.12011075019836422,0.1076842107623815,
1988-04-26,,,0.1122879311442375,0.11415964961051936,0.1132238648831844,0.11275597289204593,0.12026046916842457,0.10790878795087332,
1988-04-27,,,0.1122879311442375,0.1137852773070335,0.11284956410527225,0.11256882250308986,0.12041018813848492,0.10811464697122569,
1988-04-28,,,0.1122879311442375,0.11303667575120921,0.11303667724132535,0.1126623790711164,0.12055990710854526,0.10832050599157805,
1988-04-29,,,0.1141597926616668,0.11303667575120921,0.11341097652912135,0.11284952871501441,0.1207470633089542,0.10856380179524416,
1988-05-02,,,0.1160309389233589,0.11341090500354764,0.1137852773070335,0.11331738345324989,0.12089678347110745,0.10884452037513251,
1988-05-03,,,0.1197738721966743,0.11490809321403499,0.11453387141227718,0.11387883052229877,0.12104650229215619,0.109162668287754,
1988-05-04,,,0.1160309389233589,0.11565669476985926,0.11472098603844641,0.11406598091125483,0.12108392521739003,0.10944338686764236,
1988-05-05,,,0.1141597926616668,0.11603106707334514,0.1145338714122772,0.11415957398712631,0.12097164362668987,0.10968668267130849,
1988-05-06,,,0.1141597926616668,0.11603106707334514,0.11453387141227718,0.11425316706299778,0.12070964425802228,0.10989254891872402,
1988-05-09,,,0.1122879311442375,0.11528246551752086,0.11434668526053424,0.11406601667404173,0.12026048973202702,0.11002354852855202,
