Date,GRADE,GPS,HSY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2008-06-25,55.30288055416859,B,22.71065330505371,22.81631393432617,23.6656795501709,24.813065242767333,24.867430801391603,24.851351299285888,25.84331422805786
2008-06-26,55.1956976491036,B,22.27716636657715,22.611761856079102,23.377139282226562,24.564487361907958,24.833371543884276,24.84131326675415,25.80284631729126
2008-06-27,55.1175886775458,B,21.99946403503418,22.439723205566406,22.98090515136719,24.337245750427247,24.795908317565917,24.831897354125978,25.759203729629515
2008-06-30,55.125229984306664,B,22.202659606933597,22.350317001342773,22.771611785888673,24.129307460784915,24.75941829681397,24.822447223663332,25.717503280639647
2008-07-01,55.2684564100339,B,22.12137794494629,22.262264251708984,22.60295696258545,23.936608791351322,24.726006011962895,24.80325309753418,25.675462560653685
2008-07-02,55.27960159977596,B,22.13492774963379,22.147119140625,22.481716537475585,23.736120700836185,24.695283470153814,24.785527515411378,25.633985681533815
2008-07-03,55.55504759045325,B,22.263622283935547,22.14441032409668,22.37808609008789,23.54240636825562,24.67358520507813,24.770688495635987,25.592160005569458
2008-07-04,55.966640795173966,B,22.263622283935547,22.197241973876952,22.31848258972168,23.386960506439213,24.652021179199224,24.75345006942749,25.549970541000366
2008-07-07,56.23831103785742,B,22.622608184814453,22.281231689453126,22.315774345397948,23.254543972015384,24.61600193023682,24.739801502227785,25.506268358230592
2008-07-08,56.5465580664169,B,22.86644554138184,22.430245208740235,22.346254730224608,23.123821163177492,24.57128684997559,24.721526374816893,25.469176797866822
2008-07-09,56.83432241768268,B,22.76484680175781,22.556229019165038,22.35167407989502,23.008676815032963,24.5242709350586,24.701902008056642,25.43581102371216
2008-07-10,57.02123175397154,C,22.798704147338867,22.663245391845702,22.40382785797119,22.89048357009888,24.46530040740967,24.683839111328126,25.4023499584198
2008-07-11,57.05090138854126,C,22.69710350036621,22.749941635131837,22.473591804504395,22.727248477935795,24.40631366729737,24.663282012939455,25.365635538101195
2008-07-14,57.159993780869506,C,23.00189781188965,22.825799560546876,22.553515625,22.662563705444338,24.352751083374027,24.638583526611328,25.333223457336427
2008-07-15,57.09273899468452,C,22.64969062805176,22.78244857788086,22.606346893310548,22.604651927948,24.290934677124028,24.612513103485107,25.294155054092407
2008-07-16,57.20397589214317,C,23.042537689208984,22.837986755371094,22.697107887268068,22.58941221237183,24.24100677490235,24.59245397567749,25.259167804718018
2008-07-17,57.50266945098388,C,23.59117126464844,22.99648017883301,22.829862785339355,22.603974437713624,24.20836750030518,24.57956090927124,25.228279762268066
2008-07-18,57.950375348812976,C,23.706317901611328,23.198323059082036,22.974132347106934,22.64630746841431,24.185421943664554,24.567483406066895,25.19710753440857
2008-07-21,58.10475031960937,C,23.3134765625,23.260638809204103,23.04321918487549,22.67949676513672,24.151797561645513,24.551746253967284,25.163938007354737
2008-07-22,58.52693502171473,C,23.67245101928711,23.465190887451172,23.123819732666014,22.73503723144531,24.12481510162354,24.54027074813843,25.13517635345459
2008-07-23,59.12246216552861,C,24.959362030029297,23.848555755615234,23.343271255493164,22.847472667694092,24.123302078247075,24.539850177764894,25.113477716445924
2008-07-24,59.42329256487952,C,24.53942108154297,24.038205718994142,23.517342948913573,22.960585403442384,24.112449722290044,24.545913467407228,25.09378092765808
2008-07-25,59.70556799849544,C,24.607158660888672,24.21837387084961,23.70834846496582,23.09097013473511,24.101070518493657,24.556483936309814,25.07882195472717
2008-07-28,60.080309290913455,C,24.397188186645508,24.43511619567871,23.847877502441406,23.200696563720705,24.083073043823248,24.563342151641844,25.06135774612427
2008-07-29,60.44195753564236,C,24.898412704467773,24.680308532714843,24.07274971008301,23.339548301696777,24.080878524780278,24.567888889312744,25.045969705581665
2008-07-30,60.35408614793071,C,25.033876419067383,24.69521141052246,24.27188358306885,23.48449573516846,24.088870964050297,24.57029634475708,25.032118949890137
2008-07-31,60.32660160728705,C,24.90519142150879,24.768365478515626,24.403285598754884,23.616574192047118,24.088058357238776,24.572021656036377,25.017723970413208
2008-08-01,60.17969795710496,C,24.68843460083008,24.784620666503905,24.501497268676758,23.737814807891844,24.08724559783936,24.57393112182617,25.00323745727539
2008-08-04,60.23139990441113,A,24.97968101501465,24.901119232177734,24.668117713928222,23.855668449401854,24.092257766723638,24.58258279800415,24.990207176208497
2008-08-05,60.097278270813575,C,25.46735954284668,25.014908599853516,24.84760856628418,23.985714149475097,24.060694541931156,24.59268461227417,24.976969261169433
2008-08-06,60.5287932117244,C,27.24872398376465,25.45787811279297,25.076544761657715,24.20990800857544,24.07952411651612,24.617173442840578,24.970620546340943
2008-08-07,61.05821750993988,C,27.418058395385746,25.960451507568358,25.364408493041996,24.440875720977782,24.08291080474854,24.636166191101076,24.968690700531006
2008-08-08,61.723634785285434,A,27.485788345336918,26.519922256469727,25.652271461486816,24.680309963226318,24.10174064636231,24.655836238861085,24.968091821670534
2008-08-11,62.39370009048844,A,28.00054931640625,27.124095916748047,26.01260757446289,24.93024253845215,24.13452312469483,24.67783193588257,24.970926752090453
2008-08-12,62.96563344161728,A,27.66865348815918,27.564354705810548,26.289631652832032,25.18119068145752,24.168389167785648,24.69489616394043,24.97200291633606
2008-08-13,62.87014253080999,A,27.62125015258789,27.638859939575195,26.548369026184083,25.410126304626466,24.197920379638678,24.714980163574218,24.97535590171814
2008-08-14,62.76961168217722,A,27.898950576782227,27.735038375854494,26.847744941711426,25.625515270233155,24.233141212463384,24.737706775665284,24.979105072021483
2008-08-15,62.72050684722098,A,28.19019889831543,27.875920486450195,27.197921371459962,25.84970932006836,24.28949440002442,24.76569755554199,24.984310483932497
2008-08-18,61.68664367424003,A,25.541868209838867,27.384184265136717,27.254140090942382,25.961128902435302,24.294912986755374,24.768011379241944,24.97544738769531
2008-08-19,60.75004018053658,A,25.59605598449707,26.969664764404296,27.267009735107422,26.0573091506958,24.297216072082524,24.760318202972414,24.96427523612976
2008-08-20,59.90983897551289,A,25.66378402709961,26.57817153930664,27.108515739440918,26.092530250549316,24.30913707733155,24.754713382720947,24.95959391593933
