Date,GRADE,GPS,SNPS,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1993-01-08,47.827958380576526,A,9.25,8.975,8.778125,8.671875,8.316875,7.63625,7.25203125
1993-01-11,47.90671100657292,A,9.125,9.0875,8.828125,8.7125,8.348125,7.67,7.25984375
1993-01-12,47.93720397101842,A,8.875,9.1375,8.871875,8.740625,8.370625,7.7,7.26640625
1993-01-13,47.87777468143123,A,8.875,9.075,8.90625,8.76875,8.391875,7.72625,7.27390625
1993-01-14,47.82603225753576,A,9.125,9.05,8.953125,8.796875,8.414375,7.7540625,7.2821875
1993-01-15,47.79303177204065,A,9.3125,9.0625,9.01875,8.83125,8.438125,7.7834375,7.29125
1993-01-18,47.77810788670502,A,9.375,9.1125,9.1,8.86875,8.459375,7.8146875,7.2996875
1993-01-19,47.77679700988974,A,9.15625,9.16875,9.153125,8.89375,8.48125,7.8434375,7.30578125
1993-01-20,47.70987915112136,A,8.5,9.09375,9.084375,8.88125,8.48625,7.8653125,7.30921875
1993-01-21,47.62649960972602,A,8.53125,8.975,9.0125,8.8703125,8.494375,7.888125,7.31375
1993-01-22,47.49896186919711,P,8.375,8.7875,8.925,8.8515625,8.499375,7.90875,7.3175
1993-01-25,47.423720886690575,P,8.875,8.6875,8.9,8.8640625,8.5125,7.934375,7.32515625
1993-01-26,47.406780955554375,P,9.0,8.65625,8.9125,8.8921875,8.52875,7.9625,7.33609375
1993-01-27,47.47288136787483,P,8.75,8.70625,8.9,8.903125,8.535,7.9875,7.34671875
1993-01-28,47.506454483809584,P,8.625,8.725,8.85,8.9015625,8.5325,8.0075,7.35640625
1993-01-29,47.54211081757401,P,8.4375,8.7375,8.7625,8.890625,8.52875,8.0215625,7.36546875
1993-02-01,47.496394696948556,P,8.375,8.6375,8.6625,8.88125,8.5325,8.0328125,7.37578125
1993-02-02,47.44851448053907,P,8.71875,8.58125,8.61875,8.8859375,8.54625,8.0475,7.38625
1993-02-03,47.39696840188416,P,8.4375,8.51875,8.6125,8.8484375,8.55625,8.06125,7.3959375
1993-02-04,47.31678180187566,P,7.9375,8.38125,8.553125,8.7828125,8.55625,8.07125,7.399375
1993-02-05,47.24026685243276,P,7.71875,8.2375,8.4875,8.70625,8.553125,8.07875,7.39953125
1993-02-08,47.16444081866117,P,7.6875,8.1,8.36875,8.634375,8.550625,8.0840625,7.39734375
1993-02-09,47.02206017562029,P,7.53125,7.8625,8.221875,8.5671875,8.54875,8.0884375,7.393125
1993-02-10,46.942712246058996,B,7.8125,7.7375,8.128125,8.5140625,8.55125,8.09625,7.3909375
