Date,GRADE,GPS,MKTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2022-06-21,33.70115568228818,B,258.9708557128906,259.87131958007814,262.9751892089844,269.1307876586914,262.85907775878906,302.2115155029297,340.8584712219238
2022-06-22,33.650604458223576,B,262.1867980957031,259.676416015625,261.8086822509766,268.76533966064454,262.8237451171875,301.49378295898435,340.1074871826172
2022-06-23,34.35269562310154,B,265.7828369140625,260.380029296875,261.68394470214844,268.30780334472655,262.97948852539065,300.7571038818359,339.36562149047853
2022-06-24,35.81961816983523,B,270.5677185058594,262.997607421875,262.0493957519531,267.8083557128906,263.2309295654297,299.905397644043,338.65552520751953
2022-06-27,36.93045980299191,B,265.0713806152344,264.51591796875,262.46064453125,267.0340911865234,263.53436584472655,298.9634167480469,337.9204653930664
2022-06-28,37.276525231111144,B,258.8636779785156,264.494482421875,262.1829010009766,266.25203399658204,263.58554931640623,297.9745208740234,337.17213912963865
2022-06-29,36.44556578933976,B,253.8545837402344,262.8280395507812,261.2522277832031,265.45194854736326,263.337890625,296.9074456787109,336.38017166137695
2022-06-30,34.52051896147264,B,249.48870849609372,259.5692138671875,259.97462158203126,263.9229141235352,263.0233251953125,295.8078881835938,335.5690383911133
2022-07-01,32.504901706677714,B,251.20388793945312,255.69644775390626,259.34702758789064,262.9137939453125,262.87815979003904,294.64607696533204,334.77180801391603
2022-07-04,31.046728533242945,B,251.20388793945312,252.92294921875,258.71943359375,261.76092834472655,262.69372924804685,293.55881256103515,334.0074102783203
2022-07-05,30.902323393338317,B,258.0255432128906,252.755322265625,258.62490234375,260.8000457763672,262.7845211791992,292.4278961181641,333.2691792297363
2022-07-06,31.139356365737466,B,253.01649475097656,252.58770446777345,257.70787200927737,259.75827713012694,262.76619232177734,291.31550704956055,332.4826587677002
2022-07-07,32.85583821679018,B,260.763916015625,254.84274597167968,257.2059799194336,259.444962310791,262.7033724975586,290.27961959838865,331.7492574310303
2022-07-08,34.129090644979364,B,259.3314208984375,256.46825256347654,256.0823501586914,259.0658729553223,262.7658560180664,289.2573011779785,331.0225919342041
2022-07-11,35.03021661681081,B,255.189697265625,257.2654144287109,255.09418182373048,258.77741317749025,262.7874905395508,288.19356552124026,330.2752178192139
2022-07-12,34.49420520575699,B,250.13189697265625,255.68668518066406,254.22100372314452,258.2019523620605,262.62357513427736,287.0681721496582,329.4361629486084
2022-07-13,34.79049611636615,B,252.85081481933597,255.65354919433594,254.1206268310547,257.6864273071289,262.2088165283203,286.01593994140626,328.70319580078126
2022-07-14,34.14050810703876,B,253.66937255859372,254.2346405029297,254.5386932373047,257.256657409668,261.9033984375,284.8885028076172,327.93843811035157
2022-07-15,34.49289326818603,B,259.7797241210937,254.32430114746094,255.3962768554687,257.3716522216797,261.9332196044922,283.7996206665039,327.2511567687988
2022-07-18,35.273244051981955,B,260.12078857421875,255.31051940917968,256.2879669189453,257.50370025634766,262.1263708496094,282.69364166259766,326.6003985595703
2022-07-19,37.54898076841642,C,267.7416076660156,258.83246154785155,257.2595733642578,257.9422378540039,262.500979309082,281.6788381958008,326.0127323913574
2022-07-20,38.62384451306128,C,260.5982971191406,260.3819580078125,258.0177536010742,257.8628128051758,262.78242248535156,280.6055282592773,325.37830841064454
2022-07-21,39.97445443915594,C,263.7752685546875,262.40313720703125,258.31888885498046,257.762434387207,263.0437905883789,279.7377670288086,324.74480575561523
2022-07-22,40.11760364442321,C,263.9409484863281,263.2353820800781,258.7798416137695,257.4310958862305,263.18918975830076,278.7973107910156,324.09954040527344
2022-07-25,39.7850448758002,C,257.967041015625,262.80463256835935,259.05757598876954,257.07587890625,263.32191986083984,277.9364889526367,323.4281349182129
2022-07-26,37.93046491772098,C,249.8395233154297,259.2242156982422,259.02833862304686,256.6246711730957,263.24512664794923,277.12103256225583,322.6861162567139
2022-07-27,37.251867002522246,B,251.6521759033203,257.43499145507815,258.90847473144527,256.51455078125,263.4020263671875,276.25100372314455,321.9797944641113
2022-07-28,37.07445056734415,B,260.57879638671875,256.7956970214844,259.5994171142578,257.0690551757813,263.39130615234376,275.5250573730469,321.2936994934082
2022-07-29,37.265798334909384,C,263.88250732421875,256.7840087890625,260.0096954345703,257.7029861450195,263.22505249023436,274.83418853759764,320.60136306762695
2022-08-01,37.70792573889071,C,262.53759765625,257.6981201171875,260.2513763427734,258.26967163085936,262.96290466308596,274.11772216796874,319.9419143676758
2022-08-02,39.169659312559,C,265.5567932128906,260.84157409667966,260.03289489746095,258.6462341308594,262.83578918457033,273.39577728271485,319.310684967041
2022-08-03,39.791007267640865,C,260.2806091308594,262.5672607421875,260.0011260986328,259.0094398498535,262.6514862060547,272.5540087890625,318.65825622558594
2022-08-04,39.50711459579768,C,263.2508544921875,263.10167236328124,259.9486846923828,259.13378677368166,262.41783203125,271.74262298583983,318.0129791259766
2022-08-05,38.57133296858736,C,258.1701354980469,261.9591979980469,259.37160339355466,259.0757225036621,261.97010131835935,270.8852899169922,317.3248162841797
2022-08-08,38.32709230371152,C,262.7428283691406,262.000244140625,259.84918212890625,259.45337905883787,261.61382446289065,270.1238348388672,316.6598080444336
2022-08-09,37.67021705489858,C,259.147216796875,260.71832885742185,260.77995147705076,259.90414505004884,261.3066723632812,269.2897821044922,315.98089584350583
2022-08-10,37.99241705402257,C,263.5439758300781,261.3710021972656,261.96913146972656,260.4388031005859,261.1804260253906,268.5564569091797,315.336432800293
2022-08-11,37.833630434778804,C,259.8897705078125,260.69878540039065,261.9002288818359,260.74982299804685,260.77683349609373,267.7186526489258,314.7513537597656
2022-08-12,38.881003460529364,C,264.6480407714844,261.99436645507814,261.9767822265625,260.9932388305664,260.64206848144534,266.94505096435546,314.19113327026366
2022-08-15,39.50111467231626,C,270.2368469238281,263.4931701660156,262.7467071533203,261.49904174804686,260.56158142089845,266.15104217529296,313.65036865234373
2022-08-16,40.270807860474456,C,271.15533447265625,265.89479370117186,263.3065612792969,261.6697280883789,260.43982421875,265.38983551025393,313.12811721801756
2022-08-17,40.338170387256135,C,267.9603271484375,266.77806396484374,264.0745330810547,262.03782958984374,260.3219934082031,264.6977578735352,312.5823727416992
2022-08-18,41.1433264123647,C,266.27978515625,268.0560668945312,264.37742614746094,262.1630554199219,260.30698486328123,264.05409057617186,312.05742477416993
2022-08-19,40.36324001040435,C,256.2941589355469,266.3852905273437,264.18982849121096,261.7807159423828,260.09460388183595,263.31795379638675,311.45296127319335
2022-08-22,38.70059836899613,B,252.15139770507807,262.76820068359376,263.1306854248047,261.4899337768555,259.9184539794922,262.481393737793,310.8256016540527
2022-08-23,36.948296307410935,B,245.97634887695312,257.73240356445314,261.8135986328125,261.29677505493163,259.60515869140625,261.95153747558595,310.1513117980957
2022-08-24,35.696536825007065,B,248.2040557861328,253.7811492919922,260.279606628418,261.12436904907224,259.3060134887695,261.6361067199707,309.5354514312744
2022-08-25,34.73332380281561,B,250.1191253662109,250.54901733398432,259.3025421142578,260.60138549804685,259.0631005859375,261.34556091308593,309.00677307128905
2022-08-26,34.0532735302642,B,239.332275390625,247.15664062499997,256.7709655761719,259.3738739013672,258.7001495361328,261.00721099853513,308.4583071899414
2022-08-29,33.68219522196182,B,236.9189453125,244.1101501464844,253.43917541503907,258.0929412841797,258.28893188476565,260.64686614990234,307.86159088134764
2022-08-30,33.727346555948586,B,238.4040985107422,242.5957000732422,250.16405181884767,256.7353065490723,257.87759674072265,260.3683372497559,307.29412712097167
2022-08-31,33.874749269995846,B,242.8887939453125,241.53264770507812,247.65689849853516,255.86571578979493,257.4916366577148,260.15769088745117,306.75553749084474
2022-09-01,33.93657790050432,B,245.5561981201172,240.62006225585938,245.58453979492188,254.9809829711914,257.08710388183596,260.0332962036133,306.2302848815918
2022-09-02,35.20296231156437,B,244.1785430908203,241.58931579589844,244.37297821044922,254.2814033508301,256.5593203735352,259.8951249694824,305.70250968933107
2022-09-05,37.01424372264104,B,244.1785430908203,243.0412353515625,243.57569274902343,253.35318908691406,256.1414636230469,259.8379147338867,305.21140350341796
2022-09-06,37.95152568205192,B,237.01663208007807,242.76374206542968,242.67972106933593,252.2466598510742,255.70452270507812,259.64503601074216,304.68579742431643
2022-09-07,38.610972687807795,B,242.0387725830078,242.59373779296874,242.06319274902344,251.1713996887207,255.4682064819336,259.4030485534668,304.2287615203857
2022-09-08,39.88029431016631,B,251.0473175048828,243.69196166992188,242.15601196289063,250.72927703857422,255.49937866210936,259.26135192871095,303.78116653442385
2022-09-09,41.8166845116105,B,259.83111572265625,246.82247619628907,244.20589599609374,250.48843078613282,255.67192321777344,259.27504150390627,303.3871430969238
2022-09-12,43.145813586048774,C,257.9747009277344,249.5817077636719,246.31147155761718,249.8753234863281,255.80733947753907,259.25053436279296,302.9211698913574
2022-09-13,44.8071786735018,C,255.54185485839844,253.28675231933593,248.0252471923828,249.09464950561522,255.75766571044923,259.2710934448242,302.35242698669435
