Date,GRADE,GPS,ALGN,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2001-10-05,,,3.009999990463257,3.1639999866485597,2.9700000047683717,4.241500020027161,6.012999992370606,7.3692999887466435,
2001-10-08,,,3.0299999713897705,3.196000003814697,2.9329999923706054,4.068000018596649,5.926799988746643,7.28009999036789,
2001-10-09,,,2.990000009536743,3.1240000247955324,2.925,3.8925000190734864,5.837399988174439,7.189299993515014,
2001-10-10,,,3.200000047683716,3.0860000133514403,2.975,3.727500021457672,5.751399989128113,7.101199991703034,
2001-10-11,,,3.869999885559082,3.219999980926514,3.108999991416931,3.596000015735626,5.679799990653992,7.024299986362458,
2001-10-12,,,4.050000190734863,3.428000020980835,3.2960000038146973,3.4735000252723696,5.610799994468689,6.963299992084504,
2001-10-15,,,3.950000047683716,3.612000036239624,3.4040000200271607,3.393500018119812,5.5359999942779545,6.9012999963760375,
2001-10-16,,,4.179999828338623,3.85,3.487000012397766,3.35,5.46359998703003,6.843599996566772,
2001-10-17,,,3.9700000286102295,4.003999996185303,3.5450000047683714,3.3245000004768372,5.393999991416931,6.790799996852875,
2001-10-18,,,3.930000066757202,4.016000032424927,3.6180000066757203,3.328500008583069,5.321399993896485,6.730099997520447,
2001-10-19,,,4.550000190734863,4.116000032424926,3.772000026702881,3.371000015735626,5.261399993896484,6.675099997520447,
2001-10-22,,,5.590000152587891,4.4440000534057615,4.028000044822693,3.4805000185966493,5.220199995040893,6.629500002861023,
2001-10-23,,,4.849999904632568,4.578000068664551,4.214000034332275,3.5695000171661375,5.159399995803833,6.575500001907349,
2001-10-24,,,4.650000095367432,4.714000082015991,4.359000039100647,3.6670000195503234,5.098400001525879,6.52300000667572,
2001-10-25,,,4.059999942779541,4.740000057220459,4.378000044822693,3.743500018119812,5.029600000381469,6.468100004196167,
2001-10-26,,,4.25,4.6800000190734865,4.398000025749207,3.847000014781952,4.967200002670288,6.417600002288818,
2001-10-29,,,4.210000038146973,4.403999996185303,4.424000024795532,3.9140000224113463,4.91039999961853,6.36710000038147,
2001-10-30,,,4.179999828338623,4.269999980926514,4.424000024795532,3.9555000185966493,4.855,6.320099997520447,
2001-10-31,,,4.360000133514404,4.211999988555908,4.463000035285949,4.004000020027161,4.800200004577636,6.273699998855591,
2001-11-01,,,4.590000152587891,4.318000030517578,4.5290000438690186,4.073500025272369,4.753800010681152,6.229700002670288,
2001-11-02,,,4.989999771118164,4.465999984741211,4.5730000019073485,4.172500014305115,4.714400005340576,6.190600004196167,
2001-11-05,,,5.329999923706055,4.689999961853028,4.546999979019165,4.287500011920929,4.681000003814697,6.153699998855591,7.756546878814698
2001-11-06,,,5.5,4.953999996185303,4.611999988555908,4.413000011444092,4.654800004959107,6.123400001525879,7.699671878814697
2001-11-07,,,4.909999847412109,5.063999938964844,4.637999963760376,4.498500001430512,4.619400005340577,6.0881999969482425,7.656721878051758
2001-11-08,,,5.050000190734863,5.155999946594238,4.736999988555908,4.557500016689301,4.588400011062622,6.056099996566773,7.6110343790054324
2001-11-09,,,4.949999809265137,5.147999954223633,4.806999969482422,4.602499997615814,4.5554000091552735,6.02739999294281,7.565159378051757
2001-11-12,52.47426792414458,C,4.75,5.031999969482422,4.860999965667725,4.642499995231629,4.518400011062622,5.997899994850159,7.518284378051757
2001-11-13,52.3725137321826,C,3.890000104904175,4.709999990463257,4.831999993324279,4.628000009059906,4.4588000154495235,5.9518999981880185,7.467734378576279
2001-11-14,52.26036924530505,C,3.069999933242798,4.3420000076293945,4.7029999732971195,4.583000004291534,4.38020001411438,5.902999997138977,7.417771878242493
2001-11-15,52.19342285945854,B,4.010000228881836,4.134000015258789,4.644999980926514,4.587000012397766,4.327800016403199,5.863099999427796,7.372509379386901
2001-11-16,52.17043968188694,B,4.650000095367432,4.074000072479248,4.611000013351441,4.5920000076293945,4.287800016403199,5.831199998855591,7.335759379863739
