Date,GRADE,GPS,UNP,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2012-05-04,55.404248024821364,A,43.29816818237305,43.44681625366211,43.07787017822266,42.000753021240236,41.91751205444336,41.84114719390869,38.57467821121216
2012-05-07,55.47087663318044,A,43.309608459472656,43.53752975463867,43.254339981079106,42.14272956848144,41.924296340942384,41.90085269927979,38.60140846252441
2012-05-08,55.19765369107035,A,43.09996795654297,43.40565185546875,43.35191230773926,42.29709300994873,41.930851974487304,41.94818775177002,38.63406044006348
2012-05-09,54.77492628296677,A,42.64641571044922,43.165530395507815,43.29092826843262,42.4131519317627,41.943353500366214,41.9840873336792,38.663151817321776
2012-05-10,54.43570113377149,A,42.8446159362793,43.039755249023436,43.2543384552002,42.48194923400879,41.95006172180176,42.01741931915283,38.7035391998291
2012-05-11,54.195060568139105,A,42.75695037841797,42.93151168823242,43.18916397094726,42.56084671020508,41.95989540100098,42.044908409118655,38.74406911849976
2012-05-14,53.8729602577989,P,42.3338737487793,42.73636474609375,43.13694725036621,42.617638206481935,41.97148208618164,42.068166732788086,38.79188926696777
2012-05-15,53.76991913239493,P,42.8446159362793,42.68529434204102,43.04547309875488,42.67881259918213,42.014246444702145,42.09592601776123,38.833944149017334
2012-05-16,53.89106874088594,P,42.68835067749024,42.69368133544922,42.929605865478514,42.7235969543457,42.04595794677734,42.12674774169922,38.88113842010498
2012-05-17,53.56005607731756,P,41.2247428894043,42.36970672607422,42.70473098754883,42.770477867126466,42.037496643066405,42.139597206115724,38.914925289154056
2012-05-18,53.1465580460895,P,40.84740829467773,41.98779830932617,42.4596549987793,42.76876258850098,42.03391380310059,42.146436614990236,38.94543905258179
2012-05-21,53.05283076096406,P,41.99466323852539,41.91995620727539,42.32816047668457,42.791250228881836,42.04938850402832,42.16474857330322,38.97957187652588
2012-05-22,52.92032405284754,P,42.4520263671875,41.84143829345703,42.263366317749025,42.80763931274414,42.056935195922854,42.17982429504394,39.02033832550049
2012-05-23,52.90606304959343,P,42.875091552734375,41.87878646850586,42.28623390197754,42.78858108520508,42.09337226867676,42.1961735534668,39.06247066497803
2012-05-24,53.426190795840704,P,43.0275764465332,42.23935317993164,42.30452995300293,42.77943420410156,42.09192443847656,42.217042694091795,39.11638231277466
2012-05-25,53.978424596766224,P,42.64261245727539,42.59839401245117,42.29309616088867,42.74113006591797,42.08224372863769,42.235806198120116,39.16904369354248
2012-05-28,54.15634663492754,P,42.64261245727539,42.72798385620117,42.323970031738284,42.730458641052245,42.073629989624024,42.24713897705078,39.2211618232727
2012-05-29,54.29878818162592,A,43.14459228515625,42.86649703979492,42.35396766662598,42.69972038269043,42.08397468566895,42.25640205383301,39.27119939804077
2012-05-30,53.98162911964897,A,42.09844970703125,42.711168670654295,42.29497756958008,42.612291717529295,42.069813613891604,42.25285320281982,39.31482583999634
2012-05-31,53.808326528112275,A,42.68858337402344,42.64337005615234,42.441361618041995,42.57304630279541,42.084759368896485,42.25873146057129,39.36252714157104
2012-06-01,53.445430894500724,P,41.42786407470703,42.400420379638675,42.49940719604492,42.47953109741211,42.08325714111328,42.25700691223145,39.401882610321046
2012-06-04,52.872330866289154,P,40.79174423217773,42.03024673461914,42.37911529541016,42.353637886047366,42.05043243408203,42.24892116546631,39.434732875823975
2012-06-05,52.29492862363221,B,41.03316116333008,41.6079605102539,42.23722877502441,42.25029754638672,42.02868698120117,42.244121589660644,39.46519250869751
2012-06-06,52.47326870542051,B,42.22107696533203,41.632485961914064,42.17182731628418,42.22903060913086,42.050519485473636,42.24998790740967,39.50268421173096
2012-06-07,52.29177100162217,B,42.25939178466797,41.54664764404297,42.095008850097656,42.19976940155029,42.07700584411621,42.247290229797365,39.541836757659915
2012-06-08,52.55156006569603,P,42.39734649658203,41.740544128417966,42.07048225402832,42.18178920745849,42.105641479492185,42.2434700012207,39.587555961608885
2012-06-11,53.05139644332515,P,42.00265502929688,41.9827262878418,42.00648651123047,42.165228271484374,42.11022277832031,42.24184440612793,39.631301708221436
2012-06-12,53.76674059863496,P,42.9836540222168,42.37282485961914,41.99039268493652,42.17218017578125,42.1485262298584,42.25006679534912,39.679481525421146
2012-06-13,53.98795446445885,P,43.03346633911133,42.535302734375,42.08389434814453,42.189435958862305,42.18302368164063,42.24961280822754,39.725650024414065
2012-06-14,54.44024590774013,A,43.54695129394531,42.79281463623047,42.16973114013672,42.30554637908936,42.22573265075684,42.25410404205322,39.777267932891846
2012-06-15,54.92209806529905,A,44.01830673217773,43.11700668334961,42.42877540588379,42.464091300964355,42.27786872863769,42.2586837387085,39.837081851959226
2012-06-18,55.85832095712092,A,45.290523529052734,43.77458038330078,42.878653335571286,42.62888431549072,42.37427764892578,42.276971130371095,39.90476371765137
2012-06-19,56.48082841263815,A,45.37482833862305,44.25281524658203,43.31282005310059,42.7750244140625,42.4815202331543,42.297352714538576,39.966877212524416
2012-06-20,56.93619147218533,A,44.94564437866211,44.635250854492185,43.5852767944336,42.87855205535889,42.573928375244144,42.31143321990967,40.0244149017334
2012-06-21,56.93416518891065,A,44.24439239501953,44.77473907470703,43.78377685546875,42.9393928527832,42.62944282531738,42.31891815185547,40.0737749671936
2012-06-22,56.776670049032276,A,44.63524627685547,44.89812698364258,44.00756683349609,43.03902454376221,42.69856773376465,42.32507987976074,40.124335803985595
2012-06-25,55.89714616571106,A,43.65809631347656,44.571641540527345,44.17311096191406,43.08979873657226,42.747768783569335,42.3254887008667,40.17379697799683
2012-06-26,55.111854873147614,A,43.94548797607422,44.28577346801758,44.269294357299806,43.12984352111816,42.79425598144531,42.33017402648926,40.22704969406128
2012-06-27,54.68665299622833,A,43.98763275146485,44.094171142578126,44.36471099853516,43.22430267333984,42.838155364990236,42.33653190612793,40.29051513671875
2012-06-28,54.69219674818214,A,44.19073867797852,44.08344039916992,44.42908973693848,43.2994104385376,42.916227645874024,42.35079711914062,40.35618280410767
2012-06-29,55.01881182843953,A,45.71970748901367,44.300332641601564,44.59922981262207,43.51400260925293,43.012987518310545,42.384787788391115,40.4282333278656
