Date,GRADE,GPS,CF,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-01-26,29.820297372724895,B,81.75293731689453,81.81057586669922,82.19868698120118,81.55840034484864,89.42118957519531,93.94845275878906,92.63013576507568
2023-01-27,29.036961619050857,B,79.81238555908203,81.15732116699219,81.8307502746582,81.45656929016113,89.0703532409668,93.75442970275878,92.56905891418457
2023-01-30,29.327715478782707,B,79.44732666015625,80.61550598144531,81.42630767822266,81.33648529052735,88.68474060058594,93.59694725036621,92.51797595977783
2023-01-31,29.79476075162044,B,81.36865997314453,80.56939086914062,81.30141983032226,81.46857681274415,88.20479019165039,93.45226669311523,92.47388893127442
2023-02-01,30.862531699373893,B,81.92584991455078,80.86143188476562,81.36386260986328,81.6064323425293,87.80073257446288,93.28502433776856,92.42257247924805
2023-02-02,30.939107718285403,B,81.68568420410156,80.84798126220703,81.32927856445312,81.66647415161133,87.39187164306641,93.13423179626464,92.36326751708984
2023-02-03,32.628950587370475,C,82.55028533935547,81.39556121826172,81.27644119262695,81.73948516845704,86.95591979980469,93.0162956237793,92.31640228271485
2023-02-06,34.29070183522563,C,82.6079330444336,82.02768249511719,81.32159423828125,81.73900489807129,86.60220138549805,92.85223762512207,92.2716764831543
2023-02-07,33.999178761248054,C,80.93637084960938,81.94122467041015,81.25530776977538,81.79904708862304,86.17662521362304,92.66342567443847,92.19856204986573
2023-02-08,33.031457455787766,C,80.81148529052734,81.71835174560547,81.28989181518554,81.80240936279297,85.71415924072265,92.49834091186523,92.1183203125
2023-02-09,33.762473966859766,C,83.38607025146484,82.05842895507813,81.45320510864258,81.82594604492188,85.39060592651367,92.36062889099121,92.05921066284179
2023-02-10,35.88308907726482,C,86.93094635009766,82.93456115722657,82.16506118774414,81.99790573120117,85.1235400390625,92.33243194580078,92.02005634307861
2023-02-13,36.75151078304155,C,83.4341049194336,83.09979553222657,82.56373901367188,81.99502334594726,84.80402114868164,92.30208946228028,92.0058526611328
2023-02-14,38.21656106684789,C,82.54620361328125,83.42176208496093,82.68149337768554,81.9914566040039,84.50478698730468,92.21014099121093,91.9754853439331
2023-02-15,39.44756806689351,C,82.04434204101562,83.6683334350586,82.69334259033204,82.02860260009766,84.21434478759765,92.07164306640625,91.9319762802124
2023-02-16,39.19224626040199,C,82.3338851928711,83.45789642333985,82.75816268920899,82.04372062683106,83.93699447631836,91.96618392944336,91.87548515319824
2023-02-17,34.8665485617805,B,79.47714233398438,81.96713562011719,82.45084838867187,81.86364479064942,83.63017654418945,91.83990844726563,91.77787788391113
2023-02-20,32.02326622962807,B,79.47714233398438,81.17574310302734,82.13776931762695,81.7296817779541,83.32316650390625,91.67487724304199,91.66525779724121
2023-02-21,30.333979546087452,B,80.56771850585938,80.78004608154296,82.10090408325195,81.67810592651367,83.05526000976562,91.47520195007324,91.55122764587402
2023-02-22,30.62274612458045,B,82.42074584960938,80.85532684326172,82.26183013916015,81.77586097717285,82.91683044433594,91.31807586669922,91.47906181335449
2023-02-23,30.953819630060668,B,83.27003479003906,81.04255676269531,82.25022659301757,81.85171585083008,82.76560592651367,91.13901206970215,91.41714748382569
2023-02-24,33.44001399266418,B,82.60411071777344,81.66795043945312,81.81754302978516,81.99130210876464,82.59107177734376,90.96218864440918,91.37363636016846
2023-02-27,35.740928716932075,C,82.3145751953125,82.23543701171874,81.70559005737304,82.13466453552246,82.4558984375,90.76591499328613,91.30341800689698
2023-02-28,37.55639651676153,C,82.89363861083984,82.70062103271485,81.7403335571289,82.21091346740722,82.31635940551757,90.6108383178711,91.2407179260254
2023-03-01,37.15136577948184,C,82.1794662475586,82.6523651123047,81.7538459777832,82.22359428405761,82.16292129516602,90.45129943847657,91.1723023223877
2023-03-02,37.70395126804909,C,83.8490982055664,82.76817779541015,81.90536727905274,82.33176498413086,82.11262023925781,90.26558639526367,91.13063144683838
