Date,GRADE,GPS,INCY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1994-07-15,,,2.40625,2.41875,2.478125,2.5921875,2.603125,2.43375,
1994-07-18,,,2.3125,2.39375,2.44375,2.571875,2.605625,2.4309375,
1994-07-19,,,2.34375,2.375,2.415625,2.5546875,2.600625,2.4284375,
1994-07-20,,,2.28125,2.34375,2.390625,2.5328125,2.595625,2.4259375,
1994-07-21,,,2.3125,2.33125,2.38125,2.509375,2.588125,2.4234375,
1994-07-22,,,2.3125,2.3125,2.365625,2.4859375,2.581875,2.42125,
1994-07-25,,,2.40625,2.33125,2.3625,2.4703125,2.578125,2.419375,
1994-07-26,,,2.53125,2.36875,2.371875,2.4625,2.5775,2.419375,
1994-07-27,,,2.5,2.4125,2.378125,2.4546875,2.575625,2.419375,
1994-07-28,,,2.5,2.45,2.390625,2.446875,2.5725,2.42,
1994-07-29,,,2.46875,2.48125,2.396875,2.4375,2.568125,2.420625,
1994-08-01,,,2.46875,2.49375,2.4125,2.428125,2.565625,2.42125,
1994-08-02,,,2.46875,2.48125,2.425,2.4203125,2.563125,2.4225,
1994-08-03,,,2.5,2.48125,2.446875,2.41875,2.560625,2.423125,
1994-08-04,,,2.46875,2.475,2.4625,2.421875,2.556875,2.4240625,
1994-08-05,,,2.25,2.43125,2.45625,2.4109375,2.54875,2.4209375,
1994-08-08,,,2.25,2.3875,2.440625,2.4015625,2.540625,2.4175,
1994-08-09,,,2.25,2.34375,2.4125,2.3921875,2.533125,2.415,
1994-08-10,,,2.25,2.29375,2.3875,2.3828125,2.52625,2.4128125,2.3965625
1994-08-11,,,2.21875,2.24375,2.359375,2.375,2.51875,2.41,2.39828125
1994-08-12,,,2.15625,2.225,2.328125,2.3625,2.510625,2.4071875,2.39921875
1994-08-15,,,2.21875,2.21875,2.303125,2.3578125,2.501875,2.405625,2.40046875
1994-08-16,,,2.21875,2.2125,2.278125,2.3515625,2.493125,2.4040625,2.40171875
1994-08-17,47.57791929700311,B,2.1875,2.2,2.246875,2.346875,2.485,2.4028125,2.40265625
1994-08-18,47.58353492138192,B,2.15625,2.1875,2.215625,2.3390625,2.474375,2.4025,2.40328125
1994-08-19,47.605082214060964,B,2.21875,2.2,2.2125,2.334375,2.465,2.4028125,2.40390625
1994-08-22,47.60390272770624,B,2.1875,2.19375,2.20625,2.3234375,2.455625,2.4025,2.40328125
1994-08-23,47.60818367578659,B,2.25,2.2,2.20625,2.309375,2.4475,2.403125,2.40234375
1994-08-24,47.60122965687237,B,2.125,2.1875,2.19375,2.290625,2.438125,2.4025,2.40109375
1994-08-25,47.59730501492647,B,2.09375,2.175,2.18125,2.2703125,2.429375,2.401875,2.4
1994-08-26,47.58146893107042,B,2.15625,2.1625,2.18125,2.2546875,2.418125,2.401875,2.3990625
1994-08-29,47.57988923100849,B,2.15625,2.15625,2.175,2.2390625,2.406875,2.4025,2.39859375
1994-08-30,47.557741680747796,B,2.0625,2.11875,2.159375,2.21875,2.394375,2.4034375,2.396875
1994-08-31,47.5525040299768,B,2.03125,2.1,2.14375,2.1953125,2.380625,2.405,2.3953125
1994-09-01,47.54602400348191,B,2.03125,2.0875,2.13125,2.1734375,2.365625,2.4046875,2.39375
1994-09-02,47.535554064890704,B,2.03125,2.0625,2.1125,2.1625,2.350625,2.4053125,2.39203125
1994-09-05,47.52741311384014,B,2.03125,2.0375,2.096875,2.1515625,2.336875,2.40625,2.3909375
1994-09-06,47.552047659713764,B,2.125,2.05,2.084375,2.1453125,2.325625,2.40875,2.3903125
1994-09-07,47.57796438378312,B,2.09375,2.0625,2.08125,2.1375,2.314375,2.4125,2.38984375
1994-09-08,47.59612992014538,B,2.0625,2.06875,2.078125,2.1296875,2.3025,2.4159375,2.3871875
1994-09-09,47.60377593398925,B,2.0,2.0625,2.0625,2.121875,2.289375,2.4184375,2.384375
1994-09-12,47.603692365793485,B,2.0,2.05625,2.046875,2.1109375,2.27625,2.418125,2.38234375
1994-09-13,47.576357847113606,B,1.9375,2.01875,2.034375,2.096875,2.2625,2.41625,2.3803125
1994-09-14,47.54410663708192,B,1.90625,1.98125,2.021875,2.0828125,2.25,2.4140625,2.37796875
1994-09-15,47.551020215366236,B,2.09375,1.9875,2.028125,2.0796875,2.24375,2.4134375,2.37671875
1994-09-16,47.56273783551035,B,2.0625,2.0,2.03125,2.071875,2.235625,2.411875,2.37546875
1994-09-19,47.57020812697237,B,2.0,2.0,2.028125,2.0625,2.226875,2.40875,2.374375
1994-09-20,47.583607037142265,B,1.96875,2.00625,2.0125,2.0484375,2.2175,2.4059375,2.37328125
1994-09-21,47.58383849364039,B,1.84375,1.99375,1.9875,2.034375,2.205625,2.4015625,2.37140625
1994-09-22,47.53302870095941,B,1.734375,1.921875,1.9546875,2.01640625,2.1928125,2.39640625,2.368984375
1994-09-23,47.50445604342357,B,1.84375,1.878125,1.9390625,2.00078125,2.1815625,2.39234375,2.367421875
1994-09-26,47.479128926066984,B,1.78125,1.834375,1.9171875,1.98203125,2.1709375,2.38828125,2.365234375
1994-09-27,47.453627725785516,B,1.7578129768371582,1.7921875953674316,1.8992187976837158,1.9667968988418578,2.1592187595367434,2.3799218797683714,2.363085939884186
1994-09-28,47.45077045191514,B,1.7578129768371582,1.7750001907348634,1.8843750953674316,1.9531250476837159,2.1487500190734865,2.3721875095367433,2.3609375047683714
1994-09-29,47.46349271325377,B,1.7578129768371582,1.7796877861022948,1.8507813930511474,1.9394531965255737,2.1376562786102293,2.362890639305115,2.3583203196525573
1994-09-30,47.463323307811244,B,1.8125,1.773437786102295,1.8257813930511475,1.9285156965255736,2.1276562786102295,2.3547656393051146,2.355976569652557
1994-10-03,47.46640263864095,B,1.78125,1.773437786102295,1.8039063930511474,1.9160156965255737,2.1151562786102294,2.346640639305115,2.3533203196525574
1994-10-04,47.47177591319248,B,1.7734379768371582,1.776562786102295,1.7843751907348633,1.8984375953674317,2.100000038146973,2.3387500190734865,2.350781259536743
1994-10-05,47.46627909566814,B,1.7265629768371582,1.770312786102295,1.7726564884185791,1.8800782442092896,2.084531297683716,2.330078148841858,2.348164074420929
1994-10-06,47.481288326894905,B,1.8125,1.7812501907348632,1.7804689884185791,1.8675782442092896,2.0707812976837157,2.321640648841858,2.3461328244209287
1994-10-07,47.4867697859953,B,1.8125,1.7812501907348632,1.777343988418579,1.8582032442092895,2.0576562976837156,2.312890648841858,2.343945324420929
1994-10-10,47.49911509053373,B,1.8125,1.7875001907348633,1.7804689884185791,1.8488282442092896,2.044531297683716,2.305078148841858,2.342070324420929
1994-10-11,47.52092293763246,C,1.84375,1.8015625953674317,1.7890626907348632,1.8441407442092896,2.032031297683716,2.297578148841858,2.340507824420929
1994-10-12,47.55420143683488,C,1.90625,1.8375,1.8039063930511474,1.8441407442092896,2.020156297683716,2.290390648841858,2.338945324420929
1994-10-13,47.577380642996964,C,2.0,1.875,1.8281250953674317,1.8394532442092895,2.0107812976837156,2.2838281488418577,2.337851574420929
1994-10-14,47.60384392082423,C,1.96875,1.90625,1.8437500953674317,1.8347657442092895,2.005156297683716,2.2769531488418577,2.336757824420929
1994-10-17,47.62302909131845,C,1.9375,1.93125,1.8593750953674317,1.8316407442092895,1.9989062976837157,2.269765648841858,2.335664074420929
1994-10-18,47.634989429042854,C,1.9375,1.95,1.8757812976837158,1.8300782442092896,1.9926562976837159,2.262890648841858,2.334570324420929
1994-10-19,47.63425647973528,C,1.90625,1.95,1.89375,1.8332032442092896,1.985781297683716,2.256015648841858,2.333164074420929
1994-10-20,47.620855649420996,C,1.875,1.925,1.9,1.8402344942092896,1.9789062976837157,2.248828148841858,2.331914074420929
1994-10-21,47.6058678813335,C,1.84375,1.9,1.903125,1.8402344942092896,1.9726562976837159,2.241640648841858,2.330820324420929
1994-10-24,47.59678133360914,C,1.875,1.8875,1.909375,1.8449219942092896,1.965781297683716,2.233828148841858,2.329726574420929
1994-10-25,47.58459969330952,C,1.859375,1.871875,1.9109375,1.8500000953674316,1.9585937976837158,2.225859398841858,2.328398449420929
1994-10-26,47.57685158248335,C,1.875,1.865625,1.9078125,1.8558594465255738,1.952343797683716,2.218671898841858,2.326523449420929
1994-10-27,47.5735652700827,B,1.875,1.865625,1.8953125,1.8617187976837157,1.946718797683716,2.2105468988418577,2.324492199420929
1994-10-28,47.577827009958376,B,1.90625,1.878125,1.8890625,1.866406297683716,1.9404687976837158,2.2027343988418577,2.322617199420929
1994-10-31,47.58698630554707,C,1.96875,1.896875,1.8921875,1.8757812976837158,1.9360937976837158,2.1958593988418578,2.3207421994209287
1994-11-01,47.58300445037808,C,1.8515629768371584,1.8953125953674317,1.8835937976837158,1.8796875476837158,1.928125057220459,2.1878125286102295,2.318437514305115
1994-11-02,47.580586805344744,C,1.875,1.8953125953674317,1.8804687976837158,1.887109398841858,1.923125057220459,2.1806250286102293,2.3146875143051147
1994-11-03,47.57620346001085,C,1.84375,1.8890625953674316,1.8773437976837157,1.8886718988418578,1.918125057220459,2.1737500286102294,2.310468764305115
1994-11-04,47.57125826194124,C,1.90625,1.8890625953674316,1.8835937976837158,1.893359398841858,1.913125057220459,2.1656250286102297,2.3064062643051146
1994-11-07,47.62317054664797,C,2.40625,1.9765625953674317,1.936718797683716,1.9230468988418579,1.918125057220459,2.1625000286102294,2.3045312643051146
1994-11-08,47.707925351410516,C,2.46875,2.1,1.9976562976837158,1.9542968988418579,1.926250057220459,2.1603125286102296,2.303281264305115
1994-11-09,47.79218905508324,C,2.5,2.225,2.060156297683716,1.983984398841858,1.935625057220459,2.1581250286102294,2.3025000143051146
1994-11-10,47.87959425526436,C,2.5,2.35625,2.122656297683716,2.008984398841858,1.9450000572204589,2.1553125286102297,2.301718764305115
1994-11-11,47.96186268425731,C,2.5,2.475,2.1820312976837157,2.035546898841858,1.954375057220459,2.1525000286102296,2.3015625143051146
1994-11-14,47.946732442565434,C,2.4375,2.48125,2.2289062976837157,2.060546898841858,1.962500057220459,2.1496875286102295,2.3009375143051147
1994-11-15,47.924406512147264,C,2.5,2.4875,2.29375,2.088671898841858,1.970000057220459,2.1478125286102294,2.3009375143051147
1994-11-16,47.88629672005812,C,2.4375,2.475,2.35,2.115234398841858,1.976875057220459,2.1456250286102296,2.299218764305115
1994-11-17,47.86028337702543,C,2.5,2.475,2.415625,2.146484398841858,1.985625057220459,2.1440625286102293,2.2976562643051146
1994-11-18,47.840585536111604,C,2.53125,2.48125,2.478125,2.180859398841858,1.996250057220459,2.1428125286102295,2.2965625143051147
1994-11-21,47.838783268246004,C,2.53125,2.5,2.490625,2.213671898841858,2.006875057220459,2.1415625286102293,2.2951562643051147
1994-11-22,47.821278578337676,C,2.5,2.5,2.49375,2.2457031488418577,2.018125057220459,2.1403125286102296,2.293906264305115
1994-11-23,47.811725107210584,C,2.4375,2.5,2.4875,2.273828148841858,2.028750057220459,2.1393750286102295,2.2923437643051146
1994-11-24,47.788437536055596,C,2.4375,2.4875,2.48125,2.301953148841858,2.035625057220459,2.1396875286102297,2.290937514305115
1994-11-25,47.762779507891345,C,2.46875,2.475,2.478125,2.330078148841858,2.0437500572204588,2.1396875286102297,2.290000014305115
1994-11-28,47.774656597605855,A,2.625,2.49375,2.496875,2.3628906488418577,2.056250057220459,2.1415625286102293,2.2898437643051146
1994-11-29,47.7967343918599,A,2.625,2.51875,2.509375,2.4015625,2.069375057220459,2.1434375286102294,2.2901562643051148
1994-11-30,47.838388513554236,A,2.679687976837158,2.5671875953674315,2.5335937976837157,2.441796898841858,2.0860938167572023,2.145859408378601,2.2908984541893007
1994-12-01,47.917298283323014,A,2.90625,2.6609375953674315,2.5742187976837156,2.494921898841858,2.1095313167572023,2.151171908378601,2.2929297041893006
1994-12-02,48.04047912991305,A,3.28125,2.8234375953674316,2.649218797683716,2.563671898841858,2.1382813167572023,2.159921908378601,2.2968359541893006
1994-12-05,48.20241383803685,A,3.84375,3.0671875953674315,2.780468797683716,2.635546898841858,2.179531316757202,2.1752344083786013,2.3030859541893007
