Date,GRADE,GPS,GWW,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-12-28,33.22439093736056,P,23.94775009155273,23.125734329223633,22.685362243652342,23.882746315002443,22.82845233917236,20.903047046661378,23.55036774635315
2000-12-29,33.38785507704293,P,24.492977142333984,23.51996955871582,22.857315826416016,23.85338888168335,22.978699188232422,20.927687454223634,23.489654722213746
2001-01-01,33.54446168932676,A,24.492977142333984,23.914204788208007,23.096374130249025,23.79676971435547,23.117263793945312,20.950658950805664,23.430182218551636
2001-01-02,33.670116767460755,A,24.199403762817383,24.266502380371094,23.25994129180908,23.681435298919677,23.249122467041015,20.97903898239136,23.365933895111084
2001-01-03,33.715932039584395,A,25.20594787597656,24.46781120300293,23.582879066467285,23.649979877471925,23.40611885070801,21.016650085449218,23.30671829223633
2001-01-04,33.82397924793638,A,25.49951934814453,24.77816505432129,23.951949691772462,23.67094955444336,23.552297897338867,21.058031272888183,23.2539324760437
2001-01-05,33.82806340520731,A,25.24789428710937,24.929148483276368,24.224559020996093,23.683531856536867,23.65672966003418,21.096896209716796,23.20071538925171
2001-01-08,33.776509707011265,A,24.57685089111328,24.945923233032225,24.430064010620118,23.679337787628175,23.736892967224122,21.13447452545166,23.1404217338562
2001-01-09,33.743795805332844,A,24.199403762817383,24.945923233032225,24.60621280670166,23.6478835105896,23.794487495422363,21.169530029296876,23.083616247177122
2001-01-10,33.67677971316153,A,25.03819465637207,24.912372589111328,24.69009189605713,23.673047924041747,23.859679107666015,21.216311130523682,23.04092851638794
2001-01-11,33.54915689611796,A,24.870441436767575,24.786557006835935,24.782361030578613,23.733861637115478,23.91252368927002,21.256825351715086,22.994714374542237
2001-01-12,33.5049446981645,A,24.744609832763672,24.685900115966795,24.807524299621583,23.832420063018798,23.977111282348634,21.297332916259766,22.954900512695314
2001-01-15,33.549700332886076,A,24.744609832763672,24.719451904296875,24.83268756866455,23.964530849456786,24.039182434082033,21.33992650985718,22.91756757736206
2001-01-16,33.59881538673612,A,24.492977142333984,24.778166580200196,24.862044906616212,24.060993099212645,24.099576034545898,21.378752155303957,22.874841499328614
2001-01-17,33.58181090083971,A,24.61878776550293,24.694285202026368,24.803328895568846,24.193103981018066,24.14067714691162,21.419670333862303,22.830677099227906
2001-01-18,33.543833734409496,P,24.199403762817383,24.560077667236328,24.67331733703613,24.312633514404297,24.145710220336912,21.468806762695312,22.7858629989624
2001-01-19,33.51802617684474,P,24.199403762817383,24.45103645324707,24.568468284606933,24.396513652801513,24.17506832122803,21.51512704849243,22.757175073623657
2001-01-22,33.456599045052336,P,24.157455444335938,24.333605575561524,24.526528739929198,24.47829637527466,24.18932804107666,21.561027851104736,22.724556035995484
2001-01-23,33.41004857709485,P,24.07357788085937,24.2497257232666,24.5139461517334,24.560079479217528,24.180101470947264,21.60066612243652,22.69399845123291
2001-01-24,33.410239736877294,P,24.66073226928711,24.258114624023438,24.476199913024903,24.583145904541016,24.19436111450195,21.644507083892822,22.671338624954224
2001-01-25,33.473822512246464,P,24.70269012451172,24.358771896362306,24.459424781799317,24.620892906188963,24.21281509399414,21.69252254486084,22.65012907028198
2001-01-26,33.45316459084292,P,24.241323471069336,24.367155838012696,24.40909614562988,24.608310222625732,24.206943435668947,21.73759313583374,22.62661268234253
2001-01-29,33.443884586904964,A,24.157455444335938,24.367155838012696,24.35038070678711,24.59153413772583,24.208620986938477,21.78265947341919,22.60701865196228
2001-01-30,33.51230384035321,A,24.828489303588867,24.518138122558593,24.3839319229126,24.622988414764404,24.235462417602537,21.83735668182373,22.58726508140564
2001-01-31,33.67426057519666,A,26.42556953430176,24.871105575561522,24.564610099792482,24.683969497680664,24.29676181793213,21.910945262908935,22.57653064727783
2001-02-01,33.70721942501883,A,25.137176513671875,24.958002853393555,24.65838737487793,24.665852355957032,24.33229335784912,21.97790802001953,22.559561042785646
2001-02-02,33.79074921022343,A,25.002967834472656,25.110331726074218,24.738743782043457,24.653606033325197,24.35591423034668,22.044780368804933,22.541093358993532
2001-02-05,33.86728714742329,A,25.06336784362793,25.291514205932618,24.829335021972657,24.67793188095093,24.368999710083006,22.108919048309325,22.5165185546875
2001-02-06,33.8191772539627,A,24.419164657592773,25.209649276733398,24.863893699645995,24.688919925689696,24.374233894348144,22.169536209106447,22.491203670501708
2001-02-07,33.62628573015946,P,24.727832794189453,24.870101928710938,24.87060375213623,24.673401832580566,24.372220764160158,22.23991554260254,22.4674321269989
2001-02-08,33.553107329607634,P,24.53907012939453,24.75048065185547,24.85424175262451,24.656833267211915,24.372304039001463,22.307989978790282,22.44277493476868
2001-02-09,33.461360293603306,B,24.2424430847168,24.598375701904295,24.85435371398926,24.63172492980957,24.355550384521486,22.376018619537355,22.413106393814086
2001-02-12,33.365310080547424,B,24.168285369873047,24.41935920715332,24.855436706542967,24.60290870666504,24.326408882141113,22.443305683135986,22.387632970809936
2001-02-13,33.33920601382868,B,24.363794326782227,24.40828514099121,24.808967208862306,24.59644956588745,24.283562927246095,22.51671995162964,22.362929525375367
2001-02-14,33.291257880661774,B,24.0604305267334,24.2748046875,24.57245330810547,24.568531703948974,24.24807041168213,22.582928466796876,22.338369607925415
2001-02-15,33.29942768098175,B,24.458171844482425,24.25862503051758,24.504552841186523,24.581470108032228,24.23563133239746,22.650193920135496,22.316005849838255
2001-02-16,33.283276224091566,B,23.71661376953125,24.15345916748047,24.375917434692383,24.55733060836792,24.2100386428833,22.711712589263914,22.29408508300781
