Date,GRADE,GPS,TDY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2000-10-23,56.395376460283835,A,26.3125,24.75,23.625,24.7625,23.7925,20.440625,16.810625
2000-10-24,56.702565255986,A,25.25,25.35,23.83125,24.64375,23.9125,20.55875,16.88875
2000-10-25,56.79826828950158,A,23.5,25.5125,24.05625,24.43125,23.9875,20.649375,16.9578125
2000-10-26,56.54111925262947,A,23.0,25.1125,24.2375,24.15625,24.03875,20.7425,17.025625
2000-10-27,55.94498255207532,A,23.0,24.2125,24.175,23.85,24.09625,20.8375,17.091875
2000-10-30,55.571001317542084,P,23.125,23.575,24.1625,23.740625,24.16,20.93375,17.159375
2000-10-31,55.52446310268997,P,25.0625,23.5375,24.44375,23.76875,24.26625,21.046875,17.236875
2000-11-01,55.763021619723695,P,25.75,23.9875,24.75,23.809375,24.39125,21.17125,17.3178125
2000-11-02,56.09109224014002,P,25.8125,24.55,24.83125,23.88125,24.50375,21.2975,17.3984375
2000-11-03,56.57832702663375,A,26.5,25.25,24.73125,24.034375,24.64125,21.4275,17.4846875
2000-11-06,56.93264872582827,A,26.0,25.825,24.7,24.1625,24.78125,21.55125,17.5684375
2000-11-07,57.09207171975435,A,26.9375,26.2,24.86875,24.35,24.92,21.685,17.656875
2000-11-08,57.00942765130293,A,25.25,26.1,25.04375,24.55,25.02375,21.79875,17.7371875
2000-11-09,56.84900254887356,A,24.5,25.8375,25.19375,24.715625,25.11125,21.88375,17.81375
2000-11-10,56.4928541197653,A,23.75,25.2875,25.26875,24.721875,25.1375,21.961875,17.8875
2000-11-13,56.18300486433727,A,23.9375,24.875,25.35,24.75625,25.1675,22.0325,17.9625
2000-11-14,55.872591844900455,A,25.0,24.4875,25.34375,24.89375,25.22875,22.10625,18.0425
2000-11-15,55.77256045794983,A,25.625,24.5625,25.33125,25.040625,25.315,22.175,18.1259375
2000-11-16,55.78955889706399,A,26.1875,24.9,25.36875,25.1,25.37625,22.245625,18.213125
2000-11-17,55.87550496028903,A,25.9375,25.3375,25.3125,25.021875,25.37625,22.31625,18.299375
2000-11-20,55.84955268737615,A,25.0,25.55,25.2125,24.95625,25.32125,22.379375,18.38125
2000-11-21,55.67535328315305,A,24.6875,25.4875,24.9875,24.928125,25.2125,22.439375,18.46
2000-11-22,55.4586740485409,P,24.25,25.2125,24.8875,24.965625,25.1275,22.506875,18.5371875
2000-11-23,55.235508140100336,P,24.25,24.825,24.8625,25.028125,25.035,22.58125,18.6134375
2000-11-24,55.12123379426623,P,24.375,24.5125,24.925,25.096875,24.945,22.654375,18.689375
2000-11-27,54.95237215252485,P,22.375,23.9875,24.76875,25.059375,24.87125,22.706875,18.7553125
2000-11-28,54.72961429921247,P,21.125,23.275,24.38125,24.8625,24.805,22.745625,18.8134375
2000-11-29,54.41518648639811,P,20.8125,22.5875,23.9,24.615625,24.70375,22.77875,18.8725
2000-11-30,53.90880473560319,P,19.25,21.5875,23.20625,24.2875,24.545,22.795625,18.924375
2000-12-01,53.441790097393756,P,19.75,20.6625,22.5875,23.95,24.42875,22.819375,18.9790625
2000-12-04,53.16417630809254,P,19.5,20.0875,22.0375,23.625,24.295,22.84125,19.0321875
2000-12-05,53.271286415782185,P,21.875,20.2375,21.75625,23.371875,24.18,22.880625,19.098125
2000-12-06,53.32953481934101,P,20.375,20.15,21.36875,23.128125,24.0325,22.908125,19.1571875
2000-12-07,53.62914001500082,P,20.75,20.45,21.01875,22.940625,23.8775,22.92625,19.2184375
2000-12-08,53.95772872357474,P,21.875,20.875,20.76875,22.846875,23.7325,22.955625,19.2834375
2000-12-11,54.46555303332769,P,23.25,21.625,20.85625,22.8125,23.69125,22.99875,19.3546875
