Date,GRADE,GPS,CPB,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1999-02-23,37.99455464203923,B,19.69711303710937,19.99736976623535,19.82322006225586,20.597892570495606,22.889528312683105,24.916850757598876,25.094904088973998
1999-02-24,37.66619825271915,B,19.69711303710937,19.973349761962886,19.78118305206299,20.47478609085083,22.75715877532959,24.845283279418947,25.062969303131105
1999-02-25,36.28861149282377,B,19.42686462402344,19.847239303588868,19.733140563964845,20.317148876190185,22.61340358734131,24.766228618621827,25.02849630355835
1999-02-26,34.976298605078796,B,19.3067626953125,19.709119033813476,19.73013687133789,20.155007362365723,22.464255867004393,24.688963298797606,24.993126029968263
1999-03-01,33.79105346754364,B,19.637056350708008,19.55298194885254,19.760162544250488,20.027396583557127,22.34025447845459,24.621579875946043,24.959407224655152
1999-03-02,32.456670276409135,B,18.67622184753418,19.3488037109375,19.673086738586427,19.893780326843263,22.195840301513673,24.54129863739014,24.92207124710083
1999-03-03,31.292068860114295,B,18.64620018005371,19.138621139526368,19.55598545074463,19.769172191619873,22.029294624328614,24.451147994995118,24.88547541618347
1999-03-04,31.822632075390782,B,19.48692512512207,19.150633239746092,19.498936271667482,19.703114700317382,21.881955909729005,24.363124713897705,24.853676643371582
1999-03-05,33.35162389302821,B,20.177534103393555,19.324787521362303,19.51695327758789,19.670086002349855,21.748429374694823,24.292174911499025,24.82518259048462
1999-03-08,33.38062075458688,B,19.577009201049805,19.312778091430665,19.432880020141603,19.631052589416505,21.608873138427736,24.21163139343262,24.79279562950134
1999-03-09,34.66180042458246,B,19.3968448638916,19.456902694702148,19.402853202819824,19.613036632537842,21.457340354919435,24.135565948486327,24.756985540390016
1999-03-10,36.81489711979961,B,19.757164001464844,19.679095458984374,19.40885829925537,19.59502067565918,21.32677005767822,24.065496101379395,24.722086791992187
1999-03-11,38.357636591990854,B,20.26761245727539,19.83523292541504,19.492933082580567,19.613036823272704,21.205810508728028,24.000231761932373,24.689443464279176
1999-03-12,39.252289015774345,C,20.657936096191406,19.93131332397461,19.62805042266846,19.679093647003175,21.09265743255615,23.93767433166504,24.657416543960572
1999-03-15,40.90434829746531,C,20.29763603210449,20.075438690185546,19.694108390808104,19.727135467529298,20.982465744018555,23.87869089126587,24.62596202850342
1999-03-16,42.272007464030025,C,20.207557678222656,20.237581253051758,19.847241973876955,19.76016435623169,20.85671688079834,23.82389030456543,24.592870111465455
1999-03-17,42.73562990966007,C,19.96733856201172,20.279616165161134,19.979355812072754,19.76767063140869,20.731207809448243,23.767584896087648,24.55946734428406
1999-03-18,42.84976275359221,C,20.41774177551269,20.309642028808593,20.072437477111816,19.785686874389647,20.621913070678712,23.714288311004637,24.52801986694336
1999-03-19,42.38157459272665,C,20.3576774597168,20.24959030151367,20.090451812744142,19.803702545166015,20.52703052520752,23.662783126831055,24.497755765914917
1999-03-22,42.80843250390117,C,20.47779083251953,20.28562126159668,20.180529975891112,19.806704998016357,20.500607566833494,23.599620571136473,24.46883409500122
1999-03-23,42.71456313250852,C,19.87726211547852,20.219562149047853,20.228571701049805,19.815712451934814,20.466978073120117,23.530452728271484,24.438541917800904
1999-03-24,43.478215160077866,C,20.41774177551269,20.309642791748047,20.29462947845459,19.85174388885498,20.437552680969237,23.46220407485962,24.40783631324768
1999-03-25,43.27663799385416,C,19.907289505004883,20.207552337646483,20.25859718322754,19.875765132904053,20.394314880371095,23.390944023132324,24.376804008483887
1999-03-26,43.10152906509709,C,19.69711303710937,20.075439453125,20.162514877319335,19.895282649993895,20.354680595397948,23.320572681427002,24.347688274383543
1999-03-29,42.88122844990317,B,20.26761245727539,20.03340377807617,20.159512519836426,19.926810455322265,20.326456298828123,23.25590633392334,24.322166919708252
1999-03-30,43.485435146179746,B,20.177534103393555,20.09345817565918,20.156510162353516,20.001876068115234,20.30483772277832,23.190638217926026,24.29589840888977
1999-03-31,42.83711615342927,B,19.546979904174805,19.9193058013916,20.114474296569824,20.04691505432129,20.27661334991455,23.12265298843384,24.266328783035277
1999-04-01,43.39220024822154,B,20.027402877807617,19.94332847595215,20.075440406799316,20.073938941955568,20.253793754577636,23.06007022857666,24.237974290847777
1999-04-02,44.02071280252536,B,20.027402877807617,20.009386444091795,20.042412948608398,20.066432380676268,20.228572006225587,23.000178775787354,24.208729581832884
1999-04-05,43.70887990320074,B,20.057416915893555,19.96734733581543,20.0003755569458,20.09045276641846,20.191940116882325,22.93101810455322,24.181860485076903
1999-04-06,43.2178731685781,B,19.87726211547852,19.907292938232423,20.0003755569458,20.114473628997803,20.16551712036133,22.864242515563966,24.155129261016846
1999-04-07,42.44904466752895,B,19.261383056640625,19.850173568725587,19.884739685058594,20.089684581756593,20.107559928894045,22.786822452545167,24.12442844390869
1999-04-08,40.86810418087901,B,19.080242156982425,19.66074142456055,19.80203495025635,20.030316066741943,20.037572593688964,22.702806415557863,24.09519588470459
1999-04-09,39.380704204284264,B,19.110431671142575,19.47734718322754,19.74336681365967,19.9529408454895,19.968789367675782,22.61879322052002,24.06611427307129
1999-04-12,38.3873280315009,B,19.442529678344727,19.354369735717775,19.6608585357666,19.910185527801513,19.91385452270508,22.53361530303955,24.036319189071655
1999-04-13,37.80484491557578,B,19.744428634643555,19.32780303955078,19.6175479888916,19.887029075622557,19.88177215576172,22.450559310913086,24.00847867965698
