Date,GRADE,GPS,PCG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2007-01-09,78.67247496664965,P,30.577136993408203,30.671216201782226,31.06279048919678,31.13194007873535,30.271480407714844,28.88564893722534,27.41992268562317
2007-01-10,78.43536046279995,P,30.987934112548828,30.604960632324218,30.997198486328124,31.134770965576173,30.319197120666505,28.92687717437744,27.442870645523072
2007-01-11,78.52732514735239,P,31.07405662536621,30.6420654296875,30.94949436187744,31.13499927520752,30.37153133392334,28.968052635192873,27.470036144256593
2007-01-12,78.82748616485107,P,30.597017288208008,30.733501434326172,30.8733003616333,31.10874366760254,30.42024658203125,29.003674182891846,27.496143455505372
2007-01-15,78.93483802943379,P,30.597017288208008,30.76663246154785,30.79710636138916,31.080513668060302,30.46317169189453,29.036096744537353,27.52105320930481
2007-01-16,79.02467659842114,P,30.59037971496582,30.769281005859376,30.7202486038208,31.03155517578125,30.50596405029297,29.06897518157959,27.547094964981078
2007-01-17,78.9312477954536,P,30.650022506713867,30.70169868469238,30.6533296585083,30.996435165405273,30.54323791503906,29.105583782196046,27.57375862121582
2007-01-18,78.69036937421656,P,30.59037971496582,30.604963302612305,30.6235143661499,30.964254093170165,30.576423721313475,29.137744140625,27.601742420196533
2007-01-19,78.65782131627829,P,30.50425720214844,30.58641128540039,30.65995635986328,30.934347343444824,30.60209712982178,29.171197681427003,27.62929560661316
2007-01-22,78.60738787190549,P,30.34524345397949,30.536056518554688,30.65134449005127,30.896489906311036,30.62695888519287,29.203061084747315,27.65540635108948
2007-01-23,78.6580340843916,P,30.59037971496582,30.536056518554688,30.652668762207032,30.857729625701904,30.65185443878174,29.239334506988527,27.680541849136354
2007-01-24,78.79784929837298,P,30.928302764892575,30.59171257019043,30.646705627441406,30.821952056884765,30.6773233795166,29.281141529083254,27.707528791427613
2007-01-25,78.61905395768214,P,30.378358840942383,30.549308395385744,30.577135848999024,30.76331510543823,30.68047637939453,29.31692684173584,27.7319278717041
2007-01-26,78.48588455800186,P,30.497621536254883,30.54798126220703,30.56719627380371,30.720248317718507,30.692594413757323,29.35227268218994,27.756470136642456
2007-01-29,78.58816799042528,P,30.656648635864254,30.610262298583983,30.573159408569335,30.685132884979247,30.71131446838379,29.389274063110353,27.78232542037964
2007-01-30,78.63713372546441,P,30.683151245117188,30.628816604614258,30.582436561584473,30.651342582702636,30.72911693572998,29.428629570007324,27.809316558837892
2007-01-31,78.66185842877537,P,30.928302764892575,30.628816604614258,30.610264587402344,30.631797122955323,30.75208568572998,29.46704168319702,27.838213157653808
2007-02-01,79.23443489347345,A,31.1270751953125,30.77855987548828,30.66393413543701,30.643724250793458,30.779029884338378,29.509595966339113,27.867553386688233
2007-02-02,79.69818679284087,A,31.16680145263672,30.912395858764647,30.73018856048584,30.69507246017456,30.80387348175049,29.551698875427245,27.894438171386717
2007-02-05,80.29262448532934,A,31.59748268127441,31.10056266784668,30.855412483215332,30.753378486633302,30.842331314086913,29.60104642868042,27.925450763702393
2007-02-06,80.77020404557436,A,31.551097869873047,31.27415199279785,30.951484298706056,30.802076530456542,30.875124130249024,29.64836326599121,27.954613065719606
2007-02-07,81.07140229488205,A,31.590856552124023,31.40666275024414,31.017739677429198,30.832222652435302,30.902921714782714,29.69490255355835,27.984459657669067
2007-02-08,81.34987725474,A,31.915502548217773,31.564348220825195,31.17145404815674,30.87429494857788,30.936817588806154,29.746320362091065,28.016317901611327
2007-02-09,81.35963302101742,A,31.60410690307617,31.651809310913087,31.282102584838867,30.924649429321285,30.958563690185546,29.791098804473876,28.042281970977783
2007-02-12,81.08664675163841,A,31.696874618530277,31.67168769836426,31.38612518310547,30.9796422958374,30.97690143585205,29.832822570800783,28.07162289619446
2007-02-13,81.15420084779208,A,32.07452774047852,31.776373672485352,31.5252628326416,31.053849697113037,31.004108047485353,29.88008556365967,28.1037260055542
