Date,GRADE,GPS,MTD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1998-09-28,46.24120652453585,A,20.5625,20.1,20.08125,19.446875,19.84875,20.064375,19.9253125
1998-09-29,46.30206640968937,A,21.125,20.3875,20.19375,19.621875,19.8225,20.076875,19.9428125
1998-09-30,46.367037484059615,A,21.5,20.725,20.325,19.796875,19.8075,20.095625,19.9625
1998-10-01,46.38100891815833,A,20.375,20.85,20.375,19.9,19.785,20.104375,19.9765625
1998-10-02,46.327154046285294,A,19.6875,20.65,20.30625,19.9625,19.74125,20.10625,19.9871875
1998-10-05,46.254220970976284,A,18.625,20.2625,20.18125,19.971875,19.70125,20.10125,19.9928125
1998-10-06,46.154998475633676,P,18.5,19.7375,20.0625,19.88125,19.65625,20.095,19.9990625
1998-10-07,46.03055981120452,B,18.25,19.0875,19.90625,19.78125,19.59125,20.085625,20.0040625
1998-10-08,45.928919178967924,B,17.5,18.5125,19.68125,19.725,19.51125,20.058125,20.0053125
1998-10-09,45.87172128327956,B,17.75,18.125,19.3875,19.65625,19.44375,20.035625,20.0090625
1998-10-12,45.86347983211979,B,18.1875,18.0375,19.15,19.615625,19.3875,20.0175,20.01625
1998-10-13,45.874220796778275,B,18.4375,18.025,18.88125,19.5375,19.335,20.005625,20.025
1998-10-14,45.88900164714686,B,18.0,17.975,18.53125,19.428125,19.2725,20.000625,20.0321875
1998-10-15,45.94548429248209,B,18.5625,18.1875,18.35,19.3625,19.225,20.0,20.03875
1998-10-16,46.00966803533745,B,19.0,18.4375,18.28125,19.29375,19.195,20.0,20.049375
1998-10-19,46.078332242044034,B,19.6875,18.7375,18.3875,19.284375,19.18875,20.006875,20.0628125
1998-10-20,46.143087975802494,P,19.625,18.975,18.5,19.28125,19.20625,20.009375,20.0671875
1998-10-21,46.2515798583381,A,20.5,19.475,18.725,19.315625,19.23625,20.016875,20.0784375
1998-10-22,46.36680869946502,A,21.875,20.1375,19.1625,19.421875,19.26875,20.035625,20.0978125
1998-10-23,46.458503256180826,A,21.8125,20.7,19.56875,19.478125,19.31,20.059375,20.118125
1998-10-26,46.5090573346499,A,21.75,21.1125,19.925,19.5375,19.34875,20.083125,20.138125
1998-10-27,46.549487560990734,A,21.5,21.4875,20.23125,19.55625,19.385,20.103125,20.155625
1998-10-28,46.55564338261582,A,21.625,21.7125,20.59375,19.5625,19.4275,20.124375,20.173125
1998-10-29,46.525419738121684,A,21.9375,21.725,20.93125,19.640625,19.47875,20.150625,20.1940625
1998-10-30,46.50340547267058,A,21.875,21.7375,21.21875,19.75,19.53125,20.180625,20.2128125
1998-11-02,46.51323343400617,A,22.5625,21.9,21.50625,19.946875,19.58875,20.21375,20.23625
1998-11-03,46.521019841377665,A,21.9375,21.9875,21.7375,20.11875,19.6375,20.24125,20.2578125
1998-11-04,46.52769465186197,A,22.0,22.0625,21.8875,20.30625,19.6925,20.26875,20.2790625
1998-11-05,46.51960803882552,A,21.8125,22.0375,21.88125,20.521875,19.765,20.286875,20.3
1998-11-06,46.548602016539455,A,22.875,22.2375,21.9875,20.778125,19.89375,20.305,20.325
1998-11-09,46.5414308750774,A,22.875,22.3,22.1,21.0125,20.01375,20.319375,20.344375
1998-11-10,46.51479957015845,A,21.6875,22.25,22.11875,21.175,20.095,20.325,20.35875
1998-11-11,46.48760947296996,A,21.6875,22.1875,22.125,21.359375,20.16875,20.32375,20.3721875
1998-11-12,46.46532034998055,A,21.5625,22.1375,22.0875,21.509375,20.23375,20.328125,20.385
1998-11-13,46.389887068554486,A,21.5,21.8625,22.05,21.634375,20.295,20.33,20.395625
1998-11-16,46.32629442751778,P,21.5625,21.6,21.95,21.728125,20.3575,20.341875,20.4071875
1998-11-17,46.30022675010833,P,21.5,21.5625,21.90625,21.821875,20.38125,20.35625,20.4140625
1998-11-18,46.271344425428204,P,21.4375,21.5125,21.85,21.86875,20.405,20.370625,20.42125
1998-11-19,46.26789118587357,P,22.0,21.6,21.86875,21.875,20.4725,20.385625,20.4315625
1998-11-20,46.307455603776496,A,23.125,21.925,21.89375,21.940625,20.5525,20.411875,20.446875
1998-11-23,46.43869820524301,A,26.0,22.8125,22.20625,22.153125,20.6925,20.453125,20.4765625
1998-11-24,46.580940463126915,A,26.3125,23.775,22.66875,22.39375,20.81875,20.49625,20.5053125
1998-11-25,46.72527937303216,A,26.1875,24.725,23.11875,22.621875,20.93875,20.536875,20.5353125
1998-11-26,46.84609482966437,A,26.1875,25.5625,23.58125,22.834375,21.065,20.575625,20.565625
1998-11-27,46.95771579173671,A,27.0625,26.35,24.1375,23.09375,21.19875,20.62375,20.6015625
1998-11-30,46.92916607563561,A,26.25,26.4,24.60625,23.278125,21.32625,20.67,20.6328125
1998-12-01,46.92852882401701,A,27.4375,26.625,25.2,23.553125,21.48125,20.726875,20.6725
1998-12-02,46.92752455217548,A,27.25,26.8375,25.78125,23.815625,21.63,20.78375,20.71125
1998-12-03,46.94812438871494,A,27.8125,27.1625,26.3625,24.115625,21.79125,20.848125,20.7534375
1998-12-04,46.91285423131737,A,27.5,27.25,26.8,24.346875,21.9275,20.905625,20.7934375
1998-12-07,46.89424521294374,A,26.9375,27.3875,26.89375,24.55,22.055,20.951875,20.8275
1998-12-08,46.814952391743624,A,26.625,27.225,26.925,24.796875,22.165,20.99375,20.86
1998-12-09,46.74156859942943,A,26.625,27.1,26.96875,25.04375,22.2675,21.0375,20.891875
1998-12-10,46.650587484668165,A,26.5,26.8375,27.0,25.290625,22.39,21.0875,20.9221875
1998-12-11,46.56366807285291,A,25.5,26.4375,26.84375,25.490625,22.50625,21.12375,20.9478125
1998-12-14,46.51392561210432,P,25.0625,26.0625,26.725,25.665625,22.635,21.168125,20.96625
1998-12-15,46.45450017410533,P,24.375,25.6125,26.41875,25.809375,22.7525,21.204375,20.979375
1998-12-16,46.40643048055458,P,24.8125,25.25,26.175,25.978125,22.88375,21.2375,20.9915625
1998-12-17,46.42606920508003,P,26.9375,25.3375,26.0875,26.225,23.0725,21.291875,21.015
1998-12-18,46.47620363255587,P,26.6875,25.575,26.00625,26.403125,23.25125,21.3475,21.0378125
1998-12-21,46.545252389708565,A,27.625,26.0875,26.075,26.484375,23.44,21.41375,21.0671875
1998-12-22,46.650610180162836,A,27.6875,26.75,26.18125,26.553125,23.625,21.48,21.098125
1998-12-23,46.741141533040604,A,27.6875,27.325,26.2875,26.628125,23.81875,21.545625,21.1271875
1998-12-24,46.751511588127045,A,27.875,27.5125,26.425,26.7125,24.005,21.615,21.1571875
1998-12-25,46.769859381372406,A,27.875,27.75,26.6625,26.753125,24.1825,21.68875,21.1890625
1998-12-28,46.765416195521,A,27.875,27.8,26.94375,26.834375,24.34625,21.7675,21.2215625
1998-12-29,46.74049453893152,A,27.375,27.7375,27.24375,26.83125,24.50125,21.85375,21.2534375
1998-12-30,46.72986384669895,A,27.9375,27.7875,27.55625,26.865625,24.65,21.943125,21.2890625
1998-12-31,46.70580465336087,A,28.0625,27.825,27.66875,26.878125,24.77375,22.02125,21.325
1999-01-01,46.681792143171606,A,28.0625,27.8625,27.80625,26.90625,24.89875,22.104375,21.3596875
1999-01-04,46.611529131687526,A,26.75,27.6375,27.71875,26.896875,24.99875,22.17375,21.385
1999-01-05,46.57607372538286,A,27.25,27.6125,27.675,26.928125,25.11375,22.249375,21.4103125
1999-01-06,46.52415601422616,A,27.25,27.475,27.63125,26.959375,25.22625,22.326875,21.4359375
1999-01-07,46.468192031834,P,26.375,27.1375,27.48125,26.953125,25.315,22.396875,21.4578125
1999-01-08,46.39692101026708,P,25.8125,26.6875,27.275,26.96875,25.39375,22.4625,21.479375
1999-01-11,46.38028332528453,P,25.75,26.4875,27.0625,27.003125,25.4575,22.523125,21.500625
1999-01-12,46.3170130680532,P,24.8125,26.0,26.80625,27.025,25.515,22.57625,21.5159375
1999-01-13,46.28984455421247,P,25.9375,25.7375,26.60625,27.08125,25.59375,22.643125,21.538125
1999-01-14,46.25455595283109,P,24.75,25.4125,26.275,26.971875,25.6525,22.70875,21.555
1999-01-15,46.2659440319569,P,25.625,25.375,26.03125,26.91875,25.7075,22.800625,21.57625
1999-01-18,46.272724903343054,P,25.625,25.35,25.91875,26.81875,25.7625,22.888125,21.596875
1999-01-19,46.349289681520105,P,26.8125,25.75,25.875,26.775,25.865,22.98,21.6228125
1999-01-20,46.3649242750863,P,26.25,25.8125,25.775,26.703125,25.95625,23.0625,21.6459375
1999-01-21,46.385908491933456,P,24.75,25.8125,25.6125,26.546875,26.02,23.126875,21.6625
1999-01-22,46.38584963873055,P,25.375,25.7625,25.56875,26.421875,26.0975,23.19625,21.68
1999-01-25,46.35785561893464,P,24.5625,25.55,25.45,26.25625,26.1575,23.2575,21.6946875
1999-01-26,46.31487089078061,P,25.75,25.3375,25.54375,26.175,26.2425,23.311875,21.71375
1999-01-27,46.298733910960884,P,25.8125,25.25,25.53125,26.06875,26.33,23.3675,21.735
1999-01-28,46.35850803320928,P,26.375,25.575,25.69375,25.984375,26.4175,23.445,21.759375
1999-01-29,46.38968723607505,A,26.5,25.8,25.78125,25.90625,26.485,23.51875,21.78625
1999-02-01,46.45787776292887,A,26.75,26.2375,25.89375,25.90625,26.5,23.59625,21.8171875
1999-02-02,46.446065434580326,A,26.0,26.2875,25.8125,25.84375,26.49375,23.65625,21.84625
1999-02-03,46.43784469371351,A,25.9375,26.3125,25.78125,25.778125,26.48875,23.71375,21.8746875
1999-02-04,46.37290668789212,A,25.125,26.0625,25.81875,25.715625,26.4675,23.76625,21.8996875
1999-02-05,46.31671060672742,A,25.1875,25.8,25.8,25.684375,26.43,23.814375,21.9275
1999-02-08,46.262192313434525,P,25.3125,25.5125,25.875,25.6625,26.41125,23.86875,21.9553125
1999-02-09,46.24529301924033,P,25.0,25.3125,25.8,25.671875,26.3625,23.921875,21.9803125
1999-02-10,46.2282893601954,P,25.1875,25.1625,25.7375,25.634375,26.32125,23.975625,22.0075
