Date,GRADE,GPS,APA,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2016-12-02,67.38591699514946,A,54.61575698852539,53.397779846191405,53.19562530517578,51.62366943359375,51.70313789367676,48.22589679718018,46.080784225463866
2016-12-05,69.02967235257601,A,55.70620727539063,54.2466682434082,53.45901374816894,51.99946174621582,51.81568252563476,48.314464988708494,46.200852136611935
2016-12-06,71.2930917834317,A,55.655887603759766,55.187826538085936,53.78447570800781,52.39454689025879,51.93306900024414,48.41267673492432,46.3192610168457
2016-12-07,71.01772600856205,A,55.68944549560547,55.26164245605469,54.01431312561035,52.74559440612793,51.982449798583986,48.51339626312256,46.42397006988526
2016-12-08,70.81830049326172,A,55.78171157836914,55.48980178833008,54.25337715148926,53.08867301940918,52.03300750732422,48.625064315795896,46.51622495651245
2016-12-09,70.64516132809621,A,55.832027435302734,55.733055877685544,54.56541786193848,53.45943183898926,52.08239936828613,48.735146865844726,46.59651969909668
2016-12-12,69.89119641951557,A,56.02497100830078,55.79680862426758,55.02173843383789,53.789088821411134,52.134313049316404,48.86119487762451,46.665443172454836
2016-12-13,69.06491890675159,A,56.49470520019531,55.96457214355469,55.57619934082031,53.95517559051514,52.198295211791994,48.98542350769043,46.756792316436766
2016-12-14,68.36119033760423,A,55.14420318603516,55.855523681640626,55.55858306884765,54.09316177368164,52.220897064208984,49.10441848754883,46.841140556335446
2016-12-15,68.02829154488252,A,55.9830322265625,55.8957878112793,55.69279479980469,54.31712799072265,52.26963279724121,49.23113330841065,46.929600162506105
2016-12-16,67.45613832418361,A,55.68944549560547,55.867271423339844,55.800163650512694,54.49789447784424,52.32519599914551,49.34939811706543,47.00533218383789
2016-12-19,66.93805470684201,A,55.94947052001953,55.85217132568359,55.824489974975585,54.64175186157227,52.37209083557129,49.49223644256592,47.08559320449829
2016-12-20,66.36388247424134,A,55.99141311645508,55.751512908935545,55.858042526245114,54.821259117126466,52.441380157470704,49.63490936279297,47.16714021682739
2016-12-21,66.65959699955424,A,55.89914321899414,55.90250091552734,55.87901229858399,54.946662712097165,52.51149757385254,49.76170433044434,47.242761631011966
2016-12-22,66.45674920903615,A,55.9830322265625,55.90250091552734,55.89914436340332,55.07626075744629,52.59398712158203,49.90228816986084,47.31375221252441
2016-12-23,66.48110096558831,A,55.69782638549805,55.90417709350586,55.885724258422854,55.22557106018066,52.67578536987305,50.0445316696167,47.38679393768311
2016-12-26,66.48990625228821,A,55.69782638549805,55.85384826660156,55.85300979614258,55.437374114990234,52.75624687194824,50.17816970825195,47.45880084991455
2016-12-27,66.37972628661585,A,55.64748764038086,55.78506317138672,55.76828804016113,55.672243690490724,52.81932601928711,50.31498039245606,47.52894157409668
2016-12-28,65.5633736004372,P,54.1795654296875,55.44114761352539,55.671824264526364,55.61520366668701,52.8238557434082,50.4492264175415,47.6017191696167
2016-12-29,64.49686290974132,P,53.57559967041016,54.95966110229492,55.431081008911136,55.56193790435791,52.830398330688475,50.57066535949707,47.66737865447998
2016-12-30,63.4187194192682,P,53.240081787109375,54.46811218261719,55.18614463806152,55.49315414428711,52.85187217712402,50.693594970703124,47.731360549926755
2017-01-02,62.27929039719106,P,53.240081787109375,53.97656326293945,54.915205764770505,55.36984786987305,52.88357971191406,50.80925579071045,47.79716390609741
2017-01-03,61.321245725914316,P,53.50011444091797,53.547088623046875,54.6660758972168,55.26205921173096,52.93743209838867,50.91841018676758,47.86364643096924
2017-01-04,61.14223945527916,P,53.340728759765625,53.3793212890625,54.410234451293945,55.144623374938966,52.96947479248047,51.020456619262696,47.92900089263916
2017-01-05,61.15126107032887,P,53.0555419921875,53.27530975341797,54.117485427856444,55.00831489562988,52.99547836303711,51.10319202423096,47.99222570419312
2017-01-06,61.256527781529435,P,52.94649505615234,53.216592407226564,53.842352294921874,54.86403827667236,53.03574195861816,51.185756072998046,48.06032814025879
2017-01-09,61.25238430345797,P,52.30898666381836,53.03037338256836,53.5034683227539,54.678239059448245,53.08405807495117,51.26478569030762,48.12805795669556
