Date,GRADE,GPS,VRTX,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1992-04-24,,,5.75,5.825,5.85625,5.759375,5.93,6.55,
1992-04-27,,,6.0,5.875,5.875,5.765625,5.92,6.54125,
1992-04-28,,,5.625,5.8,5.875,5.753125,5.9025,6.528125,6.2740625
1992-04-29,,,5.625,5.775,5.8375,5.759375,5.8975,6.514375,6.2796875
1992-04-30,,,5.875,5.775,5.825,5.765625,5.89,6.504375,6.28625
1992-05-01,,,5.8125,5.7875,5.80625,5.7875,5.88125,6.495,6.2928125
1992-05-04,,,5.625,5.7125,5.79375,5.775,5.87125,6.484375,6.2978125
1992-05-05,45.85072266175573,B,5.875,5.7625,5.78125,5.7875,5.86625,6.475,6.3046875
1992-05-06,45.87961162734399,C,5.8125,5.8,5.7875,5.796875,5.86,6.463125,6.31125
1992-05-07,45.86185836612875,B,5.6875,5.7625,5.76875,5.80625,5.84875,6.45,6.3171875
1992-05-08,45.84725048083206,B,5.6875,5.7375,5.7625,5.809375,5.8425,6.439375,6.3228125
1992-05-11,45.89381720428292,C,5.875,5.7875,5.75,5.8125,5.84,6.4325,6.3290625
1992-05-12,45.86339533611267,B,5.625,5.7375,5.75,5.8125,5.8325,6.42125,6.3340625
1992-05-13,45.811599241365876,B,5.5,5.675,5.7375,5.7875,5.82,6.40875,6.3390625
1992-05-14,45.789423723802514,B,5.5,5.6375,5.7,5.7625,5.8125,6.39625,6.34375
1992-05-15,45.688735276839786,B,5.125,5.525,5.63125,5.71875,5.795,6.3725,6.346875
1992-05-18,45.59466613790471,B,5.25,5.4,5.59375,5.69375,5.785,6.35,6.350625
1992-05-19,45.492312862183105,B,5.0,5.275,5.50625,5.64375,5.77,6.32625,6.353125
1992-05-20,45.454177945825755,B,5.25,5.225,5.45,5.61875,5.7525,6.305,6.35625
1992-05-21,45.420180428398425,B,5.25,5.175,5.40625,5.5875,5.74,6.2825,6.36
1992-05-22,45.442964693645074,B,5.25,5.2,5.3625,5.5625,5.715,6.25375,6.36375
1992-05-25,45.41169811615399,B,5.25,5.2,5.3,5.525,5.68875,6.22,6.368125
1992-05-26,45.42594637985814,B,5.0,5.2,5.2375,5.49375,5.66875,6.18625,6.37125
1992-05-27,45.40513501870146,B,5.0625,5.1625,5.19375,5.465625,5.6425,6.156875,6.374375
1992-05-28,45.370320475578474,B,5.0,5.1125,5.14375,5.421875,5.6225,6.125625,6.3775
1992-05-29,45.33648148380035,B,4.875,5.0375,5.11875,5.375,5.5975,6.091875,6.3803125
1992-06-01,45.36303811076338,B,5.125,5.0125,5.10625,5.35,5.58,6.060625,6.383125
1992-06-02,45.34754699516713,B,4.75,4.9625,5.08125,5.29375,5.56,6.028125,6.38375
1992-06-03,45.345290975734265,B,4.9375,4.9375,5.05,5.25,5.54375,5.99625,6.385
1992-06-04,45.3771887934438,B,5.0,4.9375,5.025,5.215625,5.53625,5.96875,6.3853125
1992-06-05,45.418523870733274,B,5.0,4.9625,5.0,5.18125,5.52875,5.94125,6.384375
1992-06-08,45.39213846902144,B,4.875,4.9125,4.9625,5.13125,5.50875,5.9175,6.3828125
1992-06-09,45.37233426273456,B,4.5,4.8625,4.9125,5.075,5.48125,5.88875,6.3796875
1992-06-10,45.34247848257903,B,4.5,4.775,4.85625,5.025,5.46125,5.86,6.3771875
1992-06-11,45.24613554230229,B,4.25,4.625,4.78125,4.9625,5.43125,5.82875,6.3734375
1992-06-12,45.178435459714706,B,4.25,4.475,4.71875,4.91875,5.40875,5.80125,6.3696875
1992-06-15,45.049189516309355,B,3.75,4.25,4.58125,4.84375,5.36625,5.765,6.3640625
1992-06-16,44.95875349056612,B,3.5625,4.0625,4.4625,4.771875,5.325,5.729375,6.3565625
1992-06-17,44.86078846843011,B,3.5625,3.875,4.325,4.6875,5.28375,5.69875,6.349375
1992-06-18,44.7853842211949,B,3.375,3.7,4.1625,4.59375,5.24125,5.6675,6.3403125
1992-06-19,44.668182406445275,B,3.375,3.525,4.0,4.5,5.19625,5.63375,6.329375
1992-06-22,44.68606306271699,B,3.5625,3.4875,3.86875,4.415625,5.15125,5.601875,6.319375
1992-06-23,44.71600275488839,B,3.5,3.475,3.76875,4.340625,5.10875,5.570625,6.309375
1992-06-24,44.74152843793217,B,3.5625,3.475,3.675,4.265625,5.06,5.53875,6.29875
1992-06-25,44.79486687600379,B,3.5625,3.5125,3.60625,4.19375,5.01125,5.508125,6.285625
1992-06-26,44.84675202125667,B,3.5,3.5375,3.53125,4.125,4.96125,5.475625,6.27
1992-06-29,44.88549781496056,B,3.625,3.55,3.51875,4.05,4.91875,5.445625,6.2553125
1992-06-30,44.93674903361822,B,3.75,3.6,3.5375,4.0,4.87375,5.419375,6.24125
1992-07-01,44.98601560297168,B,3.75,3.6375,3.55625,3.940625,4.83375,5.393125,6.225
1992-07-02,44.98429178399551,B,3.5,3.625,3.56875,3.865625,4.78625,5.365625,6.204375
1992-07-03,45.00093423645246,C,3.5,3.625,3.58125,3.790625,4.74125,5.335625,6.185
1992-07-06,45.01323570452592,C,3.75,3.65,3.6,3.734375,4.69625,5.308125,6.166875
1992-07-07,44.94749965635285,B,3.375,3.575,3.5875,3.678125,4.65125,5.276875,6.1446875
1992-07-08,44.93521678268052,B,3.625,3.55,3.59375,3.634375,4.61125,5.254375,6.12375
1992-07-09,44.973174981115996,B,3.625,3.575,3.6,3.603125,4.56625,5.228125,6.105
1992-07-10,45.01744270248844,B,3.6875,3.6125,3.61875,3.575,4.52375,5.2025,6.0859375
1992-07-13,45.04160501363728,B,3.5625,3.575,3.6125,3.565625,4.4825,5.176875,6.070625
1992-07-14,45.14084731473063,C,3.75,3.65,3.6125,3.575,4.44,5.153125,6.0553125
1992-07-15,45.16972313669465,C,3.625,3.65,3.6,3.578125,4.39625,5.128125,6.0390625
1992-07-16,45.211421044793916,C,3.6875,3.6625,3.61875,3.59375,4.35625,5.1025,6.023125
1992-07-17,45.255554917376855,C,3.75,3.675,3.64375,3.6125,4.3175,5.08,6.0078125
1992-07-20,45.273525089194884,C,3.6875,3.7,3.6375,3.61875,4.27375,5.056875,5.991875
1992-07-21,45.29320257519145,C,3.875,3.725,3.6875,3.6375,4.23875,5.035625,5.975
1992-07-22,45.30702107876476,C,3.75,3.75,3.7,3.646875,4.20375,5.011875,5.9546875
1992-07-23,45.395576646946814,C,4.375,3.8875,3.775,3.6875,4.18125,4.996875,5.9390625
1992-07-24,45.47343469868551,C,4.375,4.0125,3.84375,3.73125,4.16625,4.980625,5.9228125
1992-07-27,45.547906720618215,C,4.125,4.1,3.9,3.75625,4.14375,4.964375,5.9071875
1992-07-28,45.605727572006465,C,4.25,4.175,3.95,3.78125,4.12875,4.949375,5.8946875
1992-07-29,45.67802637910251,C,4.25,4.275,4.0125,3.80625,4.10875,4.930625,5.8784375
1992-07-30,45.60794402500764,C,4.0,4.2,4.04375,3.83125,4.08375,4.911875,5.860625
1992-07-31,45.56278178927008,C,4.25,4.175,4.09375,3.86875,4.06375,4.889375,5.845625
1992-08-03,45.54493157053316,C,4.25,4.2,4.15,3.89375,4.04375,4.86625,5.830625
1992-08-04,45.50966372103648,C,4.125,4.175,4.175,3.93125,4.02625,4.8475,5.815
1992-08-05,45.51203489598529,C,4.375,4.2,4.2375,3.96875,4.0125,4.8275,5.7996875
1992-08-06,45.52615305812867,C,4.125,4.225,4.2125,3.99375,3.995,4.80875,5.7840625
1992-08-07,45.552925590500344,C,4.5,4.275,4.225,4.034375,3.9875,4.7925,5.76875
1992-08-10,45.54798910493975,C,4.25,4.275,4.2375,4.06875,3.97,4.775,5.7515625
1992-08-11,45.55229115295819,C,4.25,4.3,4.2375,4.09375,3.96,4.76,5.734375
1992-08-12,45.57025687200865,C,4.5625,4.3375,4.26875,4.140625,3.9525,4.748125,5.7184375
1992-08-13,45.705559623552716,C,5.0,4.5125,4.36875,4.20625,3.9525,4.744375,5.7053125
1992-08-14,45.796825452635126,C,5.125,4.6375,4.45625,4.275,3.955,4.741875,5.6921875
1992-08-17,45.91484178605352,C,5.0625,4.8,4.5375,4.34375,3.95875,4.73375,5.6796875
1992-08-18,46.00969608536806,C,4.875,4.925,4.6125,4.39375,3.96625,4.72375,5.6678125
1992-08-19,46.0640929082489,C,4.875,4.9875,4.6625,4.45,3.97375,4.7175,5.65625
1992-08-20,46.01352773561346,C,4.875,4.9625,4.7375,4.475,3.98625,4.70875,5.6446875
1992-08-21,45.918181504094896,C,4.5,4.8375,4.7375,4.48125,3.99125,4.7,5.635
1992-08-24,45.85004252714068,C,4.5,4.725,4.7625,4.5,4.00625,4.68625,5.6275
1992-08-25,45.829709397730845,C,4.625,4.675,4.8,4.51875,4.0275,4.67625,5.621875
1992-08-26,45.805974283500184,C,4.625,4.625,4.80625,4.5375,4.04875,4.66625,5.61625
1992-08-27,45.79689919848145,C,4.5625,4.5625,4.7625,4.565625,4.0725,4.656875,5.610625
1992-08-28,45.828340928906606,B,4.5,4.5625,4.7,4.578125,4.095,4.645625,5.605
1992-08-31,45.866432299791825,B,4.75,4.6125,4.66875,4.603125,4.11875,4.635,5.6009375
1992-09-01,45.92291257128429,C,5.0625,4.7,4.6875,4.65,4.15,4.629375,5.5975
1992-09-02,45.9547147007346,C,4.9375,4.7625,4.69375,4.678125,4.1775,4.61875,5.593125
1992-09-03,46.029117624887874,C,5.125,4.875,4.71875,4.728125,4.20875,4.61,5.5896875
1992-09-04,46.100709885440374,C,5.0,4.975,4.76875,4.753125,4.23875,4.6,5.58625
1992-09-07,46.14155987338526,C,5.0,5.025,4.81875,4.790625,4.26625,4.5925,5.5825
1992-09-08,46.16380294599406,C,5.375,5.0875,4.89375,4.846875,4.29875,4.58625,5.580625
1992-09-09,46.230052141641835,C,5.5,5.2,4.98125,4.89375,4.33375,4.58375,5.576875
1992-09-10,46.24295076052183,C,5.5,5.275,5.075,4.91875,4.37375,4.58,5.57125
1992-09-11,46.248759799417826,C,5.375,5.35,5.1625,4.93125,4.41125,4.57625,5.563125
1992-09-14,46.258680475491246,C,5.5,5.45,5.2375,4.953125,4.44625,4.57125,5.55625
1992-09-15,46.234649434132194,C,5.5,5.475,5.28125,4.984375,4.48875,4.57,5.5490625
1992-09-16,46.17588080283931,C,5.375,5.45,5.325,5.009375,4.52375,4.5675,5.5409375
1992-09-17,46.0917085317684,C,5.125,5.375,5.325,5.021875,4.55375,4.56,5.5321875
1992-09-18,46.0454158383279,C,5.125,5.325,5.3375,5.053125,4.5825,4.553125,5.5240625
1992-09-21,46.033892879019,C,5.375,5.3,5.375,5.096875,4.61875,4.550625,5.5175
1992-09-22,45.94583330563078,C,5.0,5.2,5.3375,5.115625,4.64375,4.541875,5.5084375
1992-09-23,45.883462143083854,B,5.0,5.125,5.2875,5.134375,4.67125,4.53375,5.4984375
1992-09-24,45.8750473471059,B,5.0,5.1,5.2375,5.15625,4.6975,4.526875,5.4884375
1992-09-25,45.87296101450827,B,5.125,5.1,5.2125,5.1875,4.725,4.52125,5.4803125
1992-09-28,45.82375248517662,B,5.1875,5.0625,5.18125,5.209375,4.755,4.514375,5.4734375
1992-09-29,45.86236925185409,B,5.25,5.1125,5.15625,5.21875,4.7825,4.510625,5.4659375
1992-09-30,45.92051585043697,C,5.3125,5.175,5.15,5.2375,4.81375,4.50875,5.45875
1992-10-01,45.91260001445602,C,5.0,5.175,5.1375,5.23125,4.82625,4.50375,5.45
1992-10-02,45.87424798564538,C,5.0,5.15,5.125,5.23125,4.83875,4.5025,5.4375
1992-10-05,45.81164766525109,C,4.8125,5.075,5.06875,5.221875,4.8525,4.498125,5.4240625
1992-10-06,45.75078513417774,B,4.875,5.0,5.05625,5.196875,4.865,4.496875,5.4115625
1992-10-07,45.65919231244891,B,4.875,4.9125,5.04375,5.165625,4.8775,4.493125,5.3990625
1992-10-08,45.62763665866756,B,4.8125,4.875,5.025,5.13125,4.89375,4.48875,5.385625
1992-10-09,45.55922562387959,B,4.625,4.8,4.975,5.09375,4.90125,4.4825,5.368125
1992-10-12,45.53419861928621,B,4.75,4.7875,4.93125,5.05625,4.91125,4.4775,5.34875
1992-10-13,45.522744732257884,B,4.875,4.7875,4.89375,5.025,4.92625,4.47625,5.33125
1992-10-14,45.52182719035122,B,4.875,4.7875,4.85,5.0,4.93625,4.474375,5.315625
1992-10-15,45.5210953932175,B,4.75,4.775,4.825,4.98125,4.94875,4.471875,5.29875
