Date,GRADE,GPS,AVY,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1989-03-10,48.087546122830155,C,4.742937088012695,4.6803943634033205,4.557911443710327,4.623202753067017,4.744405889511109,4.658237233161926,4.7066687488555905
1989-03-13,48.13802709232635,C,4.768995761871338,4.711666107177734,4.594395494461059,4.625791907310486,4.745441551208496,4.657459125518799,4.706800038814545
1989-03-14,48.18562236029894,A,4.795056343078613,4.737725925445557,4.6282734870910645,4.632275891304016,4.749590301513672,4.656941623687744,4.706546125411987
1989-03-15,48.224280843816295,A,4.821115970611572,4.763785076141358,4.672575426101685,4.6361750841140745,4.754260244369507,4.656684718132019,4.706164736747741
1989-03-16,48.29216211217121,A,4.925356388092041,4.810692310333252,4.722089242935181,4.643990421295166,4.75894139289856,4.657988600730896,4.706691191196442
1989-03-17,48.27682630404186,C,4.742937088012695,4.810692310333252,4.745543336868286,4.64268479347229,4.760492601394653,4.657986650466919,4.706563310623169
1989-03-20,48.24341762512208,A,4.768995761871338,4.810692310333252,4.761179208755493,4.6426820993423465,4.758936386108399,4.658504481315613,4.706694600582122
1989-03-21,48.20551308016499,A,4.795056343078613,4.810692310333252,4.774209117889404,4.647869968414307,4.757383041381836,4.658764548301697,4.7061829137802125
1989-03-22,48.165875655330716,A,4.795056343078613,4.8054803848266605,4.784632730484009,4.658241844177246,4.754792890548706,4.660579719543457,4.705929000377655
1989-03-23,48.06631608526222,C,4.716878414154053,4.763784790039063,4.787238550186157,4.662150931358338,4.751675987243653,4.661613111495972,4.705284197330474
1989-03-24,48.05240173757852,C,4.716878414154053,4.758573055267334,4.784632682800293,4.67127206325531,4.749077425003052,4.663942465782165,4.704639394283294
1989-03-27,48.067301643431996,C,4.742937088012695,4.753361320495605,4.7820268154144285,4.688211154937744,4.748555173873902,4.667828321456909,4.705284779071808
1989-03-28,48.09063639987847,C,4.795056343078613,4.753361320495605,4.7820268154144285,4.705150151252747,4.749075307846069,4.672235369682312,4.70606187582016
1989-03-29,48.1168032394466,P,4.821115970611572,4.758573246002197,4.7820268154144285,4.727301120758057,4.751153373718262,4.676643834114075,4.7060671281814574
1989-03-30,48.17063573193838,A,4.821115970611572,4.7794207572937015,4.771602773666382,4.746846008300781,4.7521947002410885,4.68027473449707,4.706201255321503
1989-03-31,48.219232601806624,A,4.8471760749816895,4.805480289459228,4.782026672363282,4.763785004615784,4.753757228851319,4.68442542552948,4.706465682983398
1989-04-03,48.26505757472461,A,4.925356388092041,4.841964149475098,4.797662734985352,4.779420971870422,4.758438377380371,4.689357919692993,4.707507646083831
1989-04-04,48.26007141017078,A,4.821115970611572,4.8471760749816895,4.800268697738647,4.787238907814026,4.7605164432525635,4.69428475856781,4.707126257419586
1989-04-05,48.251070445438984,A,4.873236656188965,4.857600212097168,4.808086729049682,4.796359729766846,4.761563405990601,4.699473609924317,4.705974440574646
1989-04-06,48.245900766912094,A,4.8471760749816895,4.862812232971192,4.821116495132446,4.804177522659302,4.760015649795532,4.705179438591004,4.704950091838836
1989-04-07,48.21995590011824,A,4.873236656188965,4.8680243492126465,4.836752319335938,4.810692501068115,4.7569156265258785,4.7103682899475094,4.704184908866882
1989-04-10,48.15737529964204,C,4.8471760749816895,4.8523882865905765,4.847176218032837,4.8146015167236325,4.754331140518189,4.714778165817261,4.703289422988892
1989-04-11,48.14066871361546,C,4.873236656188965,4.862812423706055,4.854994249343872,4.81851053237915,4.751749458312989,4.7189302730560305,4.700848832130432
1989-04-12,48.1161430994598,C,4.873236656188965,4.862812423706055,4.8602063179016115,4.82111656665802,4.749167776107788,4.723600754737854,4.698923752307892
1989-04-13,48.099767964195415,C,4.899297714233398,4.873236751556396,4.868024492263794,4.819813632965088,4.748144102096558,4.728531847000122,4.696742343902588
1989-04-14,48.10715844154762,C,4.951417446136475,4.888872909545898,4.878448629379273,4.830237650871277,4.7476444435119625,4.733984136581421,4.695208168029785
1989-04-17,48.116162394902126,C,4.899297714233398,4.89929723739624,4.875842761993408,4.8367527484893795,4.747657537460327,4.739433598518372,4.693284511566162
1989-04-18,48.125766186204295,C,4.899297714233398,4.904509449005127,4.883660936355591,4.841964817047119,4.747152214050293,4.74436469078064,4.692005240917206
1989-04-19,48.13833140289717,C,4.925356388092041,4.914933395385742,4.888872909545898,4.848479819297791,4.747168064117432,4.7480012321472165,4.690598509311676
1989-04-20,48.17215632943317,A,4.97747802734375,4.930569458007812,4.901903104782105,4.861509799957275,4.751336631774902,4.753195753097534,4.68919463634491
1989-04-21,48.176993820318636,A,4.97747802734375,4.935781574249267,4.912327241897583,4.87453978061676,4.75602355003357,4.7578719091415405,4.6876618814468385
1989-04-24,48.19792305224686,A,4.951417446136475,4.946205520629883,4.922751379013062,4.884963798522949,4.76070764541626,4.762287459373474,4.686256582736969
1989-04-25,48.201368166725395,A,4.925356388092041,4.951417255401611,4.927963352203369,4.891478800773621,4.765907239913941,4.764887256622314,4.685107605457306
1989-04-26,48.20637107829281,A,4.951417446136475,4.956629467010498,4.93578143119812,4.897993874549866,4.770072946548462,4.767488441467285,4.68396005153656
1989-04-27,48.1784061450763,A,4.951417446136475,4.951417350769043,4.940993404388427,4.904508948326111,4.773720302581787,4.770089626312256,4.683199138641357
1989-04-28,48.14846593377803,A,4.925356388092041,4.940993022918701,4.938387298583985,4.908417963981629,4.776846437454224,4.772948617935181,4.6826945543289185
