Date,GRADE,GPS,NRG,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2005-07-25,41.26158766561783,P,14.336238861083984,14.17606315612793,14.184413242340089,14.249129438400269,13.776455001831055,13.381743335723877,13.047079286575318
2005-07-26,41.51362941128209,A,14.188206672668455,14.20870532989502,14.160879707336425,14.249129438400269,13.816689071655274,13.378061532974243,13.067594857215882
2005-07-27,41.71505363836112,A,14.366604804992676,14.249698066711426,14.159741115570068,14.261085605621338,13.854342098236083,13.376770992279052,13.089249143600464
2005-07-28,42.08592580500317,A,14.35142421722412,14.344589805603027,14.180617332458496,14.26507110595703,13.890021495819092,13.37809949874878,13.109992461204529
2005-07-29,42.045860825869724,A,14.556386947631836,14.359772300720214,14.236413860321045,14.271713352203369,13.929875984191895,13.381895112991334,13.131475939750672
2005-08-01,42.230141924247405,A,14.727188110351562,14.43796215057373,14.30701265335083,14.286895656585694,13.968819370269776,13.385500946044921,13.152940402030945
2005-08-02,42.82150472137753,A,15.182672500610352,14.636855316162109,14.422780323028565,14.322764778137207,14.013684062957763,13.394306888580322,13.17618887424469
2005-08-03,43.279573958087724,A,15.152308464050291,14.793996047973632,14.52184705734253,14.369451522827148,14.052931289672852,13.405959587097168,13.19960813522339
2005-08-04,44.07866348268927,A,15.759614944458008,15.07563419342041,14.710111999511719,14.443277311325073,14.100908527374267,13.420838594436646,13.225798244476318
2005-08-05,44.33255510168772,A,15.186467170715332,15.201650238037109,14.780711269378662,14.48787612915039,14.137270908355713,13.430365724563599,13.249084658622742
2005-08-08,44.21973317096814,A,14.822092056274414,15.22063102722168,14.829296588897705,14.506854915618897,14.16634578704834,13.436628608703613,13.270150661468506
2005-08-09,43.6553640662268,A,14.689234733581545,15.121943473815918,14.879399394989013,14.52013955116272,14.188740177154541,13.446800966262817,13.289679350852966
2005-08-10,43.30928124805795,A,14.95113754272461,15.081709289550782,14.937852668762208,14.548796892166138,14.215309886932372,13.46376763343811,13.309872307777404
2005-08-11,42.18525311005587,A,14.56018352508545,14.84182300567627,14.95872859954834,14.569672966003418,14.23117576599121,13.476710863113404,13.327142596244812
2005-08-12,41.82447881890227,A,14.776533126831056,14.759836196899414,14.980743217468262,14.608578538894653,14.253797912597657,13.491817588806152,13.345513620376586
2005-08-15,41.682570115184376,A,14.594343185424805,14.714286422729492,14.967458724975586,14.637235689163209,14.278166065216064,13.506620626449585,13.362878794670104
2005-08-16,41.4942247699337,A,14.400772094726562,14.656593894958496,14.889268684387208,14.656024503707886,14.301927070617676,13.521006240844727,13.375860018730164
2005-08-17,41.00599640344836,P,14.252730369567873,14.516912460327148,14.799310874938964,14.660578966140747,14.32249948501587,13.537896919250489,13.388670387268066
2005-08-18,40.821477097974146,P,14.214776992797852,14.447831153869629,14.644827079772949,14.677469539642335,14.337909908294678,13.550422582626343,13.401006317138672
2005-08-19,40.618938704645096,P,14.636101722717283,14.419744873046875,14.589790534973144,14.685250902175904,14.35787509918213,13.564997987747192,13.41489848613739
2005-08-22,40.562801031010856,P,14.651277542114258,14.431131744384766,14.572709083557129,14.701002836227417,14.375335121154786,13.578358688354491,13.428562874794006
2005-08-23,40.761141956149345,P,14.666460037231444,14.484269332885741,14.57043161392212,14.724915504455566,14.391125011444093,13.59213698387146,13.441164479255676
2005-08-24,41.159648597518135,A,14.799311637878418,14.593585586547851,14.5552490234375,14.746550846099854,14.412001094818116,13.608154726028442,13.454620122909546
2005-08-25,41.709350686131074,A,14.852452278137209,14.721120643615723,14.584475898742676,14.771602249145507,14.431207237243653,13.623641080856324,13.468056807518005
2005-08-26,41.846852272797044,A,14.765153884887695,14.746931076049805,14.58333797454834,14.7820405960083,14.447073230743408,13.639544973373413,13.482138772010803
2005-08-29,41.92829159693463,A,14.841059684753418,14.784887504577636,14.608009624481202,14.787734174728394,14.46331859588623,13.655145139694215,13.4959929561615
2005-08-30,42.151782349765774,A,15.182672500610352,14.888129997253419,14.68619966506958,14.787734174728394,14.486168441772461,13.675641717910766,13.511213569641113
2005-08-31,42.330221340289,A,15.190263748168944,14.966320419311524,14.779953002929688,14.789631938934326,14.509321918487549,13.698491592407226,13.526908650398255
2005-09-01,42.62522899607967,A,15.581212043762209,15.112072372436524,14.916596508026123,14.780711793899536,14.54112949371338,13.72714882850647,13.544558472633362
2005-09-02,43.091793199283465,A,15.512896537780762,15.261620903015137,15.00427598953247,14.797033262252807,14.570508041381835,13.759715642929077,13.561392259597778
2005-09-05,43.544709929788276,A,15.512896537780762,15.395988273620606,15.090437889099121,14.831573486328125,14.598140487670898,13.79319345474243,13.578662548065186
2005-09-06,43.66703258529642,A,15.459755897521973,15.45140495300293,15.169767475128173,14.870099544525146,14.623571472167969,13.822306213378907,13.595230631828308
2005-09-07,43.73051054361761,A,15.467345237731934,15.506821250915527,15.236570835113525,14.895909929275513,14.650368747711182,13.85377227783203,13.61138117313385
2005-09-08,43.70373722396542,A,15.714070320129396,15.533392906188965,15.322732639312743,14.95360426902771,14.679215869903565,13.885617961883545,13.630169749259949
2005-09-09,43.49702413844421,A,15.463552474975586,15.52352409362793,15.392572498321533,14.987955236434937,14.700016078948975,13.912719039916992,13.647515935897827
2005-09-12,43.32402577836016,A,15.56224536895752,15.533393859863281,15.464691066741944,15.036350345611572,14.722790145874024,13.940237674713135,13.664368724822998
2005-09-13,43.22109577228332,A,15.50150203704834,15.541743087768555,15.496574020385742,15.091386842727662,14.743514385223389,13.968477354049682,13.68171489238739
2005-09-14,43.241799413888636,A,15.56224536895752,15.560723114013673,15.533772182464599,15.156862592697143,14.77038782119751,13.998994579315186,13.69991515159607
2005-09-15,43.145293273121915,A,15.698880195617676,15.557685089111327,15.545538997650146,15.231067752838134,14.798703441619873,14.035091323852539,13.71773579120636
2005-09-16,43.15102713583031,A,15.520498275756836,15.569074249267578,15.546299171447753,15.275287580490112,14.82322359085083,14.072251033782958,13.734607586860657
2005-09-19,43.04133148841203,A,15.47873592376709,15.552372360229493,15.542883110046386,15.316660499572754,14.843947982788086,14.109904069900512,13.751270570755004
2005-09-20,42.94675372819026,A,15.39142894744873,15.53035774230957,15.536050415039062,15.352908945083618,14.86330572128296,14.14729133605957,13.767269277572632
2005-09-21,42.4899109060415,P,15.087778091430664,15.4354642868042,15.498093700408935,15.367332267761231,14.877501468658448,14.180882949829101,13.777593483924866
2005-09-22,42.056177507428636,P,15.20164966583252,15.336018180847168,15.446851634979248,15.384792137145997,14.898681221008301,14.214664354324341,13.788581929206849
