Date,GRADE,GPS,BAC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2020-01-30,59.31130178915466,P,29.729923248291016,29.502597427368165,30.038945770263673,30.50958185195923,30.442863235473634,28.771450996398926,26.900211572647095
2020-01-31,58.80458637342759,P,29.152729034423828,29.376502227783202,29.872002792358398,30.417674350738526,30.43984676361084,28.796526260375977,26.913547420501708
2020-02-03,59.09724673672821,P,29.27705383300781,29.397815704345703,29.717492294311523,30.334203815460206,30.434194450378417,28.823198013305664,26.92567229270935
2020-02-04,59.70440527095921,P,29.8542423248291,29.465303039550783,29.66066074371338,30.28980407714844,30.44220561981201,28.857319679260254,26.94151216506958
2020-02-05,61.17363906261221,P,30.82215881347656,29.767221450805664,29.69174098968506,30.278260517120362,30.468338813781738,28.900590572357178,26.963587875366212
2020-02-06,62.26990934990661,P,30.78663444519043,29.978563690185545,29.740580558776855,30.262276554107665,30.493761520385743,28.945095939636232,26.984438762664794
2020-02-07,63.97261058997372,P,30.73335838317871,30.294689559936522,29.835595893859864,30.256504917144774,30.519884986877443,28.991099853515625,27.004106969833373
2020-02-10,65.62231852757795,A,30.80439758300781,30.600158309936525,29.998987007141114,30.24007692337036,30.545486221313478,29.038432331085204,27.025177583694457
2020-02-11,66.68848474274296,A,30.87543487548828,30.80439682006836,30.13484992980957,30.2156569480896,30.582929649353026,29.091597576141357,27.049003219604494
2020-02-12,66.95128662475845,A,31.00863265991211,30.84169158935547,30.304456520080567,30.226756858825684,30.61756130218506,29.143356971740722,27.07401845932007
2020-02-13,67.20776487086671,A,30.99975204467773,30.88431510925293,30.43143939971924,30.235192584991456,30.649884147644045,29.196087379455566,27.09938199043274
2020-02-14,67.24403819537912,A,30.94646453857422,30.92693634033203,30.610812950134278,30.241407871246338,30.670840606689453,29.24634199142456,27.125046310424803
2020-02-17,67.24664848482512,A,30.94646453857422,30.955349731445313,30.777754020690917,30.24762315750122,30.694638595581054,29.2981862449646,27.15651391029358
2020-02-18,66.78209834985226,A,30.43143844604492,30.86655044555664,30.8354736328125,30.24806718826294,30.707780876159667,29.351327381134034,27.183791913986205
2020-02-19,66.48052169397364,A,30.831037521362305,30.83103141784668,30.836361503601076,30.264051246643067,30.72696155548096,29.413763523101807,27.214507837295532
2020-02-20,66.26974515318142,A,30.94646453857422,30.820373916625975,30.852344512939453,30.296462535858154,30.729980659484863,29.47761890411377,27.244491872787474
2020-02-21,65.78312518339209,A,30.51135635375977,30.733352279663087,30.830144309997557,30.332870101928712,30.7285599899292,29.53217742919922,27.273129444122315
2020-02-24,64.03428296853382,P,29.063934326171875,30.356846237182616,30.656097984313966,30.32754249572754,30.69357322692871,29.57279165267944,27.294529905319212
2020-02-25,61.53614818120997,P,27.598743438720703,29.790307235717773,30.32842884063721,30.23163938522339,30.623244285583496,29.60475954055786,27.307339010238646
2020-02-26,58.44359178394016,P,27.199153900146484,29.06393051147461,29.947480964660645,30.125968742370606,30.5436803817749,29.63043529510498,27.31902286529541
2020-02-27,54.15084648025587,P,25.86716651916504,28.048070907592773,29.434222412109374,29.932830905914308,30.440318145751952,29.6378454208374,27.327231998443605
2020-02-28,49.77347244422117,P,25.307729721069336,27.007345581054686,28.870348930358887,29.74058094024658,30.32558971405029,29.635598564147948,27.33081133842468
2020-03-02,47.45186471355231,P,26.08028221130371,26.410615158081054,28.383730697631837,29.580742359161377,30.222582702636718,29.639045963287355,27.338253440856935
