Date,GRADE,GPS,WAT,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
1996-10-30,48.651454791046596,P,7.75,7.76875,7.940625,8.065625,7.80875,7.5953125,6.90328125
1996-10-31,48.594868440579575,P,7.75,7.7125,7.89375,8.0375,7.81625,7.6034375,6.91671875
1996-11-01,48.564420558930216,P,7.6875,7.675,7.85,8.0140625,7.81625,7.61,6.93046875
1996-11-04,48.60351492062487,P,7.65625,7.70625,7.796875,7.9828125,7.815625,7.61625,6.94296875
1996-11-05,48.59190005777449,P,7.59375,7.6875,7.75,7.95625,7.808125,7.624375,6.9553125
1996-11-06,48.55120794814291,P,7.5,7.6375,7.703125,7.91875,7.801875,7.628125,6.96796875
1996-11-07,48.494495129005166,P,7.3125,7.55,7.63125,7.8734375,7.791875,7.629375,6.9796875
1996-11-08,48.469050660504614,P,7.4375,7.5,7.5875,7.834375,7.78375,7.6325,6.9928125
1996-11-11,48.436083914957116,P,7.3125,7.43125,7.56875,7.7984375,7.773125,7.6334375,7.005
1996-11-12,48.39584789116486,P,7.21875,7.35625,7.521875,7.746875,7.76375,7.6328125,7.0175
1996-11-13,48.409810382132235,P,7.375,7.33125,7.484375,7.7125,7.7625,7.63375,7.0309375
1996-11-14,48.48177255037231,P,7.5,7.36875,7.459375,7.6765625,7.768125,7.6334375,7.0453125
1996-11-15,48.491998944836524,B,7.40625,7.3625,7.43125,7.640625,7.768125,7.625,7.05859375
1996-11-18,48.52515249015412,B,7.5,7.4,7.415625,7.60625,7.77,7.6190625,7.07171875
1996-11-19,48.57466082740285,P,7.40625,7.4375,7.396875,7.5734375,7.766875,7.615625,7.08421875
1996-11-20,48.579597650615675,P,7.375,7.4375,7.384375,7.54375,7.763125,7.61125,7.0965625
1996-11-21,48.53559668725068,B,7.25,7.3875,7.378125,7.5046875,7.753125,7.605625,7.1090625
1996-11-22,48.532994864036475,B,7.25,7.35625,7.359375,7.4734375,7.745625,7.6028125,7.12125
1996-11-25,48.48610332455048,B,7.0,7.25625,7.328125,7.4484375,7.735625,7.6003125,7.1321875
1996-11-26,48.39769929346206,B,6.75,7.125,7.28125,7.4015625,7.71875,7.5909375,7.14140625
1996-11-27,48.30876194027511,B,6.75,7.0,7.21875,7.3515625,7.703125,7.5803125,7.1496875
1996-11-28,48.24492935068184,B,6.75,6.9,7.14375,7.3015625,7.689375,7.57,7.15734375
1996-11-29,48.18436609434977,B,6.78125,6.80625,7.08125,7.25625,7.6775,7.5609375,7.16546875
1996-12-02,48.163066833829674,B,6.8125,6.76875,7.0125,7.2140625,7.666875,7.5540625,7.17296875
1996-12-03,48.21499989815451,B,6.84375,6.7875,6.95625,7.1765625,7.655625,7.551875,7.18125
