Date,GRADE,GPS,C,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2006-11-23,67.23274004517602,A,353.1822814941406,352.9457092285156,352.61180725097654,350.21056060791017,347.55924560546873,339.85677947998045,333.4707476806641
2006-11-24,66.28018918901354,A,349.98223876953125,352.26396484375,352.3892028808594,350.3645248413086,347.78201965332033,340.00974700927736,333.6602423095703
2006-11-27,65.30131247956056,P,347.0606384277344,351.0953125,351.8326904296875,350.45506591796874,347.89125671386716,340.1157681274414,333.8351289367676
2006-11-28,64.19760430255128,P,344.7648620605469,349.63446044921875,351.0048583984375,350.4170394897461,347.9394207763672,340.18110260009763,334.0008988952637
2006-11-29,63.300008106472376,P,346.85174560546875,348.36835327148435,350.58050842285155,350.50746765136716,348.001767578125,340.31981201171874,334.1531436157227
2006-11-30,62.292124858281134,P,344.9734802246094,346.7265930175781,349.8361511230469,350.4552825927734,348.0472161865234,340.50520263671876,334.29869659423827
2006-12-01,61.627541375600664,P,343.5127258300781,345.4326904296875,348.84832763671875,350.3822448730469,348.09789184570315,340.6957629394531,334.4352587890625
2006-12-04,62.05224541267234,P,347.82574462890625,345.58571166992186,348.34051208496095,350.3057205200195,348.1549200439453,341.0099185180664,334.5957487487793
2006-12-05,63.35678105988433,P,351.3736267089844,346.9074645996094,348.2709625244141,350.3161560058594,348.26224243164063,341.34932586669925,334.7878131103516
2006-12-06,64.42835897140498,P,353.25177001953125,348.1874694824219,348.2779113769531,350.38920135498046,348.44294494628906,341.65977935791017,334.9838690185547
2006-12-07,65.75691747744504,P,352.7648010253906,349.7457336425781,348.2361633300781,350.42398529052736,348.6194207763672,341.9749099731445,335.1936882019043
2006-12-08,68.3860904598851,A,360.6953430175781,353.1822570800781,349.30747375488284,350.8483383178711,348.9903271484375,342.38162017822265,335.4475471496582
2006-12-11,71.1811549049429,A,367.8605651855469,357.18922119140626,351.38746643066406,351.6100784301758,349.52933532714843,342.8238409423828,335.7314952087402
2006-12-12,72.66009847836573,A,363.4778747558594,359.6100708007813,353.25876770019534,352.1318130493164,349.89802917480466,343.22291748046877,335.9830688476562
2006-12-13,73.88863978296935,A,363.9648132324219,361.7526794433594,354.97007446289064,352.7752914428711,350.14695861816404,343.62140716552733,336.2276284790039
2006-12-14,75.89031275465645,A,369.4604797363281,365.09181518554686,357.4187744140625,353.62746276855466,350.5113134765625,344.0898550415039,336.50607803344724
2006-12-15,77.07575676559192,A,376.1388854980469,368.18052368164064,360.6813903808594,354.7648590087891,351.00096923828124,344.55553283691404,336.8010464477539
2006-12-18,78.29923847548194,A,385.669189453125,371.74224853515625,364.4657348632812,356.4031234741211,351.67710083007813,345.11787780761716,337.1487284851074
2006-12-19,80.16508207875651,A,384.2082824707031,375.888330078125,367.74920043945315,358.0100814819336,352.3598327636719,345.6519744873047,337.4776318359375
2006-12-20,82.0830029569081,A,383.7213134765625,379.8396301269531,370.79615478515626,359.5370330810547,353.0934423828125,346.1668814086914,337.8098377990723
2006-12-21,82.5712645842248,A,380.9386291503906,382.1352600097656,373.61353759765626,360.9248504638672,353.7989532470703,346.63742919921873,338.11766845703124
2006-12-22,81.90971925286556,A,379.4779052734375,382.8030639648438,375.4917938232422,362.3996337890625,354.44769470214845,347.09130432128904,338.415158996582
2006-12-25,79.87744801565475,A,379.4779052734375,381.56480712890624,376.6535278320313,364.02049713134767,355.12812377929686,347.5637774658203,338.7129862976074
2006-12-26,78.76144891507782,A,383.4429321289063,381.4117370605469,378.65003356933596,365.95440063476565,355.9016302490234,348.07038940429686,339.0367132568359
2006-12-27,78.93455320470143,A,392.4169616699219,383.15086669921874,381.49524841308596,368.23266143798827,356.8353283691406,348.69980712890623,339.3901252746582
2006-12-28,79.21352637822223,A,388.7301025390625,384.70916137695315,383.4222106933594,370.4204925537109,357.73937744140625,349.28271240234375,339.72172760009767
2006-12-29,79.91297268404723,A,387.4779052734375,386.3091613769531,384.5561126708984,372.6187515258789,358.6128704833984,349.8758276367187,340.0457189941406
2007-01-01,80.63887922566134,A,387.4779052734375,387.90916137695314,384.7369842529297,374.60135955810546,359.38854614257815,350.46343170166017,340.3754475402832
2007-01-02,80.33359723622652,A,387.4779052734375,388.7161560058594,385.06394653320314,376.4065734863281,360.18489013671876,351.00350463867187,340.7065257263184
2007-01-03,77.98824900706865,A,384.3473205566406,387.10222778320315,385.1265472412109,377.9613510131836,360.8635137939453,351.504006652832,341.0209391784668
2007-01-04,76.23436509594049,A,383.0257263183594,385.9613525390625,385.3352569580078,379.47439727783205,361.5212158203125,351.98853759765626,341.34055526733397
2007-01-05,74.46130480142368,A,381.0083618164063,384.6674438476563,385.48830261230466,380.49004821777345,362.20332397460936,352.450827331543,341.6517723083496
2007-01-08,73.30082845137925,A,382.9560546875,383.76307373046876,385.83611755371095,381.2448226928711,362.95744873046874,352.94017211914064,341.9666535949707
2007-01-09,71.84415309108587,A,379.6170043945313,382.1908935546875,385.4535247802734,382.05177917480466,363.6392810058594,353.400947265625,342.23784255981445
2007-01-10,70.67531187254575,P,376.5562744140625,380.6326843261719,383.8674560546875,382.68135223388674,364.2695428466797,353.8200939941406,342.49204010009765
2007-01-11,69.49918916449381,P,376.8343505859375,379.3944091796875,382.677880859375,383.0500457763672,364.88588623046877,354.23237701416014,342.7614640808105
2007-01-12,68.82267661776514,P,378.2953796386719,378.8518127441406,381.75962829589844,383.1578704833984,365.55232421875,354.6647817993164,343.04460479736326
2007-01-15,67.58738957494191,P,378.2953796386719,377.919677734375,380.84137573242185,382.78917999267577,366.13110717773435,355.0641217041016,343.31863372802735
2007-01-16,67.40066902992815,P,381.0083618164063,378.19794921875,380.1944213867188,382.6291839599609,366.72797607421876,355.480947265625,343.6217512512207
2007-01-17,67.63590787983782,P,378.3647766113281,378.5596496582031,379.5961669921875,382.3613571166992,367.25945434570315,355.8534271240234,343.90726379394533
2007-01-18,67.85430423261035,P,378.3647766113281,378.86573486328126,379.13007202148435,382.23266448974607,367.7853674316406,356.23761779785156,344.17759033203123
2007-01-19,67.99054954392787,P,379.1300354003906,379.032666015625,378.94223937988284,382.21527099609375,368.32380249023436,356.6280825805664,344.4517431640625
2007-01-22,68.62768069994122,P,380.38226318359375,379.4500427246094,378.6848602294922,382.26048889160154,368.87893249511717,357.0310696411133,344.72203384399415
2007-01-23,68.4599196973695,P,379.0604553222656,379.0604614257812,378.62920532226565,382.0413650512695,369.39927795410154,357.41739532470706,344.98132827758786
2007-01-24,68.86737466843084,P,381.4256896972656,379.6726440429687,379.11614685058595,381.4918014526367,370.0058868408203,357.84735107421875,345.2608853149414
2007-01-25,68.45778682200483,P,375.1647644042969,379.0326416015625,378.9491882324219,380.81353454589845,370.4608410644531,358.2546496582031,345.5067755126953
2007-01-26,68.54163052155265,A,380.3125,379.2691345214844,379.15090026855466,380.45526428222655,370.99927185058596,358.70171417236327,345.7881907653809
2007-01-29,67.91413752148044,P,376.0691528320313,378.40651245117186,378.92827758789065,379.88482666015625,371.4625769042969,359.0925689697266,346.0487268066406
2007-01-30,67.78223902996051,P,377.5300903320313,378.10043945312503,378.58045043945316,379.38743591308594,371.97179626464845,359.4932110595703,346.33479049682614
2007-01-31,68.02943222762777,P,383.5128479003906,378.51787109375005,379.09525756835944,379.34571228027346,372.57840759277343,359.93232666015626,346.64098205566404
2007-02-01,69.38197680196666,A,384.4962768554688,380.3841735839844,379.7084075927735,379.4192398071289,373.2046875,360.38196655273435,346.92174530029297
2007-02-02,69.79739606404111,A,384.0045776367188,381.1225891113282,380.1958618164063,379.56905059814454,373.88513427734375,360.83357696533204,347.13867691040036
2007-02-05,71.06803867627114,A,384.63671875,382.8361022949219,380.62130737304693,379.65308380126953,374.63665588378905,361.26395629882813,347.37547607421874
2007-02-06,72.39307200029025,A,386.041748046875,384.53843383789064,381.31943664550784,379.97432098388674,375.46219360351563,361.70080718994143,347.61452774047854
2007-02-07,72.60165509271467,A,386.041748046875,385.0442138671875,381.7810424804688,380.44859466552737,376.24599365234377,362.1238806152344,347.8450552368164
2007-02-08,72.19843225666379,A,382.4588928222656,384.63673706054686,382.51045532226567,380.7298217773438,376.9957019042969,362.52145904541015,348.07369277954103
2007-02-09,70.93459060400629,A,375.1526489257813,382.86635131835936,381.9944702148438,380.5726852416992,377.6285003662109,362.86319610595706,348.2320442199707
2007-02-12,69.46676279994246,A,375.3633728027344,381.0116821289063,381.92389221191405,380.4260848999023,378.1792529296875,363.1670864868164,348.39860961914064
2007-02-13,67.75116926309701,A,377.330322265625,379.26939697265624,381.90391540527344,380.24218292236327,378.6983868408203,363.48031463623045,348.5685319519043
2007-02-14,66.66779553650571,P,380.63226318359375,378.1875,381.61585693359376,380.3555572509766,379.2459967041016,363.8444708251953,348.7566680908203
2007-02-15,66.04669838626758,P,380.8429260253906,377.864306640625,381.2505218505859,380.4794647216797,379.80755920410155,364.2134899902344,348.9738166809082
2007-02-16,66.70828926388265,P,380.0702209472656,378.8478210449219,380.8570861816406,380.52647399902344,380.1950567626953,364.5926919555664,349.20380905151364
2007-02-19,67.15171175157447,P,380.0702209472656,379.7891906738281,380.4004364013672,380.51087188720703,380.4392498779297,364.9842926025391,349.41607131958006
2007-02-20,67.58754925775541,A,380.7024536132813,380.4636169433594,379.8665069580078,380.5929718017578,380.78374145507814,365.34088531494143,349.63047225952147
2007-02-21,67.06692907387291,A,377.6112976074219,379.859423828125,379.0234619140625,380.4022521972656,381.0566711425781,365.6018148803711,349.8536247253418
2007-02-22,66.33589333542271,P,376.48736572265625,378.9883117675781,378.4263092041016,380.46838226318357,381.1972088623047,365.8542611694336,350.07456756591796
2007-02-23,65.68904645685569,P,377.75201416015625,378.52467041015626,378.6862457275391,380.3403579711914,381.2294714355469,366.11522033691404,350.29944717407227
2007-02-26,64.12110088523254,P,370.0944519042969,376.5295166015625,378.1593536376953,380.0416229248047,380.9179766845703,366.2975387573242,350.4846743774414
2007-02-27,60.533205599732064,P,355.4816589355469,371.4853576660156,375.9744873046875,378.93920135498047,380.3434442138672,366.35163848876954,350.6074076843262
2007-02-28,57.316150278774636,P,353.86572265625,366.7362426757812,373.29783325195314,377.45684509277345,379.74633239746095,366.4198873901367,350.7176286315918
2007-03-01,54.82958837465346,P,358.8537292480469,363.2095153808594,371.0989135742187,376.17471771240236,379.30463439941406,366.5517938232422,350.8388104248047
2007-03-02,51.05621454647704,P,351.0558166503906,357.8702758789062,368.1974731445313,374.52727966308595,378.73619262695314,366.5919436645508,350.90395462036133
2007-03-05,48.0439308407958,P,345.99737548828125,353.0508605957031,364.7901885986328,372.5953125,378.06658203125,366.59735290527345,350.9438066101074
2007-03-06,48.82516246103172,P,355.34100341796875,353.0227294921875,362.25404357910156,371.0602752685547,377.5045434570313,366.70308685302734,351.04913024902345
2007-03-07,49.52119045433127,P,352.8119506835937,352.8119750976563,359.77410888671875,369.39878540039064,376.7124432373047,366.77388580322264,351.13226150512696
2007-03-08,49.7187563906005,P,354.77899169921875,351.9970275878906,357.603271484375,368.0147903442383,376.03342102050783,366.886399230957,351.2071566772461
2007-03-09,51.278790950014205,P,353.58477783203125,352.50281982421876,355.1865478515625,366.93639678955077,375.3555584716797,366.98421447753907,351.2655108642578
2007-03-12,53.63735023254307,P,353.7955627441406,354.0624572753906,353.55665893554686,365.8580062866211,374.6819116210938,367.03522888183596,351.3426495361328
2007-03-13,52.736807510096305,P,342.4847717285156,351.4912109375,352.25697021484376,364.1157287597656,373.7820489501953,366.98346954345703,351.3584603881836
2007-03-14,52.6032235280318,P,344.8031005859375,349.8894409179687,351.3507080078125,362.3242706298828,372.99116455078126,366.9273391723633,351.37938461303713
2007-03-15,53.01421646147761,P,352.1797180175781,349.3695861816406,350.6833068847656,360.8911102294922,372.37424438476563,366.9477301025391,351.4371919250488
2007-03-16,52.989730534312514,B,347.964599609375,348.24555053710935,350.3741851806641,359.2858291625977,371.713369140625,366.9583465576172,351.4800616455078
2007-03-19,53.19342320333262,B,351.6879272460937,347.82402343749993,350.9432403564453,357.86671447753906,371.0880065917969,367.0227276611328,351.5565490722656
2007-03-20,55.7065045588636,P,355.7625427246094,350.4795776367188,350.9853942871094,356.61971893310545,370.6109173583984,367.1250991821289,351.6915979003906
2007-03-21,59.26808865394224,A,365.52783203125,354.62452392578126,352.256982421875,356.0155456542969,370.3903485107422,367.32994567871094,351.88945205688475
2007-03-22,61.45806041294495,A,364.1930541992188,357.0271911621094,353.198388671875,355.400830078125,370.1375225830078,367.51170440673826,352.05062759399414
2007-03-23,63.89166683139479,A,363.3498840332031,360.104248046875,354.1748992919922,354.6807235717773,369.83861267089844,367.6954684448242,352.2184979248047
2007-03-26,65.46525980888764,A,362.0853576660156,362.18373413085936,355.0038787841797,354.28026885986327,369.5144122314453,367.8227597045898,352.3984585571289
2007-03-27,66.16931351617104,A,358.7132263183594,362.77387084960935,356.62672424316406,354.4418472290039,369.0685095214844,367.89824279785154,352.5550798034668
2007-03-28,64.9042458327568,A,358.0107421875,361.27045288085935,357.94748840332034,354.6490982055664,368.6614288330078,367.96044158935547,352.69591384887696
2007-03-29,64.37579431450162,A,361.1017761230469,360.652197265625,358.8396942138672,354.7615005493164,368.3161688232422,368.0507681274414,352.85902252197263
2007-03-30,64.05629613431078,A,360.6802673339844,360.11827392578124,360.11126098632815,355.2427230834961,367.9471734619141,368.1354879760742,353.03468536376954
2007-04-02,63.63136869237601,A,358.6429138183594,359.42978515625,360.8067596435547,355.875,367.5123864746094,368.19565948486326,353.1810668945312
2007-04-03,63.449871416663704,A,361.1720886230469,359.9215576171875,361.34771423339845,356.1665542602539,367.154619140625,368.2769485473633,353.3585057067871
2007-04-04,63.49311929902578,A,360.8207702636719,360.4835632324219,360.87700805664065,356.56699523925784,366.7425207519531,368.3742037963867,353.53111923217773
2007-04-05,63.49367894315225,A,362.2962036132813,360.7224487304688,360.68732299804685,356.94285583496094,366.48514953613284,368.47299530029295,353.67667373657224
2007-04-06,63.21087353530515,A,362.2962036132813,361.04563598632814,360.5819549560547,357.37842712402346,366.12482360839846,368.5620477294922,353.84302658081054
