Date,GRADE,GPS,CRWD,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2023-10-02,61.479257211240736,A,169.5399932861328,165.13799743652345,164.00999908447267,166.00399780273438,157.71059967041015,153.458399810791,136.23422496795655
2023-10-03,61.602294109260725,A,162.02999877929688,165.447998046875,163.66299896240236,165.83399810791016,157.93239959716797,153.73859985351564,136.54107494354247
2023-10-04,61.61780451008419,A,164.0500030517578,165.65,163.6789993286133,165.7249984741211,158.12079956054689,154.00679992675782,136.8615249633789
2023-10-05,61.45932864608511,A,165.2899932861328,165.65799865722656,163.9549987792969,165.65749816894532,158.36959930419923,154.24119979858398,137.16512493133544
2023-10-06,61.86602376131669,A,176.69000244140625,167.5199981689453,165.36699829101562,166.0874984741211,158.79139923095704,154.56089981079103,137.52212493896485
2023-10-09,62.37299568337318,A,181.82000732421875,169.9760009765625,167.55699920654297,166.5639991760254,159.19459930419922,154.9049998474121,137.9047749710083
2023-10-10,63.969678836978424,A,183.8500061035156,174.34000244140626,169.8940002441406,167.27249984741212,159.55239929199217,155.30449996948244,138.30762500762938
2023-10-11,65.91466636636444,A,188.22000122070312,179.17400207519532,172.41200103759766,168.2599998474121,160.22219940185548,155.69470001220702,138.72690002441405
2023-10-12,67.74111204671158,A,187.55999755859372,183.6280029296875,174.64300079345702,169.10149993896485,160.82239929199218,156.07419998168945,139.19025001525878
2023-10-13,68.35336290486732,A,185.72000122070312,185.4340026855469,176.47700042724608,170.1150001525879,161.52699920654297,156.39020004272462,139.6452500152588
2023-10-16,68.66120695678434,A,187.6699981689453,186.6040008544922,178.29000091552734,171.15,162.2609991455078,156.7257000732422,140.1007500076294
2023-10-17,68.67083281421738,A,187.13999938964844,187.26199951171876,180.8010009765625,172.23199996948242,163.08619903564454,157.01120010375976,140.5581000137329
2023-10-18,68.1987280057574,A,187.7899932861328,187.17599792480468,183.175,173.42699966430663,163.93279876708985,157.28779998779297,141.01204998016357
2023-10-19,67.54763468235336,A,184.5200042724609,186.5679992675781,185.0980010986328,174.52649993896483,164.66599884033204,157.5575,141.4447499847412
2023-10-20,66.61767110249228,A,178.75999450683594,185.17599792480468,185.30500030517578,175.33599929809571,165.27679870605468,157.83189987182618,141.84089996337892
2023-10-23,65.55362194130625,A,179.0800018310547,183.45799865722657,185.03099975585937,176.29399948120118,165.81099884033202,158.08189987182618,142.23864997863768
2023-10-24,64.7167399035652,A,182.82000732421875,182.59400024414063,184.9279998779297,177.41100006103517,166.47479888916016,158.37970001220702,142.6306000137329
2023-10-25,63.24917530469663,A,175.3800048828125,180.11200256347655,183.6440002441406,178.02800064086915,167.00239898681642,158.64120010375976,143.00250003814696
2023-10-26,61.84292957273391,P,171.63999938964844,177.53600158691407,182.0520004272461,178.34750061035157,167.54759887695312,158.84460006713869,143.3614500427246
2023-10-27,61.246998353639874,P,172.82000732421875,176.34800415039064,180.76200103759766,178.61950073242187,168.06799896240236,159.0775001525879,143.70850006103515
2023-10-30,60.75218210815792,P,174.61000061035156,175.45400390625,179.45600128173828,178.8730010986328,168.4821990966797,159.3125001525879,144.05005004882813
