Date,GRADE,GPS,TFC,MA 5,MA 10,MA 20,MA 50,MA 100,MA 200
2003-05-22,60.71823741974735,B,14.684968948364258,14.694895935058593,14.840166187286377,14.84400134086609,14.654859981536866,14.907636461257935,15.553746309280395
2003-05-23,60.62667565978669,B,14.725580215454102,14.66421947479248,14.819865512847901,14.851671075820922,14.662400035858154,14.886711130142212,15.544308738708496
2003-05-26,60.65012817650617,B,14.725580215454102,14.691289710998536,14.783322811126709,14.84828748703003,14.662517662048339,14.86254635810852,15.533815507888795
2003-05-27,60.869767675905415,B,14.969194412231444,14.76257038116455,14.775653171539307,14.857310676574707,14.667597103118897,14.842015943527223,15.525925893783569
2003-05-28,61.050066421144784,C,15.032353401184082,14.827535438537598,14.78422498703003,14.873551940917968,14.674207973480225,14.823492755889893,15.51767032146454
2003-05-29,61.24528318344765,C,15.000775337219238,14.890696716308593,14.792796325683593,14.882575082778931,14.681796875,14.802390642166138,15.508926944732666
2003-05-30,61.69473884788871,C,15.424861907958984,15.03055305480957,14.847386264801026,14.896109867095948,14.692144317626953,14.786904973983765,15.50360158920288
2003-06-02,62.38829624832007,C,15.524110794067385,15.190259170532226,14.94077444076538,14.922727727890015,14.714492645263672,14.773299360275269,15.49736494064331
2003-06-03,62.8719282769772,C,15.654949188232422,15.327410125732422,15.044990253448486,14.953631782531739,14.736238327026367,14.759892778396607,15.49193642616272
2003-06-04,63.59554617336494,C,15.966240882873535,15.514187622070313,15.170861530303956,15.005739450454712,14.767697410583496,14.752952556610108,15.4895818567276
2003-06-05,64.40951825143131,C,15.993298530578612,15.712692260742188,15.30169448852539,15.070930337905883,14.800412940979005,14.746282911300659,15.486350927352905
2003-06-06,64.67210825036177,C,15.830892562866213,15.793898391723634,15.412225723266602,15.116045618057251,14.830059242248534,14.737497358322143,15.481824159622192
2003-06-09,64.60326482164557,C,15.64141082763672,15.8173583984375,15.503808784484864,15.143565797805786,14.861818046569825,14.726816987991333,15.476349983215332
2003-06-10,64.68453383879023,C,15.763222694396973,15.83901309967041,15.583211612701415,15.179432392120361,14.890826435089112,14.730455799102783,15.473816065788268
2003-06-11,64.5285795911333,C,15.957219123840332,15.83720874786377,15.675698184967041,15.229961585998534,14.918975086212159,14.739343404769897,15.470448722839356
2003-06-12,64.39837055088877,A,16.04293441772461,15.847135925292969,15.779914093017577,15.286355209350585,14.952683334350587,14.747165431976319,15.467619962692261
2003-06-13,64.42082990242561,A,15.92112159729004,15.865181732177735,15.829540061950684,15.338463163375854,14.978947525024415,14.75801706314087,15.463566312789917
2003-06-16,64.86392260721563,A,16.19632911682129,15.976165390014648,15.896761894226074,15.418768167495728,15.012236042022705,14.771084289550782,15.460316896438599
2003-06-17,65.00291697399892,A,16.07451820373535,16.038424491882324,15.938718795776367,15.491854524612426,15.042373104095459,14.782396936416626,15.457074222564698
2003-06-18,64.97096950592938,A,16.015869140625,16.05015449523926,15.943681621551514,15.557271575927734,15.076209411621093,14.793480730056762,15.453846168518066
2003-06-19,64.66003480444914,A,15.740667343139648,15.989701080322266,15.918418502807617,15.610056495666504,15.100481395721436,14.80382462501526,15.45095754623413
2003-06-20,64.48870431227746,A,15.758712768554688,15.957219314575195,15.911200523376465,15.661713123321533,15.125565414428712,14.811353130340576,15.447565336227417
2003-06-23,63.855450715015756,A,15.560202598571776,15.829994010925294,15.90307970046997,15.703444242477417,15.14496488571167,14.815912809371948,15.443642420768738
2003-06-24,63.35796426738008,P,15.519597053527832,15.71900978088379,15.878717136383056,15.730964374542236,15.16165744781494,14.823330602645875,15.44094599723816
2003-06-25,62.92538223402138,P,15.411325454711914,15.598101043701172,15.824127769470214,15.749912977218628,15.181056938171388,14.831543607711792,15.438653860092163
