Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2000-11-21,27.44762013792637,28.072218067821893,27.44762013792637,27.690519332885742,4738247.0,0.0,0.0
2000-11-22,26.927123906589777,27.13532323235579,26.545425142685414,26.7883243560791,6130152.0,0.0,0.0
2000-11-23,26.927123906589777,27.13532323235579,26.545425142685414,26.7883243560791,6130152.0,0.0,0.0
2000-11-24,26.996520996093746,27.30881995367368,26.927121227742653,26.99652099609375,1446134.0,0.0,0.0
2000-11-27,27.48231937455142,27.759918447955805,26.75362180686491,26.99652099609375,3427317.0,0.0,0.0
2000-11-28,26.92711960264836,27.44761783386869,26.684220428078877,27.274118423461914,4444971.0,0.0,0.0
2000-11-29,26.996524191167488,27.86402139822561,26.823024749755863,26.82302474975586,5259660.0,0.0,0.0
2000-11-30,26.51072361573589,27.274121096339034,26.094324989952362,27.065921783447266,5566887.0,0.0,0.0
2000-12-01,27.55171840299549,28.002816885163273,27.412918870020786,27.725217819213867,4990510.0,0.0,0.0
2000-12-04,27.690504676636166,28.315102275939726,27.655804810008192,28.106903076171875,4171415.0,0.0,0.0
2000-12-05,28.211003086221137,29.73779724005042,28.106903484823686,29.390798568725586,6133194.0,0.0,0.0
2000-12-06,29.217299233063166,29.494898170123037,28.76620096034088,29.390798568725586,5671043.0,0.0,0.0
2000-12-07,29.147921608965817,29.529620436960936,29.113221715511717,29.217321395874023,5655310.0,0.0,0.0
2000-12-08,29.633708662557325,30.50120566358312,29.633708662557325,30.2583065032959,4929883.0,0.0,0.0
2000-12-11,30.15421023730352,30.917609905130675,29.77251151414167,30.640010833740234,4607657.0,0.0,0.0
2000-12-12,29.9113131574382,29.980712930175834,28.592717475423157,28.939716339111328,6811630.0,0.0,0.0
2000-12-13,29.217315430061863,29.286715202799495,28.731517020898426,28.939716339111328,5403991.0,0.0,0.0
2000-12-14,28.453912807933985,28.662112088668753,28.002814366341994,28.072214126586914,6682823.0,0.0,0.0
2000-12-15,27.690530193435194,27.759929990643,26.580133438110355,26.58013343811035,7658206.0,0.0,0.0
2000-12-18,27.135329542518406,28.002826934941595,27.135329542518406,27.62112808227539,5473009.0,0.0,0.0
2000-12-19,27.72522259490225,27.92474695792159,27.100624588928657,27.135324478149414,6316229.0,0.0,0.0
2000-12-20,26.649527688769528,26.78832725429687,25.53913116455078,25.53913116455078,5577795.0,0.0,0.0
2000-12-21,25.782017622503485,26.30251573518833,25.608518251608537,25.712617874145508,4041560.0,0.0,0.0
2000-12-22,25.851421582504614,26.8230182178062,25.851421582504614,26.510719299316406,2715946.0,0.0,0.0
2000-12-25,25.851421582504614,26.8230182178062,25.851421582504614,26.510719299316406,2715946.0,0.0,0.0
2000-12-26,26.30254087407246,26.753639669540956,25.990241707978885,26.649539947509766,3701293.0,0.0,0.0
2000-12-27,26.44131608623766,27.03121396634041,26.267816709736852,26.4066162109375,2555882.0,0.0,0.0
2000-12-28,26.58012059850466,26.823019771398805,26.19842189824243,26.61482048034668,2746889.0,0.0,0.0
2000-12-29,26.51071566914377,26.788314669789102,26.1637169183371,26.2678165435791,2229985.0,0.0,0.0
2001-01-01,26.51071566914377,26.788314669789102,26.1637169183371,26.2678165435791,2229985.0,0.0,0.0
2001-01-02,25.816729876672397,25.816729876672397,23.561234751949495,24.56753158569336,10435618.0,0.0,0.0
2001-01-03,24.56753014956989,26.718925476074222,24.151131484085912,26.71892547607422,9301745.0,0.0,0.0
2001-01-04,26.37192043411552,27.10061792866629,26.30252067272973,26.684219360351562,3830204.0,0.0,0.0
2001-01-05,26.337217004351118,26.441316632401854,25.57381973197905,26.05961799621582,4414028.0,0.0,0.0
2001-01-08,25.539126715503045,25.886125568872412,24.74102713124996,25.36562728881836,3736746.0,0.0,0.0
2001-01-09,25.365638473679727,25.7820372813321,24.49813873623276,24.810440063476562,5803836.0,0.0,0.0
2001-01-10,24.463428470781764,25.26152355332816,24.116427421430657,25.088024139404297,6665202.0,0.0,0.0
2001-01-11,25.46972730673063,26.476023995800343,25.46972730673063,26.30252456665039,5187495.0,0.0,0.0
2001-01-12,26.30252898244563,26.441328549067933,25.26153001127443,25.816730499267578,4244105.0,0.0,0.0
2001-01-15,26.30252898244563,26.441328549067933,25.26153001127443,25.816730499267578,4244105.0,0.0,0.0
2001-01-16,25.67793607440892,26.75363293112986,25.67793607440892,26.58013343811035,4636188.0,0.0,0.0
2001-01-17,27.0312389282908,27.36088804805624,26.441340503447382,26.649539947509766,10116644.0,0.0,0.0
2001-01-18,26.92712514282488,27.44762348113621,26.44132669373431,27.135324478149414,4684962.0,0.0,0.0
2001-01-19,27.274117999896333,27.412917526066206,26.47602072441957,26.85771942138672,4411406.0,0.0,0.0
2001-01-22,26.71891279841137,26.987836808936642,25.92081573491702,26.12901496887207,3967192.0,0.0,0.0
2001-01-23,26.44133384369475,26.78833282973376,26.276509325326217,26.58013343811035,4516612.0,0.0,0.0
2001-01-24,26.580123653290315,26.857722739930235,26.05962536584046,26.30252456665039,2658780.0,0.0,0.0
2001-01-25,26.233116668498436,26.92711417011177,26.1637169183371,26.2678165435791,5387523.0,0.0,0.0
2001-01-26,26.337214722314844,26.718913325427902,25.539117643078445,25.78201675415039,6076553.0,0.0,0.0
2001-01-29,25.733446227288308,25.927765586337276,25.12827977909224,25.42808723449707,3267254.0,0.0,0.0
2001-01-30,25.42808907502213,26.371926030147804,25.42808907502213,26.29974937438965,4731743.0,0.0,0.0
2001-01-31,26.299754317680026,26.755018267449387,26.038811999053102,26.233131408691406,4752617.0,0.0,0.0
2001-02-01,26.455212063881305,26.7605711515203,26.210924349469263,26.50518035888672,2730421.0,0.0,0.0
2001-02-02,26.399674330558632,26.788312905871596,26.24976954717913,26.482954025268555,3649687.0,0.0,0.0
2001-02-05,26.48297910173628,27.54895931478816,26.455219177214044,27.43791961669922,3692902.0,0.0,0.0
2001-02-06,27.343517303466797,27.593356446373956,27.07702132909785,27.343517303466797,2963489.0,0.0,0.0
2001-02-07,27.20472468915,27.399044071875938,26.70504627642617,26.954885482788086,2319353.0,0.0,0.0
2001-02-08,27.199173976784348,27.593364292265658,26.927126388408606,27.08258056640625,2699163.0,0.0,0.0
2001-02-09,26.94378036847228,27.01040549019104,25.983288745937333,26.205368041992188,5024704.0,0.0,0.0
2001-02-12,26.371924580701275,27.454561028547747,26.299747928910072,27.238033294677734,3076457.0,0.0,0.0
2001-02-13,27.132545032598866,27.560048960273583,27.03261069399574,27.038162231445312,2790838.0,0.0,0.0
2001-02-14,26.98263603364183,27.03260430187971,26.42743798989437,26.46630096435547,2665493.0,0.0,0.0
2001-02-15,26.50420872026682,27.585558131277562,26.47633890158252,27.033735275268555,4739296.0,0.179233,0.0
2001-02-16,26.710445890409503,27.200955617155866,26.587819573872565,26.87209129333496,2962125.0,0.0,0.0
2001-02-19,26.710445890409503,27.200955617155866,26.587819573872565,26.87209129333496,2962125.0,0.0,0.0
2001-02-20,26.872085468246897,27.780642300283134,26.872085468246897,27.423908233642578,3114742.0,0.0,0.0
2001-02-21,27.591112848905812,27.836367532275727,27.03929036889793,27.12847328186035,3685350.0,0.0,0.0
2001-02-22,27.25670131142731,27.25670131142731,26.253387563209092,26.86652374267578,6443986.0,0.0,0.0
2001-02-23,26.532081136989284,26.755039708295943,25.61237703034932,26.197643280029297,5438605.0,0.0,0.0
2001-02-26,26.420608884858904,27.223260401299427,26.214370813317238,27.134075164794922,7046376.0,0.0,0.0
2001-02-27,25.918947465323587,26.83865165710449,25.918947465323587,26.838651657104492,9968013.0,0.0,0.0
2001-02-28,26.799619541886912,26.888802481844802,25.500885590886902,26.04713249206543,10117588.0,0.0,0.0
2001-03-01,25.500894799329966,25.695983526690448,25.082847526414653,25.668113708496094,5447311.0,0.0,0.0
2001-03-02,25.473016376920825,25.528755994481937,24.82643502897319,24.965784072875977,3979150.0,0.0,0.0
2001-03-05,24.943493381701856,25.495316165547134,24.91562579696108,25.445152282714844,4029288.0,0.0,0.0
2001-03-06,25.918949273118745,26.270107741747925,25.673694358811204,25.779600143432617,4377736.0,0.0,0.0
2001-03-07,25.86320457776826,26.10288369590971,25.690409906413617,25.907794952392578,2869297.0,0.0,0.0
2001-03-08,25.946812961018978,26.114031877084646,25.367120272598147,25.82418441772461,4705626.0,0.0,0.0
